'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/01/2025,4.5,0.0, ,21.4,10.0,100,55,5.28,26.50
CORNER INLET (YANAKIE),02/01/2025, ,0.2, , ,12.4,95,51,3.48,30.10
CORNER INLET (YANAKIE),03/01/2025, ,0.0, ,23.1, ,100,61,3.99,31.79
CORNER INLET (YANAKIE),04/01/2025,7.5,0.0, ,34.9,17.4,100,19,3.06,28.18
CORNER INLET (YANAKIE),05/01/2025,6.6,0.0, ,34.1,17.9,92,34,2.13,28.43
CORNER INLET (YANAKIE),06/01/2025, ,0.0, , ,17.6,100,56,6.12,9.17
CORNER INLET (YANAKIE),07/01/2025,4.5,9.0, ,20.8,11.1,100,55,5.24,26.86
CORNER INLET (YANAKIE),08/01/2025,5.9,0.0, ,23.2,16.0,85,52,7.37,30.57
CORNER INLET (YANAKIE),09/01/2025,4.6,0.0, ,25.7,16.9,100,59,4.53,22.55
CORNER INLET (YANAKIE),10/01/2025,3.2,0.0, ,23.4,18.4,100,80,5.37,18.28
CORNER INLET (YANAKIE),11/01/2025,5.3,0.0, ,25.9,19.3,100,71,5.30,30.79
CORNER INLET (YANAKIE),12/01/2025,3.3,0.0, ,27.9,18.3,100,57,2.55,12.87
CORNER INLET (YANAKIE),13/01/2025,3.6,6.2, ,23.0,15.9,100,81,3.05,21.66
CORNER INLET (YANAKIE),14/01/2025,4.4,0.0, ,24.9,12.5,100,69,2.96,25.84
CORNER INLET (YANAKIE),15/01/2025, ,0.0, , ,16.8,100,76,7.23,10.51
CORNER INLET (YANAKIE),16/01/2025, , , ,20.9, ,96,55,6.02,27.65
CORNER INLET (YANAKIE),17/01/2025, ,0.0, ,22.9,13.4, , , ,30.13
CORNER INLET (YANAKIE),18/01/2025,5.6,0.0, ,23.0,16.8,79,58,8.75,27.61
CORNER INLET (YANAKIE),19/01/2025,5.3,0.0, ,24.1,17.1,90,63,7.49,28.48
CORNER INLET (YANAKIE),20/01/2025,4.5,0.0, ,24.8,17.0,95,65,5.23,23.48
CORNER INLET (YANAKIE),21/01/2025,5.8,0.0, ,26.3,17.5,100,50,4.62,29.59
CORNER INLET (YANAKIE),22/01/2025,4.9,0.0, ,21.9,16.1,100,49,5.90,26.91
CORNER INLET (YANAKIE),23/01/2025,2.7,0.0, ,21.7,7.0,100,64,3.42,12.84
CORNER INLET (YANAKIE),24/01/2025,4.2,8.4, ,21.7,12.4,100,59,5.56,24.70
CORNER INLET (YANAKIE),25/01/2025,4.3,0.0, ,22.9,11.6,100,60,4.06,25.07
CORNER INLET (YANAKIE),26/01/2025,4.6,0.0, ,23.8,14.9,100,58,3.91,25.25
CORNER INLET (YANAKIE),27/01/2025,8.5,0.0, ,38.7,17.4,100,25,5.13,22.36
CORNER INLET (YANAKIE),28/01/2025,4.5,0.0, ,22.6,16.9,98,52,6.66,21.65
CORNER INLET (YANAKIE),29/01/2025,4.4,0.2, ,20.4,11.8,92,55,3.65,26.32
CORNER INLET (YANAKIE),30/01/2025,3.8,0.0, ,21.3,12.3,93,53,3.72,19.27
CORNER INLET (YANAKIE),31/01/2025, ,0.0, , ,8.0,100,61,2.13,27.29
Totals:,,116.5,24, ,,,,,, 
