'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/02/2025, ,0.0, , , ,100,67,5.05,28.44
CORNER INLET (YANAKIE),02/02/2025,5.0,0.0, ,30.8,18.6,100,55,3.14,22.30
CORNER INLET (YANAKIE),03/02/2025,5.2,1.4, ,33.6,21.3,100,38,3.08,17.88
CORNER INLET (YANAKIE),04/02/2025,5.7,0.0, ,34.6,19.0,100,35,3.53,17.61
CORNER INLET (YANAKIE),05/02/2025,2.5,0.0, ,21.5,14.1,100,68,4.27,10.66
CORNER INLET (YANAKIE),06/02/2025,3.9,1.6, ,25.2,17.6,100,78,6.81,23.91
CORNER INLET (YANAKIE),07/02/2025,2.8,0.0, ,24.5,18.8,100,81,3.70,14.55
CORNER INLET (YANAKIE),08/02/2025,1.5,0.0, ,18.9,14.3,100,82,3.91,6.52
CORNER INLET (YANAKIE),09/02/2025,2.2,20.0, ,20.7,14.4,100,74,6.74,8.96
CORNER INLET (YANAKIE),10/02/2025,2.8,0.2, ,22.6,16.1,100,75,6.56,14.95
CORNER INLET (YANAKIE),11/02/2025,4.0,3.0, ,24.8,17.7,100,79,5.32,25.66
CORNER INLET (YANAKIE),12/02/2025,4.6,0.0, ,25.9,20.3,100,74,5.48,26.65
CORNER INLET (YANAKIE),13/02/2025,5.4,0.0, ,33.1,20.1,100,40,3.91,17.61
CORNER INLET (YANAKIE),14/02/2025,3.9,0.2, ,22.5,15.9,95,62,5.12,20.36
CORNER INLET (YANAKIE),15/02/2025,3.1,5.2, ,17.4,11.2,99,58,8.38,15.80
CORNER INLET (YANAKIE),16/02/2025,4.5,4.6, ,18.4,10.3,75,51,7.24,24.11
CORNER INLET (YANAKIE),17/02/2025,3.8,0.0, ,19.2,10.0,96,59,2.92,25.46
CORNER INLET (YANAKIE),18/02/2025,3.3,0.0, ,21.1,6.7,100,58,5.10,17.01
CORNER INLET (YANAKIE),19/02/2025,3.4,1.4, ,20.2,13.5,88,60,6.05,14.57
CORNER INLET (YANAKIE),20/02/2025,3.8,0.2, ,19.3,13.5,96,53,3.64,22.78
CORNER INLET (YANAKIE),21/02/2025,3.7,0.0, ,23.2,4.9,100,63,3.21,24.18
CORNER INLET (YANAKIE),22/02/2025,5.5,0.0, ,31.4,15.4,100,44,3.86,22.42
CORNER INLET (YANAKIE),23/02/2025,4.5,1.6, ,27.3,20.1,94,41,4.50,14.50
CORNER INLET (YANAKIE),24/02/2025,3.3,0.2, ,21.5,13.6,100,63,4.60,17.92
CORNER INLET (YANAKIE),25/02/2025,4.2,0.0, ,23.9,11.7,98,54,3.31,23.93
CORNER INLET (YANAKIE),26/02/2025, ,0.0, , ,16.9,100,26,4.46,20.28
CORNER INLET (YANAKIE),27/02/2025, ,0.0, ,24.3, ,100,67,2.31,18.55
CORNER INLET (YANAKIE),28/02/2025,3.6,0.4, ,23.7,14.7,100,63,3.87,19.56
Totals:,,96.2,40, ,,,,,, 
