'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/03/2025,3.2,0.0, ,22.8,10.1,100,60,2.89,18.32
CORNER INLET (YANAKIE),02/03/2025,2.8,0.4, ,20.2,10.0,100,59,2.86,15.22
CORNER INLET (YANAKIE),03/03/2025,3.2,0.0, ,20.5,5.6,100,62,2.03,22.41
CORNER INLET (YANAKIE),04/03/2025,4.6,0.0, ,25.3,12.3,96,55,6.21,22.78
CORNER INLET (YANAKIE),05/03/2025,5.3,0.0, ,30.5,15.5,100,40,3.68,22.57
CORNER INLET (YANAKIE),06/03/2025,2.3,0.0, ,23.4,14.5,100,81,4.35,12.54
CORNER INLET (YANAKIE),07/03/2025,4.0,0.4, ,24.6,18.5,100,65,6.41,22.11
CORNER INLET (YANAKIE),08/03/2025,4.3,0.0, ,26.0,18.5,100,60,5.54,21.94
CORNER INLET (YANAKIE),09/03/2025,4.5,0.0, ,31.1,15.4,100,49,2.67,20.57
CORNER INLET (YANAKIE),10/03/2025,4.4,0.0, ,31.2,17.5,100,49,2.37,20.59
CORNER INLET (YANAKIE),11/03/2025,1.8,0.0, ,21.1,15.8,99,80,7.77,7.57
CORNER INLET (YANAKIE),12/03/2025,3.2,0.0, ,27.3,19.3,100,73,5.44,15.14
CORNER INLET (YANAKIE),13/03/2025,3.3,0.4, ,23.5,15.9,100,60,3.28,18.19
CORNER INLET (YANAKIE),14/03/2025,2.8,0.0, ,23.1,8.6,100,68,2.41,17.30
CORNER INLET (YANAKIE),15/03/2025,2.4,0.0, ,29.4,11.6,100,46,1.00,10.42
CORNER INLET (YANAKIE),16/03/2025,1.9,6.0, ,19.8,18.3,100,67,7.17,4.15
CORNER INLET (YANAKIE),17/03/2025,3.2,9.2, ,19.0,10.7,93,53,5.60,15.00
CORNER INLET (YANAKIE),18/03/2025,3.0,0.0, ,21.7,12.0,93,57,1.85,18.98
CORNER INLET (YANAKIE),19/03/2025,3.7,0.0, ,26.2,9.9,100,55,3.35,19.19
CORNER INLET (YANAKIE),20/03/2025,3.2,0.0, ,29.0,16.3,100,49,4.00,7.13
CORNER INLET (YANAKIE),21/03/2025,2.4,14.8, ,19.3,15.2,100,57,3.34,11.83
CORNER INLET (YANAKIE),22/03/2025,2.6,0.0, ,20.9,7.5,100,56,2.33,15.12
CORNER INLET (YANAKIE),23/03/2025,2.5,0.0, ,22.6,9.0,100,59,1.34,16.00
CORNER INLET (YANAKIE),24/03/2025,2.4,0.0, ,20.3,15.3,100,64,2.41,13.65
CORNER INLET (YANAKIE),25/03/2025,2.5,0.0, ,22.9,7.8,100,67,1.35,16.58
CORNER INLET (YANAKIE),26/03/2025,2.3,0.0, ,20.2,14.4,95,69,3.29,11.99
CORNER INLET (YANAKIE),27/03/2025,3.1,0.0, ,21.9,14.2,90,66,3.87,17.98
CORNER INLET (YANAKIE),28/03/2025,2.8,0.0, ,23.9,16.3,100,73,5.29,16.37
CORNER INLET (YANAKIE),29/03/2025,1.8,0.0, ,21.9,16.8,100,81,4.25,9.33
CORNER INLET (YANAKIE),30/03/2025,3.2,1.2, ,20.7,16.2,84,62,6.83,11.75
CORNER INLET (YANAKIE),31/03/2025,2.5,0.0, ,20.3,13.9,100,62,4.59,12.84
Totals:,,95.2,32.4, ,,,,,, 
