'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/04/2025,2.4,1.6, ,20.1,12.8,96,66,4.08,12.72
CORNER INLET (YANAKIE),02/04/2025, ,0.2, , ,15.0,98,61,3.12,13.13
CORNER INLET (YANAKIE),03/04/2025, , , , , , , , ,15.01
CORNER INLET (YANAKIE),04/04/2025, , , ,19.5, , , , ,9.00
CORNER INLET (YANAKIE),05/04/2025,3.3,5.2, ,18.5,10.6,99,45,8.52,11.60
CORNER INLET (YANAKIE),06/04/2025,3.9,0.0, ,21.5,9.0,100,44,9.07,13.44
CORNER INLET (YANAKIE),07/04/2025,2.3,4.4, ,18.0,12.5,100,63,7.93,9.93
CORNER INLET (YANAKIE),08/04/2025,1.6,1.4, ,17.4,10.8,100,75,3.15,9.68
CORNER INLET (YANAKIE),09/04/2025,1.9,0.2, ,20.0,10.2,100,64,1.22,13.40
CORNER INLET (YANAKIE),10/04/2025,3.2,0.0, ,26.7,8.7,100,34,2.35,15.13
CORNER INLET (YANAKIE),11/04/2025,2.2,0.0, ,20.3,15.7,100,49,3.15,9.22
CORNER INLET (YANAKIE),12/04/2025,2.7,0.0, ,27.2,9.8,100,61,2.55,14.97
CORNER INLET (YANAKIE),13/04/2025,5.6,0.0, ,32.7,14.9,100,26,5.10,14.14
CORNER INLET (YANAKIE),14/04/2025,1.7,0.8, ,20.1,15.2,100,77,4.49,9.65
CORNER INLET (YANAKIE),15/04/2025,3.0,0.2, ,21.4,15.9,92,63,6.97,14.41
CORNER INLET (YANAKIE),16/04/2025,2.0,0.0, ,20.9,15.1,97,71,4.84,9.46
CORNER INLET (YANAKIE),17/04/2025,2.5,0.0, ,23.1,14.3,100,63,3.75,14.00
CORNER INLET (YANAKIE),18/04/2025,4.1,4.6, ,30.9,15.9,100,34,3.77,13.20
CORNER INLET (YANAKIE),19/04/2025,1.6,0.2, ,22.6,12.9,100,74,2.37,8.64
CORNER INLET (YANAKIE),20/04/2025,2.0,0.0, ,25.4,16.6,100,47,1.87,7.67
CORNER INLET (YANAKIE),21/04/2025,1.5,0.4, ,21.2,9.8,100,80,4.09,8.25
CORNER INLET (YANAKIE),22/04/2025,1.3,0.0, ,18.2,14.0,100,74,3.20,5.88
CORNER INLET (YANAKIE),23/04/2025,1.8,1.2, ,20.0,15.0,100,75,5.17,11.03
CORNER INLET (YANAKIE),24/04/2025,2.6,0.0, ,27.2,15.4,100,46,2.79,9.77
CORNER INLET (YANAKIE),25/04/2025,1.1,0.0, ,22.6,11.8,100,75,1.42,3.88
CORNER INLET (YANAKIE),26/04/2025,1.1,11.0, ,20.4,14.2,100,88,1.72,7.46
CORNER INLET (YANAKIE),27/04/2025,1.4,0.2, ,17.6,15.1,94,73,3.11,7.03
CORNER INLET (YANAKIE),28/04/2025,1.4,0.0, ,18.8,12.5,100,73,2.56,8.49
CORNER INLET (YANAKIE),29/04/2025,1.5,1.6, ,19.3,11.9,100,71,3.46,8.98
CORNER INLET (YANAKIE),30/04/2025,1.4,1.8, ,16.7,11.9,96,65,2.61,8.60
Totals:,,61.1,35, ,,,,,, 
