'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/09/2024,2.3,9.6, ,17.2,11.5,95,67,8.17,12.10
DARTMOOR,02/09/2024,2.4,13.0, ,13.2,6.9,91,51,6.19,13.67
DARTMOOR,03/09/2024,1.9,1.0, ,16.1,4.8,96,58,2.17,13.61
DARTMOOR,04/09/2024,3.2,0.0, ,18.4,7.2,73,38,4.68,8.21
DARTMOOR,05/09/2024,2.1,0.2, ,17.1,12.9,95,44,3.64,5.10
DARTMOOR,06/09/2024,1.1,12.0, ,15.0,12.6,98,77,2.60,4.45
DARTMOOR,07/09/2024,2.0,2.4, ,16.4,7.2,98,62,3.25,12.16
DARTMOOR,08/09/2024,1.8,1.4, ,15.8,8.7,95,72,4.55,11.07
DARTMOOR,09/09/2024,2.0,4.8, ,15.0,8.4,97,61,3.16,13.82
DARTMOOR,10/09/2024,2.0,0.4, ,16.3,9.4,95,65,2.79,12.62
DARTMOOR,11/09/2024,1.4,0.0, ,13.8,7.0,98,77,2.78,9.02
DARTMOOR,12/09/2024,1.6,2.8, ,13.5,5.0,95,65,1.73,11.16
DARTMOOR,13/09/2024,1.7,0.0, ,14.1,9.8,87,66,2.38,9.02
DARTMOOR,14/09/2024,2.3,1.4, ,11.8,7.4,96,55,5.51,15.43
DARTMOOR,15/09/2024,2.3,0.0, ,13.9,3.5,90,56,3.40,15.97
DARTMOOR,16/09/2024,1.6,0.0, ,12.7,8.2,92,66,2.48,8.92
DARTMOOR,17/09/2024,2.4,0.0, ,14.8,8.4,81,57,3.44,13.66
DARTMOOR,18/09/2024,2.9,0.0, ,17.7,7.7,95,48,4.89,14.46
DARTMOOR,19/09/2024,2.2,3.4, ,14.5,8.0,96,63,4.22,15.11
DARTMOOR,20/09/2024,2.3,1.2, ,15.4,6.5,97,59,4.20,13.43
DARTMOOR,21/09/2024,2.1,3.0, ,14.9,8.0,96,65,3.76,13.58
DARTMOOR,22/09/2024,2.5,1.8, ,17.3,9.8,97,60,3.96,14.95
DARTMOOR,23/09/2024,1.8,0.4, ,15.9,11.1,98,83,2.82,13.59
DARTMOOR,24/09/2024,1.9,3.2, ,18.1,11.0,98,66,1.80,10.93
DARTMOOR,25/09/2024,1.4,2.8, ,11.5,9.8,98,73,2.64,7.82
DARTMOOR,26/09/2024,2.0,4.2, ,13.2,2.5,98,57,2.23,14.43
DARTMOOR,27/09/2024,2.7,0.0, ,18.9,-0.7,98,40,1.14,20.95
DARTMOOR,28/09/2024,4.0,0.0, ,21.3,6.2,96,36,4.85,16.47
DARTMOOR,29/09/2024,3.1,11.8, ,16.9,11.8,96,54,4.54,19.52
DARTMOOR,30/09/2024,2.7,0.4, ,18.0,8.4,97,60,3.45,17.39
Totals:,,65.7,81.2, ,,,,,, 
