'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/11/2024,3.5,0.4, ,17.9,9.4,89,52,2.76,21.07
DARTMOOR,02/11/2024,6.2,0.0, ,25.9,5.5,91,22,4.88,23.82
DARTMOOR,03/11/2024,4.3,0.2, ,19.1,10.9,92,41,3.57,24.60
DARTMOOR,04/11/2024,3.2,0.2, ,19.0,9.8,94,56,2.33,18.81
DARTMOOR,05/11/2024,5.2,0.0, ,26.8,4.4,98,29,2.18,27.92
DARTMOOR,06/11/2024,4.6,0.0, ,23.0,13.2,87,46,4.10,21.46
DARTMOOR,07/11/2024,3.8,0.0, ,19.8,5.5,98,51,2.90,24.42
DARTMOOR,08/11/2024,3.9,5.8, ,17.1,8.8,95,40,3.77,23.47
DARTMOOR,09/11/2024,3.0,0.4, ,19.1,7.5,94,54,2.41,16.76
DARTMOOR,10/11/2024,4.0,0.0, ,21.8,4.7,98,49,2.20,25.08
DARTMOOR,11/11/2024,3.0,0.0, ,20.6,7.7,95,61,3.49,15.59
DARTMOOR,12/11/2024,3.1,0.2, ,24.8,11.3,96,55,2.12,13.37
DARTMOOR,13/11/2024,3.7,2.6, ,18.6,11.2,93,58,3.56,21.97
DARTMOOR,14/11/2024,3.9,0.0, ,19.0,10.4,91,44,3.00,21.26
DARTMOOR,15/11/2024,5.0,0.0, ,24.0,4.2,98,36,2.63,29.11
DARTMOOR,16/11/2024,8.6,0.0, ,34.3,8.6,91,11,4.94,22.24
DARTMOOR,17/11/2024,4.3,7.6, ,18.9,10.6,96,40,5.07,22.04
DARTMOOR,18/11/2024,3.3,1.0, ,17.3,10.1,93,54,3.23,18.88
DARTMOOR,19/11/2024,3.1,0.2, ,18.6,10.3,94,49,2.47,16.02
DARTMOOR,20/11/2024,4.4,0.0, ,20.6,8.0,89,50,4.63,25.04
DARTMOOR,21/11/2024,6.7,0.0, ,33.0,6.4,97,17,2.44,28.43
DARTMOOR,22/11/2024,7.2,0.0, ,37.4,13.9,74,16,2.36,25.86
DARTMOOR,23/11/2024,3.4,0.0, ,27.3,20.7,92,35,2.60,8.77
DARTMOOR,24/11/2024,2.2,0.6, ,20.3,14.9,96,76,3.08,10.25
DARTMOOR,25/11/2024,4.7,0.0, ,26.3,13.6,97,58,3.83,23.22
DARTMOOR,26/11/2024,5.9,0.0, ,32.4,12.4,98,36,3.01,23.51
DARTMOOR,27/11/2024,3.4,12.2, ,22.4,17.1,98,49,2.46,14.79
DARTMOOR,28/11/2024,2.2,7.0, ,18.6,12.4,98,85,3.66,14.18
DARTMOOR,29/11/2024,5.3,0.6, ,28.6,12.2,98,52,3.40,25.62
DARTMOOR,30/11/2024, ,0.2, ,19.7,15.9,98,89,2.34, 
Totals:,,125.1,39.2, ,,,,,, 
