'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/12/2024,2.4,30.0, ,20.1,15.1,98,77,3.55,12.52
DARTMOOR,02/12/2024,6.4,0.8, ,32.3,9.6,99,24,2.52,27.13
DARTMOOR,03/12/2024,3.9,7.8, ,20.5,17.0,98,51,3.29,19.57
DARTMOOR,04/12/2024,5.6,0.0, ,26.8,6.1,98,35,1.92,31.58
DARTMOOR,05/12/2024,7.7,0.0, ,35.6,10.4,95,19,2.64,31.65
DARTMOOR,06/12/2024,3.6,0.0, ,29.2,16.1,94,51,1.99,14.03
DARTMOOR,07/12/2024,2.9,17.0, ,21.5,16.9,98,59,3.12,12.60
DARTMOOR,08/12/2024,4.5,0.0, ,20.0,11.0,91,46,2.78,26.80
DARTMOOR,09/12/2024,4.1,0.2, ,21.0,9.3,97,52,1.75,24.95
DARTMOOR,10/12/2024,3.8,0.0, ,20.5,7.8,97,54,1.95,23.22
DARTMOOR,11/12/2024,5.1, , ,22.4,11.2,90,47,3.02,29.67
DARTMOOR,12/12/2024,4.5,0.0, ,23.9,14.2,96,59,3.32,24.04
DARTMOOR,13/12/2024,4.2,0.6, ,21.3,14.1,97,50,2.29,23.70
DARTMOOR,14/12/2024,4.1,0.0, ,23.0,7.6,98,48,1.75,23.52
DARTMOOR,15/12/2024,7.4,0.0, ,35.1,11.1,90,24,2.37,31.68
DARTMOOR,16/12/2024,10.7,0.0, ,40.7,19.5,87,19,5.21,30.74
DARTMOOR,17/12/2024,5.1,0.8, ,21.5,12.3,88,46,4.32,28.20
DARTMOOR,18/12/2024,5.3,0.0, ,24.5,6.8,97,43,3.16,29.77
DARTMOOR,19/12/2024,6.6,0.0, ,30.3,8.5,95,28,2.74,31.32
DARTMOOR,20/12/2024,6.8,0.0, ,28.5,10.3,92,30,3.79,31.73
DARTMOOR,21/12/2024,5.5,0.0, ,21.1,12.0,81,45,4.45,30.46
DARTMOOR,22/12/2024,3.6,0.0, ,20.4,8.3,93,48,2.77,18.46
DARTMOOR,23/12/2024,3.7,2.2, ,18.5,8.3,94,46,3.56,20.23
DARTMOOR,24/12/2024,3.0,0.2, ,19.9,11.8,96,66,2.12,17.03
DARTMOOR,25/12/2024,8.0,0.0, ,36.1,10.8,98,18,2.80,32.14
DARTMOOR,26/12/2024,6.6,0.0, ,33.1,17.0,87,15,4.83,10.52
DARTMOOR,27/12/2024,4.8,0.8, ,20.7,12.1,93,35,3.85,24.40
DARTMOOR,28/12/2024,3.9,0.4, ,20.9,11.3,92,50,3.37,19.39
DARTMOOR,29/12/2024,4.2,0.2, ,24.4,10.2,95,46,2.83,20.00
DARTMOOR,30/12/2024,3.8,0.2, ,23.9,9.9,98,54,2.16,19.88
DARTMOOR,31/12/2024, ,0.0, , ,10.9,98,50,2.24,29.19
Totals:,,151.8,61.2, ,,,,,, 
