'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/02/2025,6.5,0.0, ,33.0,12.0,88,19,2.70,25.37
DARTMOOR,02/02/2025,7.4,0.0, ,39.6,15.2,94,24,2.40,27.47
DARTMOOR,03/02/2025,8.0,0.0, ,39.6,16.2,95,24,3.18,27.11
DARTMOOR,04/02/2025,6.3,0.0, ,25.6,22.4,72,47,5.54,25.61
DARTMOOR,05/02/2025,5.9,0.0, ,24.1,12.7,89,37,6.22,26.56
DARTMOOR,06/02/2025,6.6,0.0, ,30.8,14.5,97,24,3.39,27.31
DARTMOOR,07/02/2025,4.7,0.0, ,25.5,15.0,96,49,4.96,20.56
DARTMOOR,08/02/2025,4.6,0.0, ,23.1,13.9,95,40,5.53,18.52
DARTMOOR,09/02/2025,3.1,1.0, ,21.9,15.6,96,58,7.93,8.22
DARTMOOR,10/02/2025,6.6,0.0, ,29.5,16.9,80,43,6.20,24.14
DARTMOOR,11/02/2025,7.4,0.0, ,35.1,17.1,85,23,3.43,26.83
DARTMOOR,12/02/2025,7.8,0.0, ,39.7,17.2,89,15,2.84,26.57
DARTMOOR,13/02/2025,5.8,0.0, ,28.0,21.2,80,29,5.34,14.65
DARTMOOR,14/02/2025,3.8,0.0, ,22.1,13.4,96,50,3.40,19.36
DARTMOOR,15/02/2025, ,4.2, , ,11.2,94,42,5.23,20.38
DARTMOOR,16/02/2025, ,0.8, ,19.9, ,100,39,2.64,17.79
DARTMOOR,17/02/2025,4.6,0.0, ,24.8,3.8,95,22,1.86,25.44
DARTMOOR,18/02/2025,3.4,0.0, ,20.8,6.7,96,46,3.06,17.63
DARTMOOR,19/02/2025,3.1,0.4, ,20.0,11.6,82,53,3.80,11.67
DARTMOOR,20/02/2025,5.0,0.0, ,23.4,10.1,81,35,3.79,24.25
DARTMOOR,21/02/2025,6.0,0.0, ,30.9,8.8,88,20,2.81,24.43
DARTMOOR,22/02/2025,7.5,0.0, ,39.6,11.5,84,8,2.80,22.13
DARTMOOR,23/02/2025,4.7,0.2, ,24.6,15.7,89,37,4.00,19.36
DARTMOOR,24/02/2025,4.1,0.0, ,23.7,12.5,97,46,3.21,20.97
DARTMOOR,25/02/2025,5.7,0.2, ,32.0,7.5,97,21,2.51,23.90
DARTMOOR,26/02/2025,4.9,0.0, ,28.6,9.2,97,30,2.68,21.30
DARTMOOR,27/02/2025,3.9,0.6, ,26.9,15.5,96,38,2.04,17.55
DARTMOOR,28/02/2025,3.9,0.0, ,24.9,13.9,87,51,2.78,18.75
Totals:,,141.3,7.4, ,,,,,, 
