'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/03/2025,4.1,0.0, ,26.1,7.6,98,41,2.24,21.50
DARTMOOR,02/03/2025,3.8,0.4, ,22.7,11.3,97,45,3.83,17.45
DARTMOOR,03/03/2025,4.4,0.0, ,23.1,4.8,96,39,3.60,23.37
DARTMOOR,04/03/2025,6.5,0.0, ,34.2,10.4,89,13,2.92,23.18
DARTMOOR,05/03/2025,5.0,0.0, ,26.1,7.5,95,39,4.33,22.64
DARTMOOR,06/03/2025,3.9,0.2, ,23.8,13.2,95,53,6.38,15.21
DARTMOOR,07/03/2025,6.5,0.2, ,33.2,15.5,90,31,4.34,22.41
DARTMOOR,08/03/2025,6.3,0.0, ,36.9,15.3,89,18,2.66,22.29
DARTMOOR,09/03/2025,4.9,0.0, ,35.7,17.6,69,25,2.33,13.47
DARTMOOR,10/03/2025,7.2,0.0, ,38.1,18.4,82,21,3.90,19.30
DARTMOOR,11/03/2025,3.6,0.4, ,32.3,18.4,95,37,2.40,9.89
DARTMOOR,12/03/2025,3.8,1.8, ,26.3,16.4,97,52,2.08,20.56
DARTMOOR,13/03/2025,3.9,0.0, ,25.9,15.5,96,52,2.30,21.10
DARTMOOR,14/03/2025,3.8,0.0, ,27.8,11.9,98,38,1.85,18.47
DARTMOOR,15/03/2025,5.4,0.0, ,37.7,13.5,86,16,2.33,14.79
DARTMOOR,16/03/2025,2.8,7.0, ,17.9,15.4,95,47,5.08,9.78
DARTMOOR,17/03/2025,2.8,0.8, ,18.9,7.7,90,45,2.54,14.81
DARTMOOR,18/03/2025,3.5,0.0, ,23.9,7.8,94,38,1.86,20.23
DARTMOOR,19/03/2025,4.9,0.0, ,31.1,7.6,98,17,2.33,19.93
DARTMOOR,20/03/2025, ,0.0, , ,10.8,100,28,2.66,5.91
DARTMOOR,21/03/2025,3.0,3.6, ,21.5,12.8,96,39,1.80,16.74
DARTMOOR,22/03/2025,2.9,0.0, ,22.8,4.3,97,46,1.63,18.10
DARTMOOR,23/03/2025,2.9,0.0, ,24.0,7.3,99,51,2.30,15.44
DARTMOOR,24/03/2025,3.4,0.0, ,24.1,7.2,98,43,2.51,17.92
DARTMOOR,25/03/2025,3.9,0.0, ,25.7,8.8,99,42,3.43,18.28
DARTMOOR,26/03/2025,3.6,0.2, ,23.5,10.8,97,47,4.38,16.48
DARTMOOR,27/03/2025,4.3,0.0, ,25.1,13.4,94,46,5.69,18.28
DARTMOOR,28/03/2025,4.1,0.0, ,32.0,9.4,98,29,2.05,17.16
DARTMOOR,29/03/2025,3.1,0.0, ,22.1,11.9,97,53,5.38,12.45
DARTMOOR,30/03/2025,3.3,0.0, ,22.8,11.8,95,57,6.91,11.52
DARTMOOR,31/03/2025,3.8,0.8, ,21.6,12.5,94,43,6.74,13.66
Totals:,,125.4,15.4, ,,,,,, 
