'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/04/2025,4.2,0.0, ,24.7,10.8,90,35,4.21,17.01
DARTMOOR,02/04/2025, ,0.0, , ,9.2,97,28,2.21,16.19
DARTMOOR,03/04/2025, ,0.0, ,19.4, ,97,53,3.40,12.04
DARTMOOR,04/04/2025,2.0,0.6, ,18.1,9.6,95,50,2.31,8.81
DARTMOOR,05/04/2025,2.5,0.8, ,19.3,5.2,90,40,2.30,14.03
DARTMOOR,06/04/2025,2.6,0.0, ,19.9,6.7,96,51,3.64,13.05
DARTMOOR,07/04/2025,2.2,2.6, ,18.5,10.2,96,54,2.51,11.87
DARTMOOR,08/04/2025,1.5,0.2, ,17.3,6.4,98,60,1.18,8.74
DARTMOOR,09/04/2025,1.7,0.0, ,20.4,4.0,98,46,0.91,10.98
DARTMOOR,10/04/2025, ,0.2, , ,7.6,100,23,2.98,13.49
DARTMOOR,11/04/2025, ,0.2, ,23.4, ,97,48,2.22,14.28
DARTMOOR,12/04/2025,3.9,0.0, ,32.4,9.7,95,23,2.09,15.32
DARTMOOR,13/04/2025,5.4,0.0, ,33.6,14.2,87,19,3.80,13.06
DARTMOOR,14/04/2025,3.2,0.0, ,25.0,16.4,90,51,4.21,12.63
DARTMOOR,15/04/2025,3.5,0.0, ,32.5,12.2,96,27,1.95,14.00
DARTMOOR,16/04/2025,3.0,0.0, ,31.3,14.0,79,26,1.66,10.12
DARTMOOR,17/04/2025,2.6,0.0, ,28.4,11.6,91,36,1.68,10.09
DARTMOOR,18/04/2025,2.7,0.0, ,25.1,15.4,90,41,2.18,12.60
DARTMOOR,19/04/2025,2.6,0.0, ,25.2,14.2,92,39,2.69,6.02
DARTMOOR,20/04/2025,2.6,2.8, ,20.0,13.5,96,57,6.78,9.96
DARTMOOR,21/04/2025,1.8,21.8, ,17.9,14.7,96,73,5.35,9.36
DARTMOOR,22/04/2025,1.7,0.2, ,18.9,9.9,97,69,3.55,9.32
DARTMOOR,23/04/2025,2.4,0.0, ,22.7,11.9,97,58,3.21,12.77
DARTMOOR,24/04/2025,2.4,0.0, ,25.8,11.3,98,42,1.94,12.27
DARTMOOR,25/04/2025,1.5,0.0, ,21.3,9.0,99,57,1.28,8.59
DARTMOOR,26/04/2025,1.2,0.0, ,18.4,10.6,99,75,1.86,7.52
DARTMOOR,27/04/2025,1.2,0.6, ,17.5,9.2,98,75,1.31,8.16
DARTMOOR,28/04/2025,1.4,0.4, ,18.3,11.3,99,65,1.33,9.32
DARTMOOR,29/04/2025,1.7,0.4, ,18.9,8.3,98,61,2.46,10.53
DARTMOOR,30/04/2025,2.3,0.6, ,17.5,10.7,94,51,4.52,11.11
Totals:,,63.8,31.4, ,,,,,, 
