'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/09/2024,2.2,0.0, ,9.0,4.3,93,56,14.09,15.74
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/09/2024,1.6,3.6, ,3.0,-1.1,99,46,9.17,10.31
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/09/2024,2.1,2.2, ,11.4,-2.4,99,37,2.52,16.67
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/09/2024,3.2,0.0, ,14.2,-1.1,87,27,4.92,16.35
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/09/2024,4.0,1.0, ,16.0,4.9,84,31,9.13,15.92
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/09/2024,3.4,0.0, ,16.3,10.4,96,42,8.32,15.71
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/09/2024,2.3,13.2, ,12.3,2.1,99,40,2.56,17.31
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/09/2024,2.0,0.2, ,9.1,-0.7,91,57,7.22,14.68
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/09/2024,2.2,0.0, ,10.2,3.8,90,58,5.22,16.48
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/09/2024,2.8,0.0, ,16.8,-1.4,94,29,2.45,17.81
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/09/2024,2.5,0.0, ,13.6,3.1,99,32,3.00,14.31
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/09/2024,1.2,17.2, ,5.8,1.7,100,73,2.72,9.38
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/09/2024,1.8,0.0, ,12.1,-3.0,99,58,1.61,14.69
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/09/2024,1.1,0.0, ,5.7,-1.9,99,69,3.34,8.13
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/09/2024,1.6,7.6, ,3.7,-3.7,99,51,3.78,14.91
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/09/2024,2.3,0.0, ,8.2,-5.7,99,26,3.84,15.34
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/09/2024,2.6,1.0, ,11.2,-1.5,99,38,3.74,19.11
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/09/2024,3.7,0.0, ,10.6,1.4,69,31,9.29,19.46
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/09/2024,2.7,0.0, ,8.6,3.3,85,39,8.01,15.47
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/09/2024,2.0,0.0, ,7.8,-0.4,97,58,7.29,16.24
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/09/2024,2.0,8.6, ,7.9,1.3,95,64,7.98,17.88
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/09/2024,2.4,0.6, ,10.3,3.6,90,60,6.74,18.63
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/09/2024,3.4,0.0, ,13.7,5.0,77,46,6.67,20.35
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/09/2024,3.9,0.0, ,16.9,6.2,78,37,6.14,17.84
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/09/2024,1.6,0.2, ,10.4,6.1,99,54,3.16,6.70
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/09/2024, ,5.2, , ,-1.3,99,57,2.07,16.59
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/09/2024, , , ,13.8, ,99,31,1.02,21.16
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/09/2024,3.6,0.0, ,19.0,0.0,84,25,2.45,21.31
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/09/2024,1.9,0.0, ,10.8,6.7,99,53,5.92,6.60
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/09/2024,2.9,0.2, ,14.3,-0.3,99,39,2.06,21.15
Totals:,,69,60.8, ,,,,,, 
