'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/11/2024,3.1,0.0, ,13.0,2.7,100,52,1.97,22.55
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/11/2024,4.7,0.0, ,18.2,-1.3,99,27,4.51,27.44
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/11/2024,6.1,0.0, ,21.2,11.4,93,24,8.90,25.06
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/11/2024,4.2,0.4, ,19.1,3.6,97,14,2.43,22.16
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/11/2024,4.5,0.0, ,21.1,2.6,99,38,2.06,27.73
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/11/2024,6.0,0.0, ,24.3,7.2,66,32,5.15,24.85
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/11/2024,4.3,0.0, ,19.7,7.5,100,27,3.92,19.89
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/11/2024,3.7,0.0, ,13.2,5.8,94,35,5.46,22.10
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/11/2024,3.7,0.2, ,17.0,-1.0,99,31,2.75,21.45
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/11/2024,3.9,0.0, ,17.2,0.5,99,42,1.98,27.43
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/11/2024,4.4,0.0, ,21.5,2.0,100,25,1.98,25.25
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/11/2024,2.9,0.0, ,19.0,4.4,99,39,1.68,14.11
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/11/2024,2.8,2.0, ,18.5,7.9,100,60,3.56,14.33
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/11/2024,2.9,2.2, ,15.6,5.6,100,58,1.76,18.33
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/11/2024,4.6,0.0, ,19.8,5.2,100,31,1.91,28.43
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/11/2024,5.7,0.0, ,22.7,4.5,84,30,4.52,28.42
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/11/2024,3.0,1.2, ,16.9,14.7,100,42,7.93,7.31
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/11/2024,3.9,44.0, ,14.1,3.3,99,43,3.58,27.92
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/11/2024,4.1,0.0, ,18.5,-1.4,99,42,1.36,29.37
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/11/2024,4.2,0.0, ,21.3,1.9,100,37,1.52,25.96
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/11/2024,5.1,0.0, ,22.7,5.3,100,37,2.77,28.93
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/11/2024,5.7,0.0, ,24.3,9.9,90,33,3.02,28.93
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/11/2024,6.1,0.0, ,25.0,10.8,71,36,4.25,27.34
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/11/2024,2.3,0.0, ,17.9,10.3,100,65,2.09,10.93
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/11/2024,1.8,18.2, ,18.4,12.7,100,79,1.42,8.44
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/11/2024,3.0,12.0, ,21.3,13.3,100,65,3.94,14.16
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/11/2024,2.4,5.8, ,17.9,11.4,99,76,5.21,12.76
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/11/2024,4.7,11.4, ,21.7,7.4,100,44,2.11,27.26
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/11/2024,3.1,0.0, ,21.3,12.1,100,63,2.14,15.71
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/11/2024, ,32.8, ,16.3,12.3,100,81,3.80, 
Totals:,,116.9,130.2, ,,,,,, 
