'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/01/2025,5.6,0.0, ,24.4,5.7,100,28,2.76,28.86
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/01/2025,4.7,0.0, ,18.7,6.1,99,47,2.11,30.75
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/01/2025,5.5,0.0, ,24.7,3.4,99,32,2.09,30.95
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/01/2025,6.9,0.0, ,27.6,10.6,73,27,3.86,29.68
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/01/2025,7.0,0.0, ,28.5,12.6,63,22,4.99,22.04
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/01/2025,2.7,0.0, ,20.8,15.1,100,45,3.67,7.26
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/01/2025,2.0,16.2, ,13.1,4.4,100,60,3.03,9.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/01/2025,5.0,0.0, ,20.9,2.9,100,35,2.04,31.58
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/01/2025,4.8,0.0, ,23.1,6.6,91,30,2.42,23.80
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/01/2025,4.7,0.0, ,23.4,8.0,100,15,1.97,22.48
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/01/2025,2.9,34.8, ,22.1,8.2,100,46,1.43,13.09
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/01/2025,3.8,2.8, ,23.6,9.8,100,49,2.81,17.23
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/01/2025,5.9,19.8, ,24.1,8.4,99,29,3.32,30.86
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/01/2025,5.5,0.0, ,25.6,10.5,100,36,2.65,27.77
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/01/2025,3.9,0.0, ,26.0,10.5,100,48,4.22,13.23
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/01/2025,3.3,22.6, ,13.6,3.4,100,60,4.32,25.68
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/01/2025, ,0.0, ,17.1,5.8, , , ,23.24
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/01/2025,4.5,0.0, ,19.0,5.0,100,53,2.43,29.96
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/01/2025,5.3,0.0, ,23.2,5.6,100,32,2.21,30.14
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/01/2025,5.1,0.0, ,23.6,7.3,75,28,2.43,25.31
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/01/2025,6.0,0.0, ,26.5,10.4,64,32,2.70,28.82
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/01/2025,4.0,0.0, ,17.2,11.1,99,44,3.22,23.44
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/01/2025,3.5,0.0, ,20.2,2.2,100,50,2.43,19.35
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/01/2025,3.2,6.2, ,17.4,5.1,100,56,2.17,19.54
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/01/2025,4.5,0.0, ,22.5,2.8,100,38,2.22,25.15
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/01/2025,4.2,0.0, ,22.9,7.8,100,53,1.62,24.06
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/01/2025,6.1,0.0, ,27.6,10.1,99,35,4.57,26.42
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/01/2025,4.1,0.8, ,20.6,14.3,99,53,3.10,22.54
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/01/2025,4.1,0.0, ,20.9,7.3,100,58,2.10,25.01
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/01/2025,3.6,0.0, ,19.5,8.8,100,66,2.11,22.83
DINNER PLAIN (MOUNT HOTHAM AIRPORT),31/01/2025,4.6,0.0, ,23.3,5.4,100,44,1.55,27.86
Totals:,,137,103.2, ,,,,,, 
