'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/02/2025,5.1,0.0, ,27.7,7.7,100,36,1.85,25.85
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/02/2025,5.8,0.0, ,29.3,11.3,88,26,2.10,27.78
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/02/2025,6.0,0.0, ,29.1,13.4,71,24,2.05,28.01
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/02/2025,5.4,0.0, ,26.8,14.3,71,36,4.08,19.21
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/02/2025,4.5,0.0, ,25.5,9.5,100,54,2.19,24.77
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/02/2025,5.4,0.0, ,27.2,10.4,100,39,2.93,26.83
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/02/2025,4.2,0.0, ,27.2,16.1,100,45,3.78,15.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/02/2025,1.8,0.0, ,18.7,13.1,100,80,1.91,8.68
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/02/2025,1.4,4.0, ,15.5,11.3,100,92,2.60,7.62
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/02/2025,1.9,1.6, ,15.8,9.4,100,75,2.91,10.05
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/02/2025,3.1,0.8, ,19.7,6.8,100,58,2.15,17.99
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/02/2025,4.5,0.0, ,25.3,9.2,100,43,1.51,25.36
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/02/2025,5.2,0.0, ,24.2,13.6,91,46,5.42,23.83
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/02/2025,3.4,7.8, ,20.2,15.4,100,46,3.22,15.23
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/02/2025,2.7,0.0, ,13.2,4.0,100,51,3.84,16.31
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/02/2025,2.7,1.6, ,10.2,0.1,96,50,4.21,20.73
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/02/2025,3.8,0.0, ,18.9,0.3,99,34,1.54,26.02
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/02/2025,4.2,0.0, ,20.5,5.0,100,30,2.41,23.90
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/02/2025,3.9,0.0, ,18.5,3.3,100,34,2.47,24.21
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/02/2025,3.7,0.0, ,17.9,4.0,99,43,1.90,24.57
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/02/2025,4.3,0.0, ,24.1,3.4,99,29,1.77,24.27
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/02/2025,4.5,0.0, ,24.5,10.2,83,46,4.16,19.50
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/02/2025,3.6,0.2, ,21.6,14.5,100,55,5.60,16.88
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/02/2025,3.9,0.4, ,23.3,10.7,100,46,1.95,20.92
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/02/2025,4.4,0.0, ,25.5,3.6,100,17,1.51,24.57
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/02/2025,5.2,0.0, ,26.4,11.0,84,29,2.92,23.89
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/02/2025,5.5,0.0, ,28.0,9.2,99,19,2.94,24.27
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/02/2025,4.8,0.0, ,24.9,14.0,100,29,3.23,21.70
Totals:,,114.9,16.4, ,,,,,, 
