'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/04/2025,1.8,1.8, ,12.3,5.5,100,62,3.03,12.05
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/04/2025,2.4,0.0, ,16.5,1.3,100,33,1.54,17.00
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/04/2025,2.3,0.0, ,15.8,2.8,100,46,2.86,13.29
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/04/2025,2.4,1.2, ,16.4,5.2,100,43,2.06,16.49
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/04/2025,2.6,0.0, ,13.7,4.4,79,40,3.26,15.98
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/04/2025,3.0,0.0, ,11.0,0.6,84,31,6.81,15.87
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/04/2025,2.3,0.0, ,14.3,3.0,99,47,2.70,16.41
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/04/2025,2.1,0.0, ,17.3,-0.7,99,42,1.10,15.80
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/04/2025,2.6,0.0, ,17.8,0.9,100,35,2.49,16.18
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/04/2025,3.4,0.0, ,17.9,6.6,67,29,4.07,12.74
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/04/2025,2.7,0.0, ,20.8,5.7,100,38,2.38,15.61
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/04/2025,2.9,0.0, ,20.2,8.0,76,38,2.49,15.49
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/04/2025,3.0,0.0, ,20.7,8.9,71,35,2.59,14.92
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/04/2025, ,0.0, , ,8.8,100,51,2.76,9.92
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/04/2025,2.0, , ,18.4,7.0,100,49,1.07,14.28
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/04/2025,2.0,0.0, ,18.0,4.7,100,45,1.23,14.58
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/04/2025,2.2,0.0, ,19.1,4.2,93,38,1.51,14.83
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/04/2025,2.5,0.0, ,20.3,7.3,84,44,2.85,10.52
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/04/2025,3.3,0.0, ,19.5,11.2,60,38,4.20,10.81
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/04/2025,2.9,0.0, ,19.4,9.8,99,37,4.74,10.53
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/04/2025,1.2,6.0, ,11.4,2.9,100,69,2.78,8.18
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/04/2025,0.5,4.2, ,10.2,7.9,100,99,4.33,4.28
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/04/2025,1.1,0.0, ,14.1,8.0,100,87,2.04,8.23
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/04/2025,2.0,0.0, ,17.1,5.7,100,51,3.16,12.01
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/04/2025,1.9,0.0, ,17.6,6.8,99,55,2.68,12.12
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/04/2025,1.3,0.0, ,16.7,6.3,100,60,1.14,8.85
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/04/2025,1.2,0.0, ,14.6,9.5,100,69,1.49,8.02
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/04/2025,1.5,0.4, ,16.9,5.5,100,57,1.61,10.64
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/04/2025,1.1,0.0, ,12.2,6.4,100,73,2.59,6.01
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/04/2025,0.9,5.6, ,8.6,3.2,100,80,2.90,8.87
Totals:,,61.1,19.2, ,,,,,, 
