'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/09/2024,5.8,0.0, ,20.7,13.0,66,35,12.10,15.96
EAST SALE AIRPORT,02/09/2024,3.7,4.4, ,13.8,8.5,91,31,11.85,11.94
EAST SALE AIRPORT,03/09/2024,2.3,10.0, ,16.0,4.6,96,58,4.74,15.29
EAST SALE AIRPORT,04/09/2024,2.2,0.2, ,19.7,0.8,100,48,1.88,14.65
EAST SALE AIRPORT,05/09/2024,4.8,0.8, ,25.1,7.2,88,27,5.98,8.37
EAST SALE AIRPORT,06/09/2024,5.7,0.8, ,28.8,11.5,96,27,6.57,13.11
EAST SALE AIRPORT,07/09/2024,3.0,8.8, ,18.5,8.9,96,43,4.21,16.95
EAST SALE AIRPORT,08/09/2024,3.7,0.0, ,19.2,5.6,94,38,6.25,16.03
EAST SALE AIRPORT,09/09/2024,3.6,0.6, ,17.3,10.0,78,47,7.31,16.37
EAST SALE AIRPORT,10/09/2024, ,0.0, , ,5.0,100,52,2.39,17.48
EAST SALE AIRPORT,11/09/2024,2.4, , ,20.5,4.8,100,57,3.05,13.47
EAST SALE AIRPORT,12/09/2024,1.8,16.8, ,14.6,7.7,92,68,3.60,10.20
EAST SALE AIRPORT,13/09/2024,2.3,0.2, ,16.8,5.2,92,65,5.13,14.65
EAST SALE AIRPORT,14/09/2024,1.4,1.2, ,10.1,8.6,96,69,4.41,7.01
EAST SALE AIRPORT,15/09/2024,2.4,5.6, ,13.8,3.3,96,48,4.06,15.62
EAST SALE AIRPORT,16/09/2024,2.3,0.0, ,14.6,6.1,93,65,6.77,15.05
EAST SALE AIRPORT,17/09/2024,2.9,2.0, ,15.0,7.3,95,52,6.17,18.44
EAST SALE AIRPORT,18/09/2024,4.6,0.0, ,21.0,0.5,99,23,5.48,19.17
EAST SALE AIRPORT,19/09/2024,3.6,0.4, ,17.1,8.6,96,43,8.11,18.24
EAST SALE AIRPORT,20/09/2024,3.4,0.2, ,17.1,7.6,92,46,7.63,16.23
EAST SALE AIRPORT,21/09/2024,3.6,6.2, ,16.8,9.3,87,47,7.74,17.94
EAST SALE AIRPORT,22/09/2024,3.9,0.0, ,19.8,10.4,85,43,6.09,17.04
EAST SALE AIRPORT,23/09/2024,3.7,0.0, ,20.8,7.6,96,49,5.42,19.64
EAST SALE AIRPORT,24/09/2024,2.8,0.0, ,22.3,8.0,100,54,2.03,16.25
EAST SALE AIRPORT,25/09/2024,2.0,0.0, ,16.3,13.2,97,58,4.37,6.01
EAST SALE AIRPORT,26/09/2024,2.5,4.6, ,14.0,6.0,89,53,4.11,14.72
EAST SALE AIRPORT,27/09/2024,2.9,0.0, ,15.4,1.7,94,46,3.04,20.90
EAST SALE AIRPORT,28/09/2024,3.3,0.0, ,20.1,2.0,99,45,2.87,21.08
EAST SALE AIRPORT,29/09/2024,1.2,0.0, ,17.2,5.5,100,72,2.09,4.09
EAST SALE AIRPORT,30/09/2024,3.4,6.0, ,18.9,5.2,100,47,3.94,21.13
Totals:,,91.2,68.8, ,,,,,, 
