'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/10/2024,3.4,0.0, ,18.9,4.4,100,51,5.11,20.49
EAST SALE AIRPORT,02/10/2024,2.8,0.2, ,16.4,2.0,99,55,2.87,21.83
EAST SALE AIRPORT,03/10/2024,3.2,0.0, ,19.7,5.1,99,61,3.61,22.09
EAST SALE AIRPORT,04/10/2024,2.2,0.0, ,21.8,7.3,100,59,2.68,9.13
EAST SALE AIRPORT,05/10/2024,4.4,7.0, ,23.4,9.1,100,34,4.92,17.70
EAST SALE AIRPORT,06/10/2024,3.9,12.0, ,19.8,7.5,99,44,5.95,19.40
EAST SALE AIRPORT,07/10/2024,4.3,0.2, ,21.3,10.6,81,45,6.96,14.79
EAST SALE AIRPORT,08/10/2024,2.8,0.0, ,14.8,5.5,91,44,3.36,16.53
EAST SALE AIRPORT,09/10/2024,3.1,0.0, ,15.8,2.1,97,51,2.91,23.25
EAST SALE AIRPORT,10/10/2024,4.6,0.0, ,23.3,2.8,99,41,4.79,23.32
EAST SALE AIRPORT,11/10/2024,3.9,0.0, ,18.2,9.3,83,51,5.27,23.28
EAST SALE AIRPORT,12/10/2024,3.4,0.0, ,17.2,7.5,93,49,3.52,21.39
EAST SALE AIRPORT,13/10/2024,4.4,0.0, ,24.4,2.3,99,30,2.56,23.34
EAST SALE AIRPORT,14/10/2024,2.9,1.0, ,18.9,8.9,94,62,5.57,14.23
EAST SALE AIRPORT,15/10/2024,4.5,0.0, ,18.6,10.0,79,52,9.66,23.91
EAST SALE AIRPORT,16/10/2024,3.9,0.0, ,20.2,8.1,93,52,3.93,24.32
EAST SALE AIRPORT,17/10/2024, ,0.0, , ,8.4,100,54,3.35,22.21
EAST SALE AIRPORT,18/10/2024,2.0, , ,22.9,14.9,96,81,4.68,8.72
EAST SALE AIRPORT,19/10/2024,4.3,19.8, ,19.5,14.1,95,54,9.48,24.72
EAST SALE AIRPORT,20/10/2024,2.5,0.0, ,18.2,10.9,97,61,4.21,11.88
EAST SALE AIRPORT,21/10/2024,3.9,0.0, ,20.7,7.5,100,60,5.20,25.33
EAST SALE AIRPORT,22/10/2024,5.0,0.0, ,29.8,7.4,100,32,2.75,20.10
EAST SALE AIRPORT,23/10/2024,3.2,0.0, ,20.0,12.0,85,57,3.83,14.24
EAST SALE AIRPORT,24/10/2024,3.4,0.0, ,16.5,8.8,87,54,5.78,18.57
EAST SALE AIRPORT,25/10/2024,4.2,3.2, ,18.1,7.3,93,38,5.34,23.07
EAST SALE AIRPORT,26/10/2024,3.9,0.0, ,17.8,2.5,96,47,3.97,26.48
EAST SALE AIRPORT,27/10/2024,5.6,0.0, ,26.9,8.6,94,25,3.87,22.15
EAST SALE AIRPORT,28/10/2024,4.9,0.0, ,19.6,12.0,83,40,6.03,25.27
EAST SALE AIRPORT,29/10/2024,3.8,0.0, ,20.1,4.8,94,51,5.16,20.42
EAST SALE AIRPORT,30/10/2024,4.7,0.0, ,22.8,5.6,97,42,4.24,24.72
EAST SALE AIRPORT,31/10/2024,4.4,0.0, ,21.5,10.3,91,44,4.76,21.40
Totals:,,113.5,43.4, ,,,,,, 
