'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/01/2025,6.6,0.0, ,27.3,11.2,98,30,4.52,29.86
EAST SALE AIRPORT,02/01/2025,5.8,0.0, ,23.2,10.9,95,34,4.10,30.45
EAST SALE AIRPORT,03/01/2025,5.7,0.0, ,25.3,8.1,96,44,3.62,31.17
EAST SALE AIRPORT,04/01/2025,8.2,0.0, ,39.0,13.2,100,14,2.76,28.73
EAST SALE AIRPORT,05/01/2025,8.2,0.0, ,39.6,17.2,74,16,3.81,19.07
EAST SALE AIRPORT,06/01/2025,3.0,0.0, ,22.4,21.5,95,42,4.97,4.52
EAST SALE AIRPORT,07/01/2025,3.3,8.8, ,20.2,10.1,97,59,5.01,16.22
EAST SALE AIRPORT,08/01/2025,5.9,0.6, ,23.6,11.1,92,45,6.70,30.99
EAST SALE AIRPORT,09/01/2025,5.3,0.0, ,28.3,11.0,99,41,3.05,23.90
EAST SALE AIRPORT,10/01/2025,4.5,0.0, ,26.3,17.2,96,54,4.48,19.31
EAST SALE AIRPORT,11/01/2025,5.3,0.0, ,30.5,15.8,99,45,2.55,23.59
EAST SALE AIRPORT,12/01/2025,5.5,0.2, ,33.0,15.4,100,33,3.53,16.12
EAST SALE AIRPORT,13/01/2025,5.5,41.8, ,28.2,16.4,100,54,3.56,27.28
EAST SALE AIRPORT,14/01/2025,4.5,0.0, ,26.7,15.9,99,56,3.82,20.97
EAST SALE AIRPORT,15/01/2025,3.2,0.0, ,27.7,16.9,100,59,4.13,9.48
EAST SALE AIRPORT,16/01/2025,4.8,9.8, ,23.6,11.6,86,39,4.86,17.86
EAST SALE AIRPORT,17/01/2025,5.1,0.0, ,24.7,11.6,93,47,4.02,26.14
EAST SALE AIRPORT,18/01/2025,6.1,0.0, ,24.3,15.4,84,47,9.09,25.82
EAST SALE AIRPORT,19/01/2025,5.6,0.2, ,24.7,11.1,95,49,5.74,30.10
EAST SALE AIRPORT,20/01/2025,4.2,0.0, ,25.7,10.3,100,54,3.09,20.80
EAST SALE AIRPORT,21/01/2025,6.5,0.0, ,29.0,13.6,99,30,3.46,30.27
EAST SALE AIRPORT,22/01/2025,6.2,0.0, ,26.3,17.3,85,37,5.51,24.19
EAST SALE AIRPORT,23/01/2025,3.5,0.6, ,23.0,13.5,98,59,4.58,15.33
EAST SALE AIRPORT,24/01/2025,5.7,6.2, ,25.2,13.4,98,36,5.04,25.79
EAST SALE AIRPORT,25/01/2025,5.3,0.0, ,25.3,10.9,92,52,4.13,28.42
EAST SALE AIRPORT,26/01/2025,5.3,0.0, ,24.5,13.1,94,48,3.76,28.31
EAST SALE AIRPORT,27/01/2025,8.2,0.0, ,39.4,14.6,98,19,3.65,24.01
EAST SALE AIRPORT,28/01/2025,6.8,0.0, ,26.5,17.3,89,28,6.10,26.08
EAST SALE AIRPORT,29/01/2025,3.9,0.2, ,22.4,9.9,90,49,3.25,19.33
EAST SALE AIRPORT,30/01/2025,4.2,0.0, ,23.5,11.4,84,47,3.42,19.28
EAST SALE AIRPORT,31/01/2025,4.8,0.0, ,24.4,9.9,95,49,3.08,26.70
Totals:,,166.7,68.4, ,,,,,, 
