'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/02/2025,4.9,0.0, ,26.3,10.7,99,59,3.25,28.32
EAST SALE AIRPORT,02/02/2025,7.2,0.0, ,38.2,15.6,100,22,2.30,27.97
EAST SALE AIRPORT,03/02/2025,6.9,0.0, ,36.1,20.0,78,28,3.36,21.67
EAST SALE AIRPORT,04/02/2025,7.4,0.0, ,37.8,18.1,89,22,4.14,17.90
EAST SALE AIRPORT,05/02/2025,3.3,0.0, ,23.2,15.1,90,64,5.94,12.32
EAST SALE AIRPORT,06/02/2025,5.1,1.2, ,28.3,18.6,99,62,5.82,24.44
EAST SALE AIRPORT,07/02/2025,5.3,0.0, ,33.5,17.4,100,45,2.76,21.14
EAST SALE AIRPORT,08/02/2025,1.5,0.8, ,19.2,17.3,99,77,5.63,4.17
EAST SALE AIRPORT,09/02/2025,1.9,30.4, ,20.4,15.6,100,82,7.87,9.21
EAST SALE AIRPORT,10/02/2025,1.6,37.6, ,20.5,16.7,100,85,8.03,6.83
EAST SALE AIRPORT,11/02/2025,4.3,7.2, ,26.4,17.5,100,64,4.73,21.23
EAST SALE AIRPORT,12/02/2025,4.7,0.2, ,27.2,17.7,100,65,3.77,25.34
EAST SALE AIRPORT,13/02/2025,5.1,0.0, ,33.8,17.0,100,32,1.69,21.53
EAST SALE AIRPORT,14/02/2025,2.5,4.4, ,23.8,17.7,98,63,2.91,9.53
EAST SALE AIRPORT,15/02/2025,3.0,1.2, ,17.4,12.8,91,58,7.48,12.12
EAST SALE AIRPORT,16/02/2025,5.1,4.8, ,20.4,8.8,84,32,5.73,24.66
EAST SALE AIRPORT,17/02/2025,4.6,0.0, ,22.1,7.9,89,38,3.28,25.64
EAST SALE AIRPORT,18/02/2025,4.9,0.0, ,24.1,11.2,96,45,4.82,24.28
EAST SALE AIRPORT,19/02/2025,3.9,0.0, ,21.5,13.1,83,46,4.63,14.56
EAST SALE AIRPORT,20/02/2025,4.2,0.0, ,21.1,12.2,90,44,3.46,22.02
EAST SALE AIRPORT,21/02/2025,4.1,0.0, ,23.3,8.0,98,56,2.96,25.38
EAST SALE AIRPORT,22/02/2025,5.6,0.0, ,33.2,12.2,100,38,3.08,22.46
EAST SALE AIRPORT,23/02/2025,5.5,0.8, ,32.3,17.0,91,37,5.28,11.87
EAST SALE AIRPORT,24/02/2025,5.0,2.0, ,25.2,12.5,93,43,4.25,24.02
EAST SALE AIRPORT,25/02/2025, ,0.0, , ,11.1,96,59,3.38,21.46
EAST SALE AIRPORT,26/02/2025, , , ,34.4, ,100,28,2.62,23.42
EAST SALE AIRPORT,27/02/2025,4.0,0.0, ,24.4,13.0,97,57,2.83,22.56
EAST SALE AIRPORT,28/02/2025,5.8,0.0, ,29.1,16.4,95,38,4.92,23.47
Totals:,,117.4,90.6, ,,,,,, 
