'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/03/2025,3.9,0.0, ,25.9,15.7,97,58,3.32,19.71
EAST SALE AIRPORT,02/03/2025,3.0,0.0, ,22.1,17.2,84,59,3.39,12.05
EAST SALE AIRPORT,03/03/2025,2.7,0.0, ,21.8,10.0,93,58,2.43,13.29
EAST SALE AIRPORT,04/03/2025,4.6,0.0, ,25.4,12.8,95,53,5.24,23.16
EAST SALE AIRPORT,05/03/2025,5.4,0.0, ,32.7,11.8,100,31,2.55,23.00
EAST SALE AIRPORT,06/03/2025,4.6,0.0, ,27.7,15.5,92,56,4.47,20.87
EAST SALE AIRPORT,07/03/2025,5.0,0.0, ,25.5,16.7,90,53,6.98,22.59
EAST SALE AIRPORT,08/03/2025,4.2,0.0, ,26.8,12.2,100,49,2.65,22.28
EAST SALE AIRPORT,09/03/2025,5.2,0.0, ,32.7,13.3,100,35,2.60,22.05
EAST SALE AIRPORT,10/03/2025,5.1,0.0, ,32.3,18.4,90,40,3.92,16.23
EAST SALE AIRPORT,11/03/2025,1.8,0.0, ,22.7,18.5,97,79,7.05,4.90
EAST SALE AIRPORT,12/03/2025,4.5,0.6, ,29.2,19.2,99,51,4.19,18.34
EAST SALE AIRPORT,13/03/2025,3.1,0.4, ,25.5,16.6,94,58,3.63,11.65
EAST SALE AIRPORT,14/03/2025,4.6,0.0, ,28.9,16.4,92,34,2.76,19.27
EAST SALE AIRPORT,15/03/2025,3.1,0.0, ,29.1,14.3,99,51,1.85,12.99
EAST SALE AIRPORT,16/03/2025,2.1,0.0, ,21.9,16.9,95,65,4.98,3.81
EAST SALE AIRPORT,17/03/2025,3.5,16.6, ,19.8,8.6,89,39,4.07,15.75
EAST SALE AIRPORT,18/03/2025,3.4,0.2, ,22.0,7.1,96,48,2.85,20.23
EAST SALE AIRPORT,19/03/2025,3.7,0.0, ,26.2,9.1,100,47,2.71,19.00
EAST SALE AIRPORT,20/03/2025,3.2,0.0, ,29.5,12.8,99,45,2.84,8.81
EAST SALE AIRPORT,21/03/2025,1.3,36.6, ,17.8,15.0,100,77,2.42,5.75
EAST SALE AIRPORT,22/03/2025,3.6,0.2, ,22.6,12.7,95,42,2.82,19.22
EAST SALE AIRPORT,23/03/2025,2.8,0.2, ,22.2,10.0,99,63,2.62,16.82
EAST SALE AIRPORT,24/03/2025,1.5,0.0, ,20.0,13.0,97,71,2.35,5.55
EAST SALE AIRPORT,25/03/2025,1.7,0.0, ,20.2,10.2,100,74,2.66,8.59
EAST SALE AIRPORT,26/03/2025,2.0,0.0, ,21.9,14.9,93,66,2.52,8.34
EAST SALE AIRPORT,27/03/2025,2.0,0.0, ,20.4,13.7,94,70,3.35,9.05
EAST SALE AIRPORT,28/03/2025,2.6,0.0, ,24.1,13.6,99,67,2.06,15.54
EAST SALE AIRPORT,29/03/2025,2.0,0.0, ,23.1,16.2,99,70,4.82,6.37
EAST SALE AIRPORT,30/03/2025,2.1,4.4, ,17.5,15.8,94,69,8.05,5.88
EAST SALE AIRPORT,31/03/2025,2.9,0.8, ,19.3,15.0,89,55,5.67,10.66
Totals:,,101.2,60, ,,,,,, 
