'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/04/2025,2.6,0.6, ,20.8,12.1,98,58,3.78,13.66
EAST SALE AIRPORT,02/04/2025,2.6,0.2, ,21.4,8.8,100,52,2.16,16.04
EAST SALE AIRPORT,03/04/2025,2.7,0.0, ,23.3,8.8,100,48,2.50,12.62
EAST SALE AIRPORT,04/04/2025,3.1,0.0, ,20.3,11.0,94,46,4.13,14.84
EAST SALE AIRPORT,05/04/2025,3.4,0.0, ,18.2,10.7,92,38,6.01,13.72
EAST SALE AIRPORT,06/04/2025,4.1,0.0, ,21.4,2.1,98,33,6.20,15.34
EAST SALE AIRPORT,07/04/2025,2.6,3.8, ,18.2,12.0,97,58,5.96,12.37
EAST SALE AIRPORT,08/04/2025,2.7,0.2, ,20.8,7.3,94,52,3.08,15.93
EAST SALE AIRPORT,09/04/2025,2.4,0.0, ,21.5,10.6,99,60,2.29,15.74
EAST SALE AIRPORT,10/04/2025,2.9,0.2, ,24.9,8.5,100,35,2.03,14.36
EAST SALE AIRPORT,11/04/2025,3.0,0.0, ,24.4,11.9,91,55,3.61,13.77
EAST SALE AIRPORT,12/04/2025,2.8,0.0, ,25.0,12.7,99,58,2.80,15.18
EAST SALE AIRPORT,13/04/2025,4.3,0.0, ,31.7,10.8,100,24,2.86,14.85
EAST SALE AIRPORT,14/04/2025,2.0,0.0, ,19.2,15.3,98,60,5.21,4.60
EAST SALE AIRPORT,15/04/2025,2.8,3.6, ,20.9,13.6,96,60,6.08,14.66
EAST SALE AIRPORT,16/04/2025,2.2,0.0, ,21.8,7.3,100,58,2.26,14.12
EAST SALE AIRPORT,17/04/2025,2.3,0.2, ,22.8,10.1,100,54,2.15,13.55
EAST SALE AIRPORT,18/04/2025,2.7,0.8, ,27.0,9.6,100,45,2.54,10.98
EAST SALE AIRPORT,19/04/2025,2.0,0.0, ,24.3,11.5,100,65,2.28,11.03
EAST SALE AIRPORT,20/04/2025,2.5,0.0, ,26.2,13.4,99,39,2.64,5.07
EAST SALE AIRPORT,21/04/2025,2.3,2.8, ,21.5,11.3,100,52,3.69,9.68
EAST SALE AIRPORT,22/04/2025,1.2,0.4, ,18.2,14.0,97,78,3.63,4.48
EAST SALE AIRPORT,23/04/2025,1.7,3.2, ,19.7,13.4,98,72,4.06,8.33
EAST SALE AIRPORT,24/04/2025,2.2,0.0, ,26.3,11.5,100,46,1.43,12.52
EAST SALE AIRPORT,25/04/2025,2.5,0.2, ,25.0,11.0,98,44,2.70,10.38
EAST SALE AIRPORT,26/04/2025,1.5,1.0, ,21.4,11.1,100,70,1.96,9.54
EAST SALE AIRPORT,27/04/2025,1.0,0.2, ,17.4,15.1,99,82,2.86,3.91
EAST SALE AIRPORT,28/04/2025,1.2,0.0, ,17.5,13.1,98,72,1.97,6.35
EAST SALE AIRPORT,29/04/2025,1.3,0.0, ,18.2,11.7,97,76,4.09,4.59
EAST SALE AIRPORT,30/04/2025,1.7,6.4, ,17.4,8.1,98,59,3.37,8.86
Totals:,,72.3,23.8, ,,,,,, 
