'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/09/2024,2.1,1.8, ,16.1,11.4,99,68,8.48,11.14
EDENHOPE AIRPORT,02/09/2024,2.2,6.0, ,13.2,6.5,98,55,8.07,10.23
EDENHOPE AIRPORT,03/09/2024,2.1,2.6, ,16.6,5.5,100,54,1.98,15.44
EDENHOPE AIRPORT,04/09/2024,4.1,0.0, ,21.4,7.9,70,30,4.87,13.09
EDENHOPE AIRPORT,05/09/2024,2.3,0.6, ,17.3,12.9,95,33,3.37,4.24
EDENHOPE AIRPORT,06/09/2024, ,3.4, , ,11.9,98,70,3.08,3.99
EDENHOPE AIRPORT,07/09/2024,1.9,2.6, ,15.2,6.5,100,67,3.61,13.84
EDENHOPE AIRPORT,08/09/2024,2.1,0.8, ,16.6,8.2,100,68,6.00,13.78
EDENHOPE AIRPORT,09/09/2024,2.0,1.4, ,15.3,8.4,100,63,3.75,12.44
EDENHOPE AIRPORT,10/09/2024, ,0.2, , ,9.8,99,63,2.13,15.60
EDENHOPE AIRPORT,11/09/2024, ,0.0, , , ,100,68,2.78,10.78
EDENHOPE AIRPORT,12/09/2024, ,0.6, , , ,100,54,2.60,16.87
EDENHOPE AIRPORT,13/09/2024, ,0.0, ,14.6, ,89,63,2.77,11.02
EDENHOPE AIRPORT,14/09/2024,2.4,0.4, ,13.1,6.9,99,46,4.29,15.37
EDENHOPE AIRPORT,15/09/2024,2.4,0.0, ,14.3,0.9,99,47,2.90,17.55
EDENHOPE AIRPORT,16/09/2024,1.8,0.0, ,13.4,0.8,98,58,2.55,11.72
EDENHOPE AIRPORT,17/09/2024,2.5,0.0, ,14.8,6.8,94,51,2.80,17.33
EDENHOPE AIRPORT,18/09/2024,3.3,0.0, ,18.5,2.9,99,44,4.86,19.27
EDENHOPE AIRPORT,19/09/2024,2.3,0.4, ,14.5,7.9,100,58,5.44,13.67
EDENHOPE AIRPORT,20/09/2024,2.0,0.8, ,15.1,6.0,100,73,5.12,14.79
EDENHOPE AIRPORT,21/09/2024,2.2,3.2, ,15.3,6.6,100,70,4.84,17.32
EDENHOPE AIRPORT,22/09/2024,2.2,2.4, ,16.5,9.0,100,70,3.93,15.00
EDENHOPE AIRPORT,23/09/2024,1.9,1.4, ,17.2,9.7,100,75,2.70,12.62
EDENHOPE AIRPORT,24/09/2024, ,0.6, , ,8.0,100,46,1.35,13.86
EDENHOPE AIRPORT,25/09/2024, ,2.4, , , ,100,71,2.84,8.89
EDENHOPE AIRPORT,26/09/2024, ,1.8, , , ,100,50,2.67,20.49
EDENHOPE AIRPORT,27/09/2024, , , , , ,100,36,1.23,21.29
EDENHOPE AIRPORT,28/09/2024, , , , , ,66,28,5.72,16.60
EDENHOPE AIRPORT,29/09/2024,3.0, , ,16.8,12.1,100,52,4.80,17.89
EDENHOPE AIRPORT,30/09/2024,2.9,1.4, ,18.1,8.1,100,58,3.30,18.80
Totals:,,47.7,34.8, ,,,,,, 
