'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/10/2024,2.9,0.0, ,18.0,8.8,100,51,2.46,18.68
EDENHOPE AIRPORT,02/10/2024,3.6,0.2, ,20.9,6.7,100,37,2.07,22.30
EDENHOPE AIRPORT,03/10/2024,6.3,0.0, ,27.9,9.8,83,25,5.43,21.88
EDENHOPE AIRPORT,04/10/2024,3.1,6.2, ,18.9,14.4,100,59,3.96,17.94
EDENHOPE AIRPORT,05/10/2024,1.8,0.6, ,14.4,10.3,100,76,4.05,11.89
EDENHOPE AIRPORT,06/10/2024,2.9,3.0, ,17.1,10.0,99,57,5.87,16.61
EDENHOPE AIRPORT,07/10/2024,3.0,1.0, ,17.1,11.5,99,54,4.45,16.99
EDENHOPE AIRPORT,08/10/2024,3.0,0.0, ,16.0,2.0,99,40,2.15,21.21
EDENHOPE AIRPORT,09/10/2024,4.3,0.0, ,21.5,3.6,88,23,2.67,23.60
EDENHOPE AIRPORT,10/10/2024, ,0.0, , ,8.5,85,31,3.68,23.69
EDENHOPE AIRPORT,11/10/2024, ,0.0, , , ,100,51,2.60,17.66
EDENHOPE AIRPORT,12/10/2024, ,0.0, , , ,100,16,1.71,24.03
EDENHOPE AIRPORT,13/10/2024,3.7,0.0, ,23.4,9.3,100,22,2.89,12.64
EDENHOPE AIRPORT,14/10/2024, ,0.8, , ,8.8,100,52,3.23,24.41
EDENHOPE AIRPORT,15/10/2024,2.6,1.4, ,20.4,12.5,85,62,4.31,8.25
EDENHOPE AIRPORT,16/10/2024,5.3,0.4, ,27.7,14.0,96,41,4.12,23.27
EDENHOPE AIRPORT,17/10/2024, ,0.2, , ,16.4,100,60,3.95,10.85
EDENHOPE AIRPORT,18/10/2024,1.6, , ,17.6,17.4,100,85,6.37,8.54
EDENHOPE AIRPORT,19/10/2024,2.6,3.4, ,18.3,7.6,100,61,3.02,14.90
EDENHOPE AIRPORT,20/10/2024,4.0,0.0, ,21.7,9.1,100,54,2.79,25.49
EDENHOPE AIRPORT,21/10/2024,4.9,0.0, ,26.5,7.4,100,30,2.21,25.62
EDENHOPE AIRPORT,22/10/2024, ,0.0, ,22.0, ,100,50,3.20,21.11
EDENHOPE AIRPORT,23/10/2024,3.7,0.0, ,18.4,6.7,99,47,3.31,23.57
EDENHOPE AIRPORT,24/10/2024,3.5,0.0, ,16.5,4.2,99,44,3.48,23.09
EDENHOPE AIRPORT,25/10/2024, ,0.0, , ,4.9,100,45,1.52,21.34
EDENHOPE AIRPORT,26/10/2024,4.7,0.0, ,23.6,6.5,83,27,3.07,21.60
EDENHOPE AIRPORT,27/10/2024,4.9,0.0, ,24.1,10.3,88,36,2.68,26.52
EDENHOPE AIRPORT,28/10/2024,4.4,0.0, ,21.1,5.5,100,36,2.59,26.86
EDENHOPE AIRPORT,29/10/2024,4.3,0.0, ,21.8,4.1,100,37,2.11,27.17
EDENHOPE AIRPORT,30/10/2024,4.3,0.0, ,22.2,4.3,100,39,2.29,25.84
EDENHOPE AIRPORT,31/10/2024, ,0.0, , ,6.8,100,44,2.76,18.67
Totals:,,85.4,17.2, ,,,,,, 
