'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/12/2024,3.9,4.2, ,23.6,14.6,100,50,4.46,16.41
EDENHOPE AIRPORT,02/12/2024,8.0,0.0, ,34.0,11.9,100,12,3.75,27.59
EDENHOPE AIRPORT,03/12/2024,3.9,4.4, ,22.3,18.5,100,41,4.36,14.90
EDENHOPE AIRPORT,04/12/2024,5.9,0.0, ,29.2,6.8,100,16,1.68,30.42
EDENHOPE AIRPORT,05/12/2024,8.4,0.0, ,36.5,15.3,58,14,3.00,30.08
EDENHOPE AIRPORT,06/12/2024,3.4,0.0, ,26.4,20.5,97,44,3.06,10.30
EDENHOPE AIRPORT,07/12/2024,4.1,7.8, ,23.9,17.5,100,53,3.62,19.23
EDENHOPE AIRPORT,08/12/2024,5.3,0.0, ,22.4,8.5,100,35,3.01,30.14
EDENHOPE AIRPORT,09/12/2024,4.6,0.0, ,23.9,8.7,98,36,1.77,25.16
EDENHOPE AIRPORT,10/12/2024,5.2,0.0, ,22.9,7.1,100,37,2.59,30.23
EDENHOPE AIRPORT,11/12/2024,5.6,0.0, ,24.3,7.8,100,34,3.33,30.16
EDENHOPE AIRPORT,12/12/2024,5.9,0.0, ,26.0,13.9,89,42,4.03,28.16
EDENHOPE AIRPORT,13/12/2024, ,0.0, , ,13.6,100,35,2.97,29.48
EDENHOPE AIRPORT,14/12/2024, ,0.0, ,28.7, ,96,15,2.50,23.35
EDENHOPE AIRPORT,15/12/2024,7.8,0.0, ,36.7,13.5,82,17,2.42,30.75
EDENHOPE AIRPORT,16/12/2024, ,0.0, , ,23.9,75,13,6.59,24.53
EDENHOPE AIRPORT,17/12/2024, , , , , ,88,31,5.25,29.69
EDENHOPE AIRPORT,18/12/2024, , , , , ,100,21,3.09,30.75
EDENHOPE AIRPORT,19/12/2024, ,0.0, ,33.0, ,73,10,2.84,30.62
EDENHOPE AIRPORT,20/12/2024,8.7,0.0, ,33.0,15.3,85,16,4.62,30.45
EDENHOPE AIRPORT,21/12/2024,6.6,0.0, ,25.5,10.5,87,28,4.47,30.58
EDENHOPE AIRPORT,22/12/2024,5.3,0.0, ,23.4,7.1,92,34,3.90,25.68
EDENHOPE AIRPORT,23/12/2024,5.3,0.0, ,21.1,6.7,89,31,4.58,27.25
EDENHOPE AIRPORT,24/12/2024,5.6,0.0, ,26.5,10.1,78,36,2.27,28.47
EDENHOPE AIRPORT,25/12/2024,9.2,0.0, ,36.8,14.4,86,10,3.90,30.06
EDENHOPE AIRPORT,26/12/2024,8.2,0.0, ,33.2,22.5,70,11,6.52,9.72
EDENHOPE AIRPORT,27/12/2024,5.2,0.0, ,21.3,12.4,86,29,5.13,20.76
EDENHOPE AIRPORT,28/12/2024,4.0,0.0, ,21.6,10.4,96,43,4.00,17.40
EDENHOPE AIRPORT,29/12/2024,4.0,6.0, ,23.6,8.9,100,47,2.52,19.77
EDENHOPE AIRPORT,30/12/2024,5.2,0.0, ,27.0,9.6,100,37,2.69,24.58
EDENHOPE AIRPORT,31/12/2024, ,0.0, , ,11.3,100,25,2.71,30.23
Totals:,,139.3,22.4, ,,,,,, 
