'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/01/2025, ,0.0, , , ,100,41,3.73,31.45
EDENHOPE AIRPORT,02/01/2025, ,0.0, ,26.2, ,100,24,3.78,31.69
EDENHOPE AIRPORT,03/01/2025,7.1,0.0, ,32.2,8.0,86,9,2.27,31.63
EDENHOPE AIRPORT,04/01/2025,8.6,0.0, ,36.7,15.7,59,8,3.71,23.89
EDENHOPE AIRPORT,05/01/2025,8.2,0.0, ,36.6,22.4,80,11,4.26,20.41
EDENHOPE AIRPORT,06/01/2025, , , ,22.1, ,100,34,5.05,20.45
EDENHOPE AIRPORT,07/01/2025,6.6,0.2, ,27.2,8.2,92,32,4.24,31.49
EDENHOPE AIRPORT,08/01/2025,7.2,0.0, ,33.8,13.0,86,20,2.88,28.31
EDENHOPE AIRPORT,09/01/2025,5.6,0.0, ,33.5,18.3,62,23,2.88,13.18
EDENHOPE AIRPORT,10/01/2025,7.1,0.0, ,34.6,14.6,74,18,2.51,26.90
EDENHOPE AIRPORT,11/01/2025,8.5,0.0, ,37.9,19.5,41,13,3.22,25.28
EDENHOPE AIRPORT,12/01/2025,7.0,0.0, ,32.5,17.5,93,22,3.41,26.12
EDENHOPE AIRPORT,13/01/2025,7.2,0.2, ,34.5,15.2,91,23,2.97,27.52
EDENHOPE AIRPORT,14/01/2025,8.3,0.0, ,37.9,15.8,75,13,2.70,30.68
EDENHOPE AIRPORT,15/01/2025,5.7,0.0, ,23.5,18.0,93,30,5.54,22.66
EDENHOPE AIRPORT,16/01/2025,4.8,0.2, ,24.3,9.3,83,36,3.20,21.27
EDENHOPE AIRPORT,17/01/2025, ,0.0, ,29.6,12.6, , , ,28.82
EDENHOPE AIRPORT,18/01/2025, ,0.0, ,34.6,12.6, , , ,30.14
EDENHOPE AIRPORT,19/01/2025,7.9,0.0, ,36.8,17.2,53,10,2.70,27.18
EDENHOPE AIRPORT,20/01/2025, ,0.0, , ,17.9,83,11,2.98,22.50
EDENHOPE AIRPORT,21/01/2025, , , , , , , , ,29.77
EDENHOPE AIRPORT,22/01/2025, , , , , ,84,27,5.53,27.28
EDENHOPE AIRPORT,23/01/2025, , , , , ,100,45,3.46,11.66
EDENHOPE AIRPORT,24/01/2025, ,0.0, , , ,100,32,2.91,28.67
EDENHOPE AIRPORT,25/01/2025, ,0.0, ,29.6, ,95,25,2.79,26.75
EDENHOPE AIRPORT,26/01/2025,6.4,0.0, ,32.7,13.4,93,25,2.09,28.80
EDENHOPE AIRPORT,27/01/2025,12.2,0.0, ,40.7,18.3,80,10,6.99,25.90
EDENHOPE AIRPORT,28/01/2025,6.3,0.0, ,26.7,11.1,90,27,4.15,28.28
EDENHOPE AIRPORT,29/01/2025,6.0,0.0, ,25.5,8.3,89,27,3.93,28.48
EDENHOPE AIRPORT,30/01/2025,5.9,0.0, ,25.9,7.4,83,30,3.46,28.25
EDENHOPE AIRPORT,31/01/2025,6.5,0.0, ,28.7,9.3,90,25,3.71,28.23
Totals:,,143.1,0.6, ,,,,,, 
