'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/02/2025,7.2,0.0, ,34.1,13.8,80,26,3.06,28.49
EILDON FIRE TOWER,02/02/2025,8.3,0.0, ,35.4,19.5,60,27,4.61,25.13
EILDON FIRE TOWER,03/02/2025,7.0,0.0, ,34.3,18.5,81,25,4.05,21.12
EILDON FIRE TOWER,04/02/2025,6.4,0.0, ,34.9,21.9,93,24,4.09,17.24
EILDON FIRE TOWER,05/02/2025,6.4,2.2, ,30.3,12.8,98,39,4.34,27.37
EILDON FIRE TOWER,06/02/2025,7.8,0.0, ,33.9,14.2,84,26,5.19,23.93
EILDON FIRE TOWER,07/02/2025,6.5,0.0, ,34.1,22.3,91,31,4.18,20.12
EILDON FIRE TOWER,08/02/2025, ,0.0, , ,12.8,92,47,5.66,23.54
EILDON FIRE TOWER,09/02/2025, , , , , ,100,48,9.42,19.31
EILDON FIRE TOWER,10/02/2025, , , , ,16.8,73,37,7.80,18.55
EILDON FIRE TOWER,11/02/2025,7.5, , ,30.8,16.2,75,31,5.59,25.94
EILDON FIRE TOWER,12/02/2025,6.7,0.0, ,32.9,16.8,85,29,3.14,26.90
EILDON FIRE TOWER,13/02/2025,6.4,0.0, ,31.1,20.6,87,36,5.63,19.72
EILDON FIRE TOWER,14/02/2025,5.6,8.0, ,24.4,13.7,91,37,6.35,22.89
EILDON FIRE TOWER,15/02/2025,2.9,0.0, ,14.9,8.0,96,52,7.38,13.09
EILDON FIRE TOWER,16/02/2025,3.2,1.4, ,16.0,4.2,98,51,4.47,20.48
EILDON FIRE TOWER,17/02/2025,5.2,0.2, ,24.0,6.2,81,26,3.15,26.07
EILDON FIRE TOWER,18/02/2025,5.5,0.0, ,22.0,10.8,79,33,5.49,25.84
EILDON FIRE TOWER,19/02/2025,4.5,0.0, ,20.1,7.5,78,45,4.34,25.43
EILDON FIRE TOWER,20/02/2025,4.9,0.0, ,23.8,8.4,87,33,2.98,25.46
EILDON FIRE TOWER,21/02/2025,5.9,0.0, ,29.3,10.4,77,26,3.07,24.92
EILDON FIRE TOWER,22/02/2025,7.5,0.0, ,32.0,17.1,80,34,7.03,21.70
EILDON FIRE TOWER,23/02/2025,5.6,7.4, ,28.8,17.7,84,46,6.28,18.52
EILDON FIRE TOWER,24/02/2025,5.1,0.0, ,24.6,11.7,87,37,3.83,24.66
EILDON FIRE TOWER,25/02/2025,6.0,0.0, ,31.0,12.3,61,20,2.71,24.31
EILDON FIRE TOWER,26/02/2025,6.5,0.0, ,32.3,16.7,66,20,3.21,23.77
EILDON FIRE TOWER,27/02/2025,6.5,0.0, ,31.7,13.3,73,16,3.32,23.95
EILDON FIRE TOWER,28/02/2025,6.3,0.0, ,29.2,17.1,78,25,4.45,21.88
Totals:,,151.4,19.2, ,,,,,, 
