'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/04/2025,4.5,0.0, ,21.6,10.9,75,41,6.64,17.60
EILDON FIRE TOWER,02/04/2025,3.4,0.0, ,21.8,8.7,89,35,3.06,16.75
EILDON FIRE TOWER,03/04/2025,3.3,0.0, ,20.7,10.6,90,42,4.03,14.47
EILDON FIRE TOWER,04/04/2025,2.8,0.0, ,17.4,7.3,95,49,4.06,16.37
EILDON FIRE TOWER,05/04/2025,2.8,0.0, ,15.0,7.3,94,45,5.22,16.33
EILDON FIRE TOWER,06/04/2025,2.4,0.0, ,15.8,6.0,88,51,4.32,10.57
EILDON FIRE TOWER,07/04/2025,2.0,0.2, ,14.8,8.4,97,60,4.94,9.51
EILDON FIRE TOWER,08/04/2025,2.7,0.0, ,20.5,7.4,87,47,2.24,16.19
EILDON FIRE TOWER,09/04/2025,3.0,0.0, ,22.2,8.1,98,39,2.93,15.25
EILDON FIRE TOWER,10/04/2025,3.3,0.2, ,22.9,11.4,74,33,2.54,15.75
EILDON FIRE TOWER,11/04/2025,3.3,0.0, ,25.4,14.7,79,31,2.10,15.66
EILDON FIRE TOWER,12/04/2025,3.6,0.0, ,26.9,13.4,84,30,2.51,15.49
EILDON FIRE TOWER,13/04/2025,4.1,0.0, ,27.0,16.0,57,31,3.06,15.01
EILDON FIRE TOWER,14/04/2025,3.3,0.0, ,22.5,17.1,72,47,3.80,11.32
EILDON FIRE TOWER,15/04/2025,3.5,0.0, ,25.1,11.3,86,38,3.42,14.82
EILDON FIRE TOWER,16/04/2025,2.8,0.0, ,22.9,12.1,82,44,2.46,14.62
EILDON FIRE TOWER,17/04/2025,3.0,0.0, ,25.6,14.4,77,37,2.08,14.72
EILDON FIRE TOWER,18/04/2025,3.6,0.0, ,26.4,16.2,64,35,2.79,13.98
EILDON FIRE TOWER,19/04/2025,4.2,0.0, ,25.9,16.6,55,31,3.93,10.85
EILDON FIRE TOWER,20/04/2025,3.1,0.0, ,20.3,16.3,71,32,4.07,3.76
EILDON FIRE TOWER,21/04/2025,2.8,0.4, ,20.3,9.8,92,41,3.78,11.49
EILDON FIRE TOWER,22/04/2025,2.7,0.0, ,19.5,9.7,92,56,6.48,10.78
EILDON FIRE TOWER,23/04/2025,4.2,0.0, ,24.6,11.7,73,37,5.33,13.79
EILDON FIRE TOWER,24/04/2025,3.0,0.0, ,22.7,12.9,87,46,3.98,12.08
EILDON FIRE TOWER,25/04/2025,2.8,0.0, ,23.1,15.2,98,49,4.85,8.50
EILDON FIRE TOWER,26/04/2025,1.2,12.4, ,17.2,11.9,98,80,2.33,7.27
EILDON FIRE TOWER,27/04/2025,1.8,0.2, ,19.2,10.9,98,73,3.37,12.74
EILDON FIRE TOWER,28/04/2025,1.5,0.0, ,16.2,8.3,97,71,2.66,10.58
EILDON FIRE TOWER,29/04/2025,2.2,0.2, ,18.2,9.4,93,58,4.72,10.95
EILDON FIRE TOWER,30/04/2025,3.2,0.0, ,16.6,9.2,72,49,7.60,12.70
Totals:,,90.1,13.6, ,,,,,, 
