'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/09/2024,4.7,0.0, ,19.5,13.3,72,45,11.05,15.23
ESSENDON AIRPORT,02/09/2024,2.6,4.0, ,13.2,7.7,100,50,12.03,13.36
ESSENDON AIRPORT,03/09/2024,2.5,1.8, ,17.0,7.3,92,48,3.79,12.44
ESSENDON AIRPORT,04/09/2024,4.3,0.0, ,18.9,9.6,78,35,7.53,15.48
ESSENDON AIRPORT,05/09/2024,4.6,0.2, ,20.1,12.0,67,37,8.95,5.71
ESSENDON AIRPORT,06/09/2024,4.5,0.4, ,24.4,15.2,94,37,8.24,7.59
ESSENDON AIRPORT,07/09/2024,3.4,0.0, ,19.8,7.2,99,34,4.30,16.03
ESSENDON AIRPORT,08/09/2024,2.8,0.0, ,17.9,9.0,100,51,6.88,12.11
ESSENDON AIRPORT,09/09/2024,2.8,2.2, ,17.5,8.6,99,47,5.61,12.30
ESSENDON AIRPORT,10/09/2024,3.3,0.0, ,19.6,7.2,95,46,4.83,17.33
ESSENDON AIRPORT,11/09/2024,3.0,0.0, ,21.4,12.4,100,49,5.75,9.91
ESSENDON AIRPORT,12/09/2024,2.6,8.4, ,14.4,8.8,100,51,5.37,17.18
ESSENDON AIRPORT,13/09/2024,1.9,0.4, ,16.4,8.1,100,64,3.96,10.36
ESSENDON AIRPORT,14/09/2024,1.6,0.8, ,10.8,8.4,100,63,6.47,7.41
ESSENDON AIRPORT,15/09/2024,2.5,4.8, ,13.4,4.8,93,52,5.09,17.11
ESSENDON AIRPORT,16/09/2024,2.0,0.0, ,15.3,6.3,100,65,6.13,11.22
ESSENDON AIRPORT,17/09/2024,2.8,0.4, ,16.5,9.2,100,45,3.92,16.43
ESSENDON AIRPORT,18/09/2024,5.0,0.0, ,20.8,5.4,83,24,6.43,19.34
ESSENDON AIRPORT,19/09/2024,3.1,0.4, ,17.3,9.5,99,45,6.94,12.84
ESSENDON AIRPORT,20/09/2024,3.2,1.2, ,18.0,8.0,96,45,6.56,12.00
ESSENDON AIRPORT,21/09/2024,3.2,1.4, ,17.7,9.2,95,45,6.31,12.85
ESSENDON AIRPORT,22/09/2024,3.8,0.6, ,20.9,10.5,89,42,5.79,13.96
ESSENDON AIRPORT,23/09/2024,2.6,0.0, ,18.6,10.2,100,51,4.23,11.31
ESSENDON AIRPORT,24/09/2024,4.1,0.0, ,25.6,9.2,100,30,3.54,15.33
ESSENDON AIRPORT,25/09/2024,1.7,1.6, ,14.1,13.1,100,66,4.20,7.28
ESSENDON AIRPORT,26/09/2024,2.8,8.0, ,13.9,9.0,79,54,6.05,13.32
ESSENDON AIRPORT,27/09/2024,3.0,0.0, ,17.0,7.0,94,47,2.32,21.07
ESSENDON AIRPORT,28/09/2024,4.4,0.0, ,21.2,6.3,99,36,6.05,21.00
ESSENDON AIRPORT,29/09/2024,2.4,0.0, ,17.1,14.3,96,57,6.54,6.37
ESSENDON AIRPORT,30/09/2024,3.5,2.2, ,20.2,7.4,99,43,4.19,18.32
Totals:,,94.7,38.8, ,,,,,, 
