'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/10/2024,2.8,0.2, ,18.1,8.6,100,58,4.38,16.57
ESSENDON AIRPORT,02/10/2024,3.4,0.0, ,19.3,7.8,100,50,3.27,22.00
ESSENDON AIRPORT,03/10/2024,5.1,0.0, ,25.3,7.7,100,34,5.14,21.44
ESSENDON AIRPORT,04/10/2024,4.7,0.0, ,23.6,16.1,96,42,8.19,16.32
ESSENDON AIRPORT,05/10/2024,3.3,1.0, ,19.9,10.4,100,49,5.18,15.00
ESSENDON AIRPORT,06/10/2024,4.3,7.2, ,20.9,11.8,90,38,6.44,15.40
ESSENDON AIRPORT,07/10/2024,2.6,0.0, ,17.3,13.1,93,59,6.54,9.33
ESSENDON AIRPORT,08/10/2024,3.1,2.2, ,14.7,5.6,99,48,5.10,20.57
ESSENDON AIRPORT,09/10/2024,4.1,0.0, ,21.0,3.5,93,31,2.87,23.43
ESSENDON AIRPORT,10/10/2024,5.0,0.0, ,21.4,10.1,72,46,6.98,22.71
ESSENDON AIRPORT,11/10/2024,3.5,0.0, ,18.3,6.4,89,45,4.84,16.74
ESSENDON AIRPORT,12/10/2024,3.8,0.0, ,17.8,8.6,95,48,4.50,23.82
ESSENDON AIRPORT,13/10/2024,5.9,0.0, ,24.6,5.1,100,25,6.60,22.31
ESSENDON AIRPORT,14/10/2024,3.7,0.4, ,20.5,13.5,100,59,4.16,22.19
ESSENDON AIRPORT,15/10/2024,4.8,0.0, ,27.2,9.0,100,36,3.24,21.93
ESSENDON AIRPORT,16/10/2024,4.8,4.6, ,25.2,14.9,97,44,4.68,22.20
ESSENDON AIRPORT,17/10/2024,4.4,0.0, ,25.3,16.9,99,48,6.08,16.29
ESSENDON AIRPORT,18/10/2024,2.7,1.6, ,22.2,18.2,100,63,6.03,9.63
ESSENDON AIRPORT,19/10/2024,3.1,22.2, ,17.4,12.5,100,62,5.73,19.82
ESSENDON AIRPORT,20/10/2024,3.7,0.4, ,19.9,12.0,100,58,4.78,22.38
ESSENDON AIRPORT,21/10/2024,5.3,0.0, ,27.6,9.6,100,33,2.88,25.71
ESSENDON AIRPORT,22/10/2024,6.8,0.0, ,30.2,13.9,100,32,6.58,22.52
ESSENDON AIRPORT,23/10/2024,4.7,0.0, ,21.3,12.5,89,37,4.94,21.97
ESSENDON AIRPORT,24/10/2024,4.8,0.0, ,19.6,8.8,91,31,6.35,21.61
ESSENDON AIRPORT,25/10/2024,4.1,0.2, ,16.3,8.0,96,33,5.29,23.16
ESSENDON AIRPORT,26/10/2024,5.4,0.6, ,23.0,5.0,91,10,3.15,26.02
ESSENDON AIRPORT,27/10/2024,6.6,0.0, ,28.5,11.4,88,25,6.57,16.39
ESSENDON AIRPORT,28/10/2024, ,0.0, , ,10.7,97,49,5.46,22.85
ESSENDON AIRPORT,29/10/2024, , , , , ,90,50,4.42,22.57
ESSENDON AIRPORT,30/10/2024,4.8, , ,22.8,11.2,90,44,4.18,25.23
ESSENDON AIRPORT,31/10/2024,3.7,0.0, ,19.4,10.9,97,48,5.14,18.62
Totals:,,125,40.6, ,,,,,, 
