'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/02/2025,6.5,0.0, ,31.7,14.3,92,41,3.65,28.22
ESSENDON AIRPORT,02/02/2025,9.9,0.0, ,39.0,17.8,100,24,6.72,24.90
ESSENDON AIRPORT,03/02/2025,7.8,24.6, ,38.6,20.6,100,20,4.75,17.78
ESSENDON AIRPORT,04/02/2025,9.0,0.0, ,38.3,24.6,86,22,5.86,21.75
ESSENDON AIRPORT,05/02/2025,5.5,0.0, ,24.3,17.0,87,49,5.36,26.39
ESSENDON AIRPORT,06/02/2025,7.5,0.0, ,36.0,17.2,96,22,3.25,27.86
ESSENDON AIRPORT,07/02/2025,3.0,0.0, ,25.0,18.5,100,64,4.92,11.32
ESSENDON AIRPORT,08/02/2025,2.9,0.0, ,21.3,16.9,83,62,5.54,7.49
ESSENDON AIRPORT,09/02/2025,6.4,0.0, ,29.4,17.3,85,44,6.50,23.13
ESSENDON AIRPORT,10/02/2025,6.4,0.0, ,28.0,17.6,88,44,6.96,25.35
ESSENDON AIRPORT,11/02/2025,6.3,0.0, ,31.3,18.0,99,37,3.67,26.45
ESSENDON AIRPORT,12/02/2025,7.0,0.0, ,34.5,18.2,99,28,3.40,26.97
ESSENDON AIRPORT,13/02/2025,7.6,0.0, ,34.6,22.1,94,31,7.77,15.51
ESSENDON AIRPORT,14/02/2025,4.1,0.2, ,24.2,14.4,100,51,4.70,17.94
ESSENDON AIRPORT,15/02/2025,4.1,0.8, ,18.6,11.9,95,44,8.37,17.93
ESSENDON AIRPORT,16/02/2025,4.2,7.2, ,19.2,9.0,99,39,5.80,21.93
ESSENDON AIRPORT,17/02/2025,4.8,0.4, ,22.3,10.8,76,41,3.16,26.00
ESSENDON AIRPORT,18/02/2025,4.5,0.2, ,22.5,11.9,93,43,5.07,20.90
ESSENDON AIRPORT,19/02/2025,3.5,0.0, ,20.3,13.4,92,53,6.11,13.78
ESSENDON AIRPORT,20/02/2025,4.8,0.0, ,21.2,14.5,72,44,5.71,19.24
ESSENDON AIRPORT,21/02/2025,6.8,0.0, ,33.1,10.2,90,21,3.52,24.08
ESSENDON AIRPORT,22/02/2025,10.2,0.0, ,37.0,14.4,64,26,7.63,22.98
ESSENDON AIRPORT,23/02/2025,8.2,0.0, ,31.7,25.2,77,30,8.32,19.59
ESSENDON AIRPORT,24/02/2025,4.4,0.0, ,23.4,13.6,89,46,4.64,19.85
ESSENDON AIRPORT,25/02/2025,5.2,0.0, ,26.7,14.5,93,44,4.15,24.22
ESSENDON AIRPORT,26/02/2025,9.1,0.0, ,37.1,15.1,97,12,5.55,22.09
ESSENDON AIRPORT,27/02/2025,4.8,0.0, ,26.9,16.8,94,48,3.77,22.27
ESSENDON AIRPORT,28/02/2025,5.3,0.0, ,27.8,17.1,94,44,4.22,23.51
Totals:,,169.8,33.4, ,,,,,, 
