'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/03/2025,4.7,0.0, ,26.2,15.4,88,45,2.96,23.14
ESSENDON AIRPORT,02/03/2025,3.5,0.0, ,21.9,15.5,86,54,4.64,13.28
ESSENDON AIRPORT,03/03/2025,4.3,0.2, ,21.7,11.3,84,51,4.78,22.72
ESSENDON AIRPORT,04/03/2025,6.4,0.0, ,33.6,11.4,98,22,3.43,22.93
ESSENDON AIRPORT,05/03/2025,8.4,0.0, ,35.8,16.3,92,22,6.02,22.69
ESSENDON AIRPORT,06/03/2025,2.8,0.4, ,24.5,17.0,100,65,4.82,10.41
ESSENDON AIRPORT,07/03/2025,5.2,0.0, ,30.0,15.7,100,31,2.97,22.35
ESSENDON AIRPORT,08/03/2025,7.1,0.2, ,33.6,14.2,96,13,4.15,22.19
ESSENDON AIRPORT,09/03/2025,7.9,0.0, ,35.2,17.6,60,29,5.44,20.51
ESSENDON AIRPORT,10/03/2025,6.7,0.0, ,33.7,23.3,73,33,4.31,21.54
ESSENDON AIRPORT,11/03/2025,5.6,0.0, ,33.6,19.9,88,36,3.53,19.33
ESSENDON AIRPORT,12/03/2025,7.5,0.0, ,36.5,19.2,100,27,5.89,18.31
ESSENDON AIRPORT,13/03/2025,3.3,1.6, ,24.7,18.1,96,56,3.20,15.17
ESSENDON AIRPORT,14/03/2025,4.6,0.0, ,28.6,15.2,100,36,3.02,20.11
ESSENDON AIRPORT,15/03/2025,6.8,0.0, ,38.6,16.6,95,10,3.49,14.65
ESSENDON AIRPORT,16/03/2025,2.1,4.0, ,21.4,19.7,100,59,6.05,2.64
ESSENDON AIRPORT,17/03/2025,3.5,9.4, ,19.6,9.6,92,42,5.32,13.94
ESSENDON AIRPORT,18/03/2025,4.6,0.0, ,26.4,10.8,86,26,2.94,20.05
ESSENDON AIRPORT,19/03/2025,5.6,0.0, ,33.0,10.9,100,26,3.59,17.82
ESSENDON AIRPORT,20/03/2025,4.9,0.0, ,26.8,15.7,100,31,7.41,6.80
ESSENDON AIRPORT,21/03/2025,2.1,9.4, ,19.5,14.6,100,66,3.60,10.28
ESSENDON AIRPORT,22/03/2025,3.4,3.2, ,21.2,10.9,96,47,3.21,19.24
ESSENDON AIRPORT,23/03/2025,3.4,0.0, ,23.1,11.5,97,54,3.30,18.98
ESSENDON AIRPORT,24/03/2025,2.6,0.0, ,21.1,15.0,92,59,3.77,10.69
ESSENDON AIRPORT,25/03/2025,3.3,0.0, ,23.9,11.9,100,55,3.31,17.77
ESSENDON AIRPORT,26/03/2025,2.6,0.0, ,21.5,14.0,99,61,3.85,12.85
ESSENDON AIRPORT,27/03/2025,3.2,0.0, ,22.5,15.6,97,59,3.99,17.81
ESSENDON AIRPORT,28/03/2025,4.6,0.0, ,30.4,13.9,100,39,4.34,15.12
ESSENDON AIRPORT,29/03/2025,2.1,3.4, ,21.2,17.0,100,64,5.54,5.98
ESSENDON AIRPORT,30/03/2025,3.4,0.6, ,22.2,15.8,100,49,6.65,11.51
ESSENDON AIRPORT,31/03/2025,4.2,0.0, ,22.3,14.1,85,38,6.12,13.00
Totals:,,140.4,32.4, ,,,,,, 
