'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/02/2025,4.6,0.0, ,23.0,10.3,92,39,0.24,28.17
FALLS CREEK,02/02/2025,4.6,0.0, ,25.0,14.8,68,33,0.41,26.27
FALLS CREEK,03/02/2025,5.4,0.0, ,23.9,15.6,59,29,1.68,27.52
FALLS CREEK,04/02/2025,4.8,0.0, ,21.8,15.2,62,37,4.30,17.16
FALLS CREEK,05/02/2025,4.7,0.0, ,23.0,14.8,99,42,1.24,25.97
FALLS CREEK,06/02/2025,5.0,0.0, ,21.6,12.2,85,57,4.51,27.68
FALLS CREEK,07/02/2025,3.7,0.0, ,21.3,14.2,93,58,4.86,17.02
FALLS CREEK,08/02/2025,2.7,1.6, ,18.2,12.6,99,70,2.26,14.30
FALLS CREEK,09/02/2025,1.9,0.8, ,14.7,10.2,99,99,1.33,11.80
FALLS CREEK,10/02/2025,2.0,2.0, ,12.9,7.1,99,89,5.05,16.55
FALLS CREEK,11/02/2025,3.1,0.0, ,16.6,7.0,99,72,2.76,20.60
FALLS CREEK,12/02/2025,3.8,0.0, ,22.1,9.9,99,48,0.20,23.02
FALLS CREEK,13/02/2025,3.5,0.0, ,18.3,11.7,99,66,7.76,21.95
FALLS CREEK,14/02/2025,2.4,13.6, ,13.3,11.8,99,51,6.52,8.47
FALLS CREEK,15/02/2025,1.4,1.6, ,5.4,2.9,99,72,5.18,10.64
FALLS CREEK,16/02/2025,2.4,1.6, ,7.4,-3.3,98,57,7.33,23.76
FALLS CREEK,17/02/2025,3.5,0.0, ,16.0,-1.5,99,34,1.01,25.93
FALLS CREEK,18/02/2025,3.5,0.0, ,16.2,3.2,99,30,0.52,25.12
FALLS CREEK,19/02/2025,3.1,0.0, ,14.5,1.6,99,58,0.22,23.33
FALLS CREEK,20/02/2025,3.4,0.0, ,16.0,0.4,99,42,0.36,25.53
FALLS CREEK,21/02/2025,3.3,0.2, ,19.0,5.0,61,8,0.10,25.44
FALLS CREEK,22/02/2025,3.0,0.0, ,18.3,11.7,99,50,2.76,14.60
FALLS CREEK,23/02/2025,2.4,1.8, ,14.8,10.7,99,63,8.29,11.34
FALLS CREEK,24/02/2025,3.9,8.2, ,19.1,10.2,99,44,0.62,24.89
FALLS CREEK,25/02/2025,3.5,0.0, ,22.4,6.2,99,16,0.00,24.62
FALLS CREEK,26/02/2025,4.7,0.0, ,20.5,12.9,83,40,4.44,22.98
FALLS CREEK,27/02/2025,4.7,0.0, ,21.7,11.9,90,28,2.93,24.24
FALLS CREEK,28/02/2025,4.4,0.0, ,19.2,12.1,69,36,3.52,21.41
Totals:,,99.4,31.4, ,,,,,, 
