'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/03/2025,5.4,0.0, ,19.8,11.2,73,28,6.17,23.80
FALLS CREEK,02/03/2025,4.1,0.0, ,19.6,12.8,99,28,2.74,21.88
FALLS CREEK,03/03/2025,3.3,0.0, ,20.0,5.9,99,53,0.43,21.79
FALLS CREEK,04/03/2025,3.1,0.0, ,20.8,8.7,76,29,0.05,20.99
FALLS CREEK,05/03/2025,3.8,0.0, ,22.0,11.0,81,31,0.92,23.13
FALLS CREEK,06/03/2025,3.8,0.0, ,19.3,10.6,99,35,1.94,23.03
FALLS CREEK,07/03/2025,3.8,0.0, ,19.9,7.6,99,36,1.93,22.84
FALLS CREEK,08/03/2025,3.3,0.0, ,22.4,9.9,73,30,0.21,22.61
FALLS CREEK,09/03/2025,3.3,0.0, ,20.8,10.2,82,46,0.33,21.41
FALLS CREEK,10/03/2025,1.7,14.8, ,17.8,12.2,99,74,2.15,8.23
FALLS CREEK,11/03/2025,3.4,11.8, ,18.1,10.5,99,59,3.34,21.96
FALLS CREEK,12/03/2025,3.1,0.0, ,19.9,10.6,99,62,0.43,20.37
FALLS CREEK,13/03/2025,3.5,0.0, ,19.4,12.8,83,50,3.67,16.61
FALLS CREEK,14/03/2025,5.2,0.0, ,21.6,14.2,68,31,5.66,20.23
FALLS CREEK,15/03/2025,4.3,0.0, ,22.8,15.3,34,19,2.31,16.64
FALLS CREEK,16/03/2025,3.2,0.0, ,16.6,15.8,99,33,9.51,4.73
FALLS CREEK,17/03/2025,2.7,31.0, ,9.2,-2.3,98,41,6.48,20.17
FALLS CREEK,18/03/2025,2.6, , ,14.8,-1.2,68,39,0.95,20.43
FALLS CREEK,19/03/2025,3.3,0.0, ,17.0,8.1,90,55,8.31,16.46
FALLS CREEK,20/03/2025,0.9,0.0, ,12.2,10.5,99,88,9.17,3.44
FALLS CREEK,21/03/2025,1.5,74.2, ,14.2,10.4,100,83,3.70,9.17
FALLS CREEK,22/03/2025,2.8,1.2, ,17.1,6.9,99,24,1.07,18.70
FALLS CREEK,23/03/2025, ,0.0, , ,9.9,85,40,0.23,18.64
FALLS CREEK,24/03/2025, , , ,17.5, ,99,67,2.45,18.50
FALLS CREEK,25/03/2025,2.3,0.0, ,18.0,10.8,99,63,1.40,14.14
FALLS CREEK,26/03/2025,2.7,0.0, ,18.5,10.9,99,63,1.16,17.75
FALLS CREEK,27/03/2025,2.1,0.0, ,17.4,10.0,99,70,0.04,14.37
FALLS CREEK,28/03/2025,2.0,0.0, ,18.0,9.4,99,54,0.16,13.10
FALLS CREEK,29/03/2025,1.5,8.0, ,12.8,9.0,99,82,7.97,10.41
FALLS CREEK,30/03/2025,0.6,7.0, ,8.2,5.9,99,99,12.17,8.50
FALLS CREEK,31/03/2025,0.7,13.8, ,6.5,4.7,99,99,8.78,10.69
Totals:,,84,161.8, ,,,,,, 
