'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/04/2025,1.6,5.0, ,7.7,2.6,99,79,4.75,16.74
FALLS CREEK,02/04/2025,1.9,0.2, ,11.6,0.9,99,59,0.16,17.52
FALLS CREEK,03/04/2025,1.5,0.0, ,10.8,4.9,99,57,1.45,10.06
FALLS CREEK,04/04/2025,1.7,0.0, ,10.1,2.0,99,73,2.01,15.97
FALLS CREEK,05/04/2025,1.7,0.0, ,9.4,0.8,99,58,0.83,15.81
FALLS CREEK,06/04/2025,1.7,0.0, ,4.8,-0.4,99,40,6.14,8.54
FALLS CREEK,07/04/2025,1.7,1.6, ,9.8,0.8,99,65,2.71,14.65
FALLS CREEK,08/04/2025,1.7,0.0, ,12.7,1.7,78,45,0.04,16.44
FALLS CREEK,09/04/2025,2.2,0.0, ,11.7,5.4,99,57,7.04,16.17
FALLS CREEK,10/04/2025,2.5,0.0, ,12.8,7.0,66,49,3.61,13.10
FALLS CREEK,11/04/2025,2.0,0.0, ,15.8,7.4,72,52,0.52,15.55
FALLS CREEK,12/04/2025,1.8,0.0, ,15.9,9.6,67,51,0.01,15.35
FALLS CREEK,13/04/2025,1.8,0.0, ,15.5,8.7,80,58,0.04,14.69
FALLS CREEK,14/04/2025,1.6,0.0, ,14.3,9.5,99,58,0.95,10.48
FALLS CREEK,15/04/2025,1.5,0.0, ,14.3,4.8,99,64,0.06,13.28
FALLS CREEK,16/04/2025,1.7,0.0, ,14.8,7.0,87,59,0.73,13.89
FALLS CREEK,17/04/2025,2.5,0.0, ,15.1,5.7,87,10,2.05,14.82
FALLS CREEK,18/04/2025,1.6,0.0, ,15.5,8.5,82,58,0.10,14.20
FALLS CREEK,19/04/2025,2.7,0.0, ,14.3,9.4,75,46,4.98,11.04
FALLS CREEK,20/04/2025,2.4,0.0, ,13.6,8.2,99,48,8.09,9.77
FALLS CREEK,21/04/2025,1.1,17.0, ,8.2,2.0,99,76,4.94,9.53
FALLS CREEK,22/04/2025,0.4,2.8, ,7.2,4.4,99,99,13.40,6.66
FALLS CREEK,23/04/2025, ,2.6, , ,5.2,100,72,3.61,12.55
FALLS CREEK,24/04/2025, , , ,11.6, ,96,76,2.98,11.35
FALLS CREEK,25/04/2025, ,0.4, , ,6.9,96,77,3.52,9.58
FALLS CREEK,26/04/2025, , , , , ,99,74,0.31,7.97
FALLS CREEK,27/04/2025,1.2, , ,10.7,5.9,99,82,0.28,11.69
FALLS CREEK,28/04/2025,1.0,0.0, ,10.0,4.7,99,87,0.31,7.94
FALLS CREEK,29/04/2025,1.0,4.8, ,8.4,4.2,99,89,1.57,10.67
FALLS CREEK,30/04/2025,0.7,9.4, ,4.4,0.0,99,99,3.41,10.49
Totals:,,43.2,43.8, ,,,,,, 
