'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/09/2024,1.7,1.2, ,13.8,9.1,86,54,3.31,4.79
FERNY CREEK,02/09/2024,1.5,11.2, ,9.1,5.0,100,56,2.81,11.26
FERNY CREEK,03/09/2024,1.5,0.6, ,13.0,3.5,100,58,1.14,11.76
FERNY CREEK,04/09/2024,2.8,0.0, ,15.4,7.0,76,38,3.56,15.10
FERNY CREEK,05/09/2024,2.5,1.0, ,20.1,10.1,95,37,3.60,4.06
FERNY CREEK,06/09/2024,2.2,9.8, ,19.8,10.5,100,32,2.48,5.39
FERNY CREEK,07/09/2024,2.1,6.2, ,15.3,7.0,100,46,1.35,15.59
FERNY CREEK,08/09/2024,1.4,0.6, ,12.8,5.6,100,68,2.02,8.71
FERNY CREEK,09/09/2024,1.3,8.0, ,12.1,6.4,100,64,1.07,8.89
FERNY CREEK,10/09/2024,2.1,0.6, ,15.8,4.6,100,56,1.39,17.51
FERNY CREEK,11/09/2024,1.9,0.0, ,16.9,9.8,100,58,1.63,11.85
FERNY CREEK,12/09/2024,1.9,9.4, ,11.4,4.2,100,59,1.76,16.59
FERNY CREEK,13/09/2024,1.0,0.6, ,10.9,5.7,100,84,0.52,6.87
FERNY CREEK,14/09/2024,1.0,15.6, ,7.0,5.1,100,85,1.64,8.10
FERNY CREEK,15/09/2024,1.9,11.4, ,10.9,2.7,100,51,1.94,16.17
FERNY CREEK,16/09/2024,1.1,0.4, ,9.8,3.9,100,81,1.48,7.38
FERNY CREEK,17/09/2024,1.8,7.8, ,12.1,4.7,100,59,1.09,14.70
FERNY CREEK,18/09/2024,3.0,0.0, ,16.5,5.0,100,29,2.60,19.22
FERNY CREEK,19/09/2024,1.6,6.4, ,12.3,6.0,100,67,1.17,11.35
FERNY CREEK,20/09/2024,1.4,7.8, ,12.9,4.6,100,61,1.54,8.06
FERNY CREEK,21/09/2024,1.6,13.6, ,12.3,6.1,100,61,1.35,10.23
FERNY CREEK,22/09/2024,1.7,1.6, ,14.7,6.8,100,54,1.78,8.34
FERNY CREEK,23/09/2024,1.6,0.4, ,15.1,8.1,94,74,1.69,9.30
FERNY CREEK,24/09/2024,2.8,0.0, ,20.8,9.6,88,38,1.32,15.85
FERNY CREEK,25/09/2024,1.4,0.8, ,11.4,10.5,100,47,1.43,6.51
FERNY CREEK,26/09/2024,1.8,17.2, ,9.9,3.8,96,61,1.99,13.36
FERNY CREEK,27/09/2024,2.6,0.0, ,14.2,4.6,92,54,1.59,20.93
FERNY CREEK,28/09/2024,3.5,0.0, ,17.7,8.2,66,42,2.56,20.82
FERNY CREEK,29/09/2024,1.4,0.0, ,12.8,11.2,100,61,2.64,4.76
FERNY CREEK,30/09/2024,2.3,7.6, ,15.9,5.0,100,55,0.97,16.69
Totals:,,56.4,139.8, ,,,,,, 
