'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/03/2025,3.9,0.2, ,23.9,11.5,100,41,1.29,23.69
FERNY CREEK,02/03/2025, ,0.0, , ,12.3,100,77,1.61,14.93
FERNY CREEK,03/03/2025,3.7, , ,19.6,9.5,93,49,2.74,22.54
FERNY CREEK,04/03/2025,4.7,0.2, ,29.1,9.5,100,26,2.02,22.88
FERNY CREEK,05/03/2025,4.8,0.0, ,31.7,14.4,100,22,1.52,22.81
FERNY CREEK,06/03/2025,2.9,0.2, ,23.5,14.2,100,60,1.94,15.18
FERNY CREEK,07/03/2025,4.4,0.2, ,27.4,14.2,100,38,2.09,22.38
FERNY CREEK,08/03/2025,4.5,0.2, ,29.8,15.7,82,23,1.38,22.27
FERNY CREEK,09/03/2025,4.3,0.0, ,31.6,19.7,62,28,1.36,19.17
FERNY CREEK,10/03/2025,4.3,0.2, ,30.5,20.1,81,38,1.71,19.15
FERNY CREEK,11/03/2025,4.4,0.0, ,29.4,18.6,80,43,2.17,19.87
FERNY CREEK,12/03/2025,3.7,0.0, ,31.3,18.8,100,32,1.68,14.22
FERNY CREEK,13/03/2025,2.6,19.0, ,22.7,14.2,100,58,0.76,14.92
FERNY CREEK,14/03/2025,3.5,0.2, ,26.9,12.7,100,23,0.96,19.74
FERNY CREEK,15/03/2025,3.9,0.4, ,33.0,17.1,56,12,1.23,15.35
FERNY CREEK,16/03/2025,1.1,6.2, ,17.4,16.6,100,59,1.67,1.81
FERNY CREEK,17/03/2025,2.3,50.0, ,16.4,6.7,100,42,1.25,14.50
FERNY CREEK,18/03/2025,3.2,0.0, ,22.3,8.7,93,35,1.27,20.18
FERNY CREEK,19/03/2025,3.7,0.0, ,28.6,11.9,57,30,1.29,18.46
FERNY CREEK,20/03/2025,2.5,0.0, ,23.3,20.6,100,22,2.36,4.85
FERNY CREEK,21/03/2025,1.5,33.8, ,16.1,11.5,100,83,1.47,9.50
FERNY CREEK,22/03/2025,2.7,0.6, ,18.9,8.9,94,59,1.12,19.26
FERNY CREEK,23/03/2025,2.9,0.0, ,21.1,10.8,100,57,1.91,18.79
FERNY CREEK,24/03/2025,1.9,0.2, ,17.8,12.7,100,68,1.56,11.39
FERNY CREEK,25/03/2025,2.6,0.2, ,21.4,11.1,100,67,2.06,16.90
FERNY CREEK,26/03/2025,2.0,0.2, ,18.8,11.7,100,69,1.41,12.81
FERNY CREEK,27/03/2025,2.8,0.2, ,21.2,11.0,100,54,1.92,18.14
FERNY CREEK,28/03/2025,2.7,0.0, ,25.9,11.3,100,44,1.31,14.40
FERNY CREEK,29/03/2025,1.4,3.8, ,17.7,15.8,100,60,1.29,5.25
FERNY CREEK,30/03/2025,2.1,0.4, ,17.0,12.6,100,69,6.23,11.95
FERNY CREEK,31/03/2025,2.8,0.4, ,17.2,10.1,100,48,5.33,13.22
Totals:,,93.8,116.8, ,,,,,, 
