'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/04/2025,3.0,0.0, ,19.4,10.0,100,50,4.74,16.69
FERNY CREEK,02/04/2025,2.6,0.0, ,21.5,9.9,89,36,1.12,17.00
FERNY CREEK,03/04/2025,2.1,0.0, ,17.9,10.3,100,49,1.07,14.41
FERNY CREEK,04/04/2025,1.7,0.4, ,15.2,9.0,95,51,0.73,12.46
FERNY CREEK,05/04/2025,1.8,10.8, ,14.1,7.0,100,49,1.07,13.95
FERNY CREEK,06/04/2025,1.6,0.2, ,16.7,5.2,100,48,1.39,8.11
FERNY CREEK,07/04/2025,1.1,2.2, ,13.3,8.5,100,76,0.80,7.27
FERNY CREEK,08/04/2025,1.3,1.6, ,14.5,9.7,100,75,0.70,9.21
FERNY CREEK,09/04/2025,2.1,0.2, ,20.2,9.0,100,41,0.82,15.32
FERNY CREEK,10/04/2025,2.6,0.0, ,22.5,12.2,85,35,1.50,15.38
FERNY CREEK,11/04/2025,2.2,0.0, ,20.2,13.6,100,42,1.25,14.49
FERNY CREEK,12/04/2025,2.5,0.0, ,27.0,11.8,100,27,0.89,15.22
FERNY CREEK,13/04/2025,3.3,0.2, ,26.5,20.0,47,29,1.85,13.60
FERNY CREEK,14/04/2025,2.3,0.0, ,19.4,13.9,100,46,2.44,13.08
FERNY CREEK,15/04/2025,2.2,0.2, ,22.8,10.7,100,45,1.28,14.43
FERNY CREEK,16/04/2025,2.2,0.0, ,23.1,16.0,66,44,1.14,11.39
FERNY CREEK,17/04/2025,2.1,0.2, ,26.1,16.3,65,31,0.56,14.43
FERNY CREEK,18/04/2025,2.5,0.4, ,26.1,15.3,100,31,1.43,12.88
FERNY CREEK,19/04/2025,2.7,0.0, ,25.2,13.0,83,22,1.87,10.05
FERNY CREEK,20/04/2025,2.2,1.0, ,19.9,15.6,75,29,1.93,5.80
FERNY CREEK,21/04/2025,1.5,2.2, ,18.2,9.6,100,52,1.33,9.15
FERNY CREEK,22/04/2025,1.2,2.6, ,15.6,9.5,100,78,2.49,7.29
FERNY CREEK,23/04/2025,2.1,0.2, ,20.5,10.1,100,55,2.59,13.42
FERNY CREEK,24/04/2025,2.7,0.2, ,22.4,14.4,76,44,2.62,13.06
FERNY CREEK,25/04/2025,1.6,0.0, ,21.6,16.4,100,48,1.75,5.86
FERNY CREEK,26/04/2025,0.9,14.0, ,17.6,12.2,100,81,1.04,4.40
FERNY CREEK,27/04/2025,0.8,0.8, ,13.0,10.9,100,91,1.76,5.48
FERNY CREEK,28/04/2025,1.2,0.0, ,15.3,9.3,100,70,1.48,9.25
FERNY CREEK,29/04/2025,0.8,4.8, ,13.2,10.1,100,95,2.31,6.98
FERNY CREEK,30/04/2025,1.4,1.6, ,13.7,8.3,100,71,4.24,10.93
Totals:,,58.3,43.8, ,,,,,, 
