'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),01/11/2024,3.2,0.0, ,16.6,10.1,83,45,1.88,18.55
FRANKSTON (BALLAM PARK),02/11/2024,4.9,0.0, ,25.9,5.9,94,22,2.35,23.34
FRANKSTON (BALLAM PARK),03/11/2024,5.2,0.0, ,21.4,11.2,78,17,2.74,27.51
FRANKSTON (BALLAM PARK),04/11/2024,4.0,0.0, ,19.5,10.7,89,48,1.58,25.72
FRANKSTON (BALLAM PARK),05/11/2024,4.7,0.0, ,24.5,8.7,92,37,1.56,27.71
FRANKSTON (BALLAM PARK),06/11/2024,5.7,0.0, ,32.4,14.6,80,27,2.41,21.49
FRANKSTON (BALLAM PARK),07/11/2024,3.8,0.0, ,20.5,10.5,96,43,1.28,23.56
FRANKSTON (BALLAM PARK),08/11/2024,3.8,0.8, ,18.8,11.2,98,43,3.04,21.30
FRANKSTON (BALLAM PARK),09/11/2024,3.3,0.0, ,19.0,7.0,87,40,1.35,19.53
FRANKSTON (BALLAM PARK),10/11/2024,3.6,0.0, ,19.6,8.4,92,48,1.70,21.52
FRANKSTON (BALLAM PARK),11/11/2024,4.9,0.0, ,23.4,9.3,95,41,2.19,28.68
FRANKSTON (BALLAM PARK),12/11/2024,4.5,0.0, ,27.0,12.1,96,38,1.69,22.18
FRANKSTON (BALLAM PARK),13/11/2024,2.4,4.2, ,19.2,14.1,100,55,1.52,11.79
FRANKSTON (BALLAM PARK),14/11/2024,3.8,2.0, ,18.3,11.2,77,47,1.69,22.66
FRANKSTON (BALLAM PARK),15/11/2024,4.6,0.0, ,20.9,10.1,80,48,2.20,28.46
FRANKSTON (BALLAM PARK),16/11/2024,6.5,0.0, ,32.9,10.2,99,20,2.33,28.16
FRANKSTON (BALLAM PARK),17/11/2024,4.0,0.0, ,22.0,17.4,91,33,3.08,15.77
FRANKSTON (BALLAM PARK),18/11/2024,4.2,6.2, ,18.8,10.4,91,47,3.00,25.93
FRANKSTON (BALLAM PARK),19/11/2024,3.9,0.0, ,17.6,11.7,70,51,1.71,23.59
FRANKSTON (BALLAM PARK),20/11/2024,4.3,0.0, ,19.5,10.7,83,52,2.08,26.86
FRANKSTON (BALLAM PARK),21/11/2024, ,0.0, , ,10.0,97,24,1.79,30.36
FRANKSTON (BALLAM PARK),22/11/2024, , , ,35.7, ,100,16,1.71,29.15
FRANKSTON (BALLAM PARK),23/11/2024,5.7,0.0, ,35.9,22.3,84,22,2.19,18.49
FRANKSTON (BALLAM PARK),24/11/2024,2.0,12.2, ,22.5,18.1,100,83,1.19,9.48
FRANKSTON (BALLAM PARK),25/11/2024,1.3, , ,19.5,15.9,100,94,1.96,6.31
FRANKSTON (BALLAM PARK),26/11/2024,4.2,0.2, ,26.7,16.4,100,58,1.53,21.47
FRANKSTON (BALLAM PARK),27/11/2024,4.5,13.6, ,29.9,18.1,100,50,2.76,18.54
FRANKSTON (BALLAM PARK),28/11/2024,4.8,19.4, ,23.4,14.3,100,61,2.03,28.82
FRANKSTON (BALLAM PARK),29/11/2024,6.0,0.0, ,27.9,18.1,93,58,4.19,30.48
FRANKSTON (BALLAM PARK),30/11/2024, ,0.6, ,22.3,18.6,100,87,3.26, 
Totals:,,113.8,59.2, ,,,,,, 
