'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),01/12/2024,3.9,9.0, ,23.7,16.4,100,56,2.54,19.80
FRANKSTON (BALLAM PARK),02/12/2024,5.9,13.4, ,30.3,14.1,100,31,1.60,29.97
FRANKSTON (BALLAM PARK),03/12/2024,5.2,4.8, ,29.3,18.8,100,50,2.44,24.08
FRANKSTON (BALLAM PARK),04/12/2024,5.0,0.2, ,22.2,10.0,90,51,2.01,31.50
FRANKSTON (BALLAM PARK),05/12/2024, ,0.0, , ,12.3,100,20,1.67,31.64
FRANKSTON (BALLAM PARK),06/12/2024, , , ,28.9, ,78,35,1.76,16.06
FRANKSTON (BALLAM PARK),07/12/2024, ,1.0, , ,19.0,100,63,2.34,18.87
FRANKSTON (BALLAM PARK),08/12/2024, ,0.0, , , ,100,44,2.45,29.70
FRANKSTON (BALLAM PARK),09/12/2024,4.0,0.0, ,20.9,9.6,100,45,1.29,24.71
FRANKSTON (BALLAM PARK),10/12/2024,4.9,0.0, ,21.8,11.7,86,41,1.76,29.12
FRANKSTON (BALLAM PARK),11/12/2024,5.0,0.0, ,22.6,10.8,88,44,1.55,30.16
FRANKSTON (BALLAM PARK),12/12/2024, ,0.0, , ,13.8,100,48,2.77,23.85
FRANKSTON (BALLAM PARK),13/12/2024, ,0.4, ,22.6, ,100,58,1.93,26.21
FRANKSTON (BALLAM PARK),14/12/2024,4.6,0.2, ,24.9,9.6,98,43,1.70,25.57
FRANKSTON (BALLAM PARK),15/12/2024,6.2,0.0, ,29.1,11.8,98,37,2.36,31.91
FRANKSTON (BALLAM PARK),16/12/2024, ,0.0, , ,15.2,86,27,2.99,22.16
FRANKSTON (BALLAM PARK),17/12/2024,5.5, , ,22.6,17.2,89,41,2.54,30.18
FRANKSTON (BALLAM PARK),18/12/2024,5.2, , ,20.9,10.6,85,44,2.72,31.47
FRANKSTON (BALLAM PARK),19/12/2024,6.6,0.0, ,29.0,11.6,85,29,2.60,32.17
FRANKSTON (BALLAM PARK),20/12/2024,7.1,0.0, ,34.2,13.4,86,20,2.37,29.65
FRANKSTON (BALLAM PARK),21/12/2024,4.3,0.0, ,20.6,13.0,88,49,1.91,24.89
FRANKSTON (BALLAM PARK),22/12/2024,4.6,0.0, ,21.8,10.3,93,31,1.54,26.65
FRANKSTON (BALLAM PARK),23/12/2024,4.1,10.2, ,17.9,9.0,91,48,2.60,26.17
FRANKSTON (BALLAM PARK),24/12/2024,4.3,1.4, ,22.7,12.0,97,54,1.74,24.58
FRANKSTON (BALLAM PARK),25/12/2024,6.2,0.4, ,30.6,14.2,87,27,1.55,30.86
FRANKSTON (BALLAM PARK),26/12/2024,6.3,0.0, ,35.6,17.5,80,19,2.80,18.19
FRANKSTON (BALLAM PARK),27/12/2024,4.6,0.2, ,21.0,15.7,74,46,2.68,23.34
FRANKSTON (BALLAM PARK),28/12/2024,3.9,0.2, ,21.8,11.9,91,43,2.18,19.64
FRANKSTON (BALLAM PARK),29/12/2024,5.6,1.4, ,25.0,12.2,93,42,2.29,31.77
FRANKSTON (BALLAM PARK),30/12/2024,5.2,0.0, ,26.4,12.7,100,38,1.58,27.98
FRANKSTON (BALLAM PARK),31/12/2024,5.5,0.0, ,24.4,16.3,89,48,1.93,30.35
Totals:,,123.7,42.8, ,,,,,, 
