'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),01/03/2025,3.8,0.2, ,26.1,13.1,98,37,1.12,21.10
FRANKSTON (BALLAM PARK),02/03/2025,3.0,0.0, ,21.7,14.5,91,53,2.11,14.84
FRANKSTON (BALLAM PARK),03/03/2025,3.7,0.0, ,21.9,9.0,90,47,2.08,22.36
FRANKSTON (BALLAM PARK),04/03/2025, ,0.0, , ,12.8,100,30,2.19,22.86
FRANKSTON (BALLAM PARK),05/03/2025, ,0.0, , , ,94,31,1.81,22.72
FRANKSTON (BALLAM PARK),06/03/2025, ,0.0, ,27.1, ,94,57,2.14,13.34
FRANKSTON (BALLAM PARK),07/03/2025,5.4,0.0, ,30.8,17.8,85,33,2.86,22.30
FRANKSTON (BALLAM PARK),08/03/2025,4.9,0.0, ,32.3,14.3,100,21,1.86,22.15
FRANKSTON (BALLAM PARK),09/03/2025,4.5,0.0, ,35.0,17.2,91,28,1.38,19.93
FRANKSTON (BALLAM PARK),10/03/2025,5.1,1.0, ,33.2,21.6,85,36,2.09,21.61
FRANKSTON (BALLAM PARK),11/03/2025,4.9,0.0, ,29.4,19.8,87,51,3.81,20.48
FRANKSTON (BALLAM PARK),12/03/2025,4.4,0.0, ,35.0,19.4,96,32,2.03,15.24
FRANKSTON (BALLAM PARK),13/03/2025,3.1,3.2, ,25.1,15.5,98,52,1.36,17.08
FRANKSTON (BALLAM PARK),14/03/2025,3.3,0.0, ,26.4,12.8,100,50,1.31,18.74
FRANKSTON (BALLAM PARK),15/03/2025,3.7,0.0, ,35.8,15.6,95,18,1.30,12.53
FRANKSTON (BALLAM PARK),16/03/2025,1.6,5.6, ,21.3,18.9,100,55,2.11,3.21
FRANKSTON (BALLAM PARK),17/03/2025,2.6,10.0, ,18.9,9.0,80,43,1.61,14.04
FRANKSTON (BALLAM PARK),18/03/2025,3.4,0.0, ,24.4,9.8,91,36,1.45,20.02
FRANKSTON (BALLAM PARK),19/03/2025,3.9,0.0, ,32.4,11.4,93,30,1.37,18.77
FRANKSTON (BALLAM PARK),20/03/2025,2.3,0.0, ,26.6,16.0,100,46,2.64,4.27
FRANKSTON (BALLAM PARK),21/03/2025,1.9,29.6, ,19.2,14.9,100,59,1.79,9.28
FRANKSTON (BALLAM PARK),22/03/2025,2.7,0.0, ,21.6,9.7,91,53,1.03,17.60
FRANKSTON (BALLAM PARK),23/03/2025,3.1,0.0, ,23.4,11.6,91,51,1.80,18.83
FRANKSTON (BALLAM PARK),24/03/2025,2.5,0.0, ,21.1,13.4,92,56,1.73,14.18
FRANKSTON (BALLAM PARK),25/03/2025,3.2,0.0, ,23.8,12.6,98,55,2.31,18.43
FRANKSTON (BALLAM PARK),26/03/2025,2.6,0.0, ,21.1,15.3,93,59,2.15,14.37
FRANKSTON (BALLAM PARK),27/03/2025,3.1,0.0, ,23.9,12.6,88,51,1.83,17.77
FRANKSTON (BALLAM PARK),28/03/2025, ,0.0, , ,13.7,100,42,0.93,16.05
FRANKSTON (BALLAM PARK),29/03/2025, ,0.0, ,21.5, ,100,61,1.88,8.38
FRANKSTON (BALLAM PARK),30/03/2025,3.3,0.2, ,21.7,15.6,97,48,4.16,15.46
FRANKSTON (BALLAM PARK),31/03/2025,3.4,0.0, ,21.8,14.7,85,45,3.45,16.31
Totals:,,89.4,49.8, ,,,,,, 
