'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/09/2024,4.7,0.0, ,24.9,11.0,76,29,4.87,16.12
GABO ISLAND LIGHTHOUSE,02/09/2024,5.2,0.0, ,16.9,11.1,83,26,15.09,13.40
GABO ISLAND LIGHTHOUSE,03/09/2024,2.9,2.2, ,15.2,8.3,84,62,11.93,14.50
GABO ISLAND LIGHTHOUSE,04/09/2024,3.3,0.0, ,18.0,7.7,89,42,5.39,15.98
GABO ISLAND LIGHTHOUSE,05/09/2024,4.0,0.0, ,24.1,12.3,75,30,4.03,12.13
GABO ISLAND LIGHTHOUSE,06/09/2024,5.5,0.0, ,29.8,13.3,90,23,4.71,16.27
GABO ISLAND LIGHTHOUSE,07/09/2024,2.6,9.0, ,16.5,12.2,95,64,6.29,17.12
GABO ISLAND LIGHTHOUSE,08/09/2024,3.3,0.2, ,19.6,9.9,88,38,3.50,17.31
GABO ISLAND LIGHTHOUSE,09/09/2024,2.9,0.0, ,16.1,11.6,82,61,7.44,15.06
GABO ISLAND LIGHTHOUSE,10/09/2024,2.8,0.0, ,17.2,10.7,92,60,5.20,17.68
GABO ISLAND LIGHTHOUSE,11/09/2024,2.1,0.0, ,17.8,11.8,94,78,3.73,14.42
GABO ISLAND LIGHTHOUSE,12/09/2024,2.9,0.0, ,15.7,12.8,92,55,10.71,10.55
GABO ISLAND LIGHTHOUSE,13/09/2024,2.7,0.0, ,16.3,10.2,87,63,8.54,11.63
GABO ISLAND LIGHTHOUSE,14/09/2024,2.1,0.0, ,12.8,11.7,91,67,12.09,7.55
GABO ISLAND LIGHTHOUSE,15/09/2024,2.6,15.8, ,13.1,6.6,90,60,15.10,12.61
GABO ISLAND LIGHTHOUSE,16/09/2024,2.6,2.2, ,14.8,8.7,89,65,14.88,12.06
GABO ISLAND LIGHTHOUSE,17/09/2024,2.9,5.8, ,16.6,10.0,89,64,9.60,16.44
GABO ISLAND LIGHTHOUSE,18/09/2024,3.7,0.0, ,18.8,7.1,89,35,4.32,19.25
GABO ISLAND LIGHTHOUSE,19/09/2024,2.8,0.0, ,15.4,10.2,89,62,7.15,17.37
GABO ISLAND LIGHTHOUSE,20/09/2024,3.8,0.0, ,17.6,9.8,84,44,6.64,18.63
GABO ISLAND LIGHTHOUSE,21/09/2024,3.3,1.0, ,16.6,9.6,86,58,8.26,19.39
GABO ISLAND LIGHTHOUSE,22/09/2024,3.7,0.0, ,20.1,11.1,83,50,4.82,19.43
GABO ISLAND LIGHTHOUSE,23/09/2024,4.3,0.0, ,23.2,10.3,86,36,3.97,20.26
GABO ISLAND LIGHTHOUSE,24/09/2024,2.7,0.0, ,19.6,11.7,91,71,6.96,14.05
GABO ISLAND LIGHTHOUSE,25/09/2024,2.5,0.0, ,20.1,14.4,95,58,6.07,6.24
GABO ISLAND LIGHTHOUSE,26/09/2024,3.2,12.8, ,13.8,10.3,86,53,10.45,15.42
GABO ISLAND LIGHTHOUSE,27/09/2024,2.7,0.2, ,15.7,8.2,83,57,4.24,15.35
GABO ISLAND LIGHTHOUSE,28/09/2024,3.6,0.0, ,17.4,9.4,85,59,9.95,21.09
GABO ISLAND LIGHTHOUSE,29/09/2024,3.7,0.0, ,19.6,14.2,91,56,9.58,15.08
GABO ISLAND LIGHTHOUSE,30/09/2024,2.7,0.0, ,16.2,12.2,94,73,8.32,20.54
Totals:,,97.8,49.2, ,,,,,, 
