'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/10/2024,3.1,0.0, ,16.6,10.3,88,69,9.53,21.18
GABO ISLAND LIGHTHOUSE,02/10/2024,3.4,0.0, ,16.5,11.0,87,60,6.47,21.37
GABO ISLAND LIGHTHOUSE,03/10/2024,3.0,0.0, ,18.0,13.3,89,74,8.82,19.99
GABO ISLAND LIGHTHOUSE,04/10/2024,2.8,0.0, ,17.8,14.6,94,69,10.00,14.51
GABO ISLAND LIGHTHOUSE,05/10/2024,2.7,8.8, ,17.7,13.6,96,75,6.89,18.43
GABO ISLAND LIGHTHOUSE,06/10/2024,3.2,0.6, ,17.3,11.1,94,64,7.29,20.71
GABO ISLAND LIGHTHOUSE,07/10/2024,4.6,0.0, ,21.6,10.1,90,46,9.08,18.35
GABO ISLAND LIGHTHOUSE,08/10/2024,3.8,0.0, ,14.6,9.3,83,48,10.51,20.35
GABO ISLAND LIGHTHOUSE,09/10/2024,3.8,0.2, ,16.1,8.1,76,54,7.10,23.30
GABO ISLAND LIGHTHOUSE,10/10/2024,4.7,0.2, ,20.2,12.0,77,51,7.90,23.51
GABO ISLAND LIGHTHOUSE,11/10/2024,3.4,0.0, ,16.4,11.3,82,59,8.10,17.11
GABO ISLAND LIGHTHOUSE,12/10/2024,3.7,0.0, ,15.6,11.8,82,59,9.96,21.73
GABO ISLAND LIGHTHOUSE,13/10/2024,4.2,0.0, ,18.3,7.8,88,51,8.66,24.08
GABO ISLAND LIGHTHOUSE,14/10/2024,2.3,0.0, ,18.2,12.3,90,71,5.38,9.75
GABO ISLAND LIGHTHOUSE,15/10/2024,4.2,0.0, ,16.9,13.0,67,50,6.41,19.10
GABO ISLAND LIGHTHOUSE,16/10/2024,4.1,0.0, ,18.0,9.4,79,56,7.65,23.38
GABO ISLAND LIGHTHOUSE,17/10/2024,3.8,0.0, ,19.5,13.7,89,68,10.22,24.11
GABO ISLAND LIGHTHOUSE,18/10/2024,1.6,0.0, ,18.8,16.6,94,85,10.10,6.25
GABO ISLAND LIGHTHOUSE,19/10/2024,2.4,2.0, ,16.7,14.3,96,73,14.28,12.41
GABO ISLAND LIGHTHOUSE,20/10/2024,2.6,0.2, ,16.9,12.6,93,77,12.59,18.18
GABO ISLAND LIGHTHOUSE,21/10/2024,3.7,0.4, ,19.0,13.7,91,63,5.90,22.02
GABO ISLAND LIGHTHOUSE,22/10/2024,3.3,0.0, ,19.2,9.9,90,72,7.27,21.98
GABO ISLAND LIGHTHOUSE,23/10/2024,2.0,0.0, ,18.3,14.9,92,76,7.20,7.01
GABO ISLAND LIGHTHOUSE,24/10/2024,4.1,1.0, ,16.3,12.2,82,59,10.77,24.55
GABO ISLAND LIGHTHOUSE,25/10/2024,4.3,0.0, ,15.1,10.7,76,52,13.22,22.70
GABO ISLAND LIGHTHOUSE,26/10/2024,3.8,2.0, ,16.3,8.9,85,55,6.73,24.35
GABO ISLAND LIGHTHOUSE,27/10/2024,4.8,0.0, ,20.2,11.2,77,41,4.92,24.52
GABO ISLAND LIGHTHOUSE,28/10/2024,4.0,0.0, ,17.1,14.4,84,64,12.51,22.74
GABO ISLAND LIGHTHOUSE,29/10/2024,4.3,0.0, ,18.7,11.5,84,60,11.03,24.71
GABO ISLAND LIGHTHOUSE,30/10/2024,3.6,0.0, ,17.0,11.1,88,71,6.22,26.55
GABO ISLAND LIGHTHOUSE,31/10/2024,3.0,0.0, ,16.9,13.8,89,67,7.87,15.43
Totals:,,108.3,15.4, ,,,,,, 
