'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/11/2024,4.0,0.2, ,16.4,11.3,86,59,10.94,25.58
GABO ISLAND LIGHTHOUSE,02/11/2024,4.3,0.0, ,18.7,9.8,85,62,12.54,27.49
GABO ISLAND LIGHTHOUSE,03/11/2024,4.8,0.0, ,24.6,15.3,83,59,9.79,16.91
GABO ISLAND LIGHTHOUSE,04/11/2024,2.8,0.0, ,16.6,13.1,84,68,6.19,12.66
GABO ISLAND LIGHTHOUSE,05/11/2024,4.0,0.0, ,21.3,11.4,95,67,7.70,25.14
GABO ISLAND LIGHTHOUSE,06/11/2024,4.1,0.0, ,22.0,16.0,94,74,9.84,27.07
GABO ISLAND LIGHTHOUSE,07/11/2024,3.0,0.0, ,19.3,15.5,86,74,8.14,14.32
GABO ISLAND LIGHTHOUSE,08/11/2024,5.0,0.0, ,22.8,10.8,88,55,7.31,26.27
GABO ISLAND LIGHTHOUSE,09/11/2024,4.1,0.0, ,18.7,12.8,87,55,6.45,21.40
GABO ISLAND LIGHTHOUSE,10/11/2024,4.1,0.0, ,18.7,14.6,90,67,6.61,26.79
GABO ISLAND LIGHTHOUSE,11/11/2024,4.2,0.0, ,20.3,12.0,91,69,7.27,28.18
GABO ISLAND LIGHTHOUSE,12/11/2024,2.9,0.0, ,20.8,14.3,95,85,6.35,19.55
GABO ISLAND LIGHTHOUSE,13/11/2024,3.3,0.2, ,22.7,17.6,96,73,8.77,16.56
GABO ISLAND LIGHTHOUSE,14/11/2024,4.2,1.2, ,17.4,14.4,88,62,11.10,26.31
GABO ISLAND LIGHTHOUSE,15/11/2024,3.5,0.0, ,19.9,11.7,83,67,7.20,16.95
GABO ISLAND LIGHTHOUSE,16/11/2024,3.9,0.0, ,21.8,14.8,89,74,16.73,23.37
GABO ISLAND LIGHTHOUSE,17/11/2024,2.8,0.0, ,21.4,18.4,94,74,14.77,8.50
GABO ISLAND LIGHTHOUSE,18/11/2024,4.6,1.6, ,18.9,11.3,91,56,11.03,28.29
GABO ISLAND LIGHTHOUSE,19/11/2024,4.2,0.0, ,17.3,12.4,87,63,8.33,28.61
GABO ISLAND LIGHTHOUSE,20/11/2024,2.5,0.0, ,18.0,12.7,79,66,3.67,9.69
GABO ISLAND LIGHTHOUSE,21/11/2024,3.0,0.0, ,21.1,14.7,89,78,9.05,15.70
GABO ISLAND LIGHTHOUSE,22/11/2024,4.9,0.0, ,22.9,17.4,92,69,9.21,30.20
GABO ISLAND LIGHTHOUSE,23/11/2024,5.2,0.0, ,26.2,16.6,95,60,6.23,25.49
GABO ISLAND LIGHTHOUSE,24/11/2024,2.9,0.0, ,23.4,18.1,96,65,4.78,10.37
GABO ISLAND LIGHTHOUSE,25/11/2024,1.9,3.2, ,21.3,17.7,97,89,6.73,10.72
GABO ISLAND LIGHTHOUSE,26/11/2024,1.6,1.6, ,21.8,17.5,98,91,3.54,7.87
GABO ISLAND LIGHTHOUSE,27/11/2024,2.2,1.8, ,23.1,17.4,98,77,5.29,8.64
GABO ISLAND LIGHTHOUSE,28/11/2024,4.2,1.4, ,22.1,18.1,97,72,5.41,25.30
GABO ISLAND LIGHTHOUSE,29/11/2024,2.1,1.2, ,20.8,18.1,97,94,2.87,11.74
GABO ISLAND LIGHTHOUSE,30/11/2024, ,3.6, ,20.5,18.1,98,96,12.36, 
Totals:,,104.3,16, ,,,,,, 
