'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/12/2024,3.2,24.4, ,24.8,17.0,98,77,4.81,16.62
GABO ISLAND LIGHTHOUSE,02/12/2024,4.6,7.4, ,22.4,16.7,94,78,6.48,31.07
GABO ISLAND LIGHTHOUSE,03/12/2024,1.6,0.0, ,21.7,17.7,97,89,7.30,6.65
GABO ISLAND LIGHTHOUSE,04/12/2024,4.8,12.0, ,20.8,15.4,89,69,7.57,31.43
GABO ISLAND LIGHTHOUSE,05/12/2024,3.9,0.2, ,22.7,14.6,92,72,9.93,21.86
GABO ISLAND LIGHTHOUSE,06/12/2024,4.0,0.0, ,23.1,17.0,98,83,4.86,26.52
GABO ISLAND LIGHTHOUSE,07/12/2024,3.5,4.2, ,25.3,18.0,98,76,4.29,17.93
GABO ISLAND LIGHTHOUSE,08/12/2024,4.2,1.0, ,18.5,16.9,93,61,12.96,24.77
GABO ISLAND LIGHTHOUSE,09/12/2024,3.2,0.0, ,18.8,15.3,86,66,6.03,14.53
GABO ISLAND LIGHTHOUSE,10/12/2024,3.9,0.0, ,18.9,13.1,91,68,7.23,24.53
GABO ISLAND LIGHTHOUSE,11/12/2024,4.1,0.0, ,19.7,14.2,90,62,5.19,23.11
GABO ISLAND LIGHTHOUSE,12/12/2024,4.8,0.0, ,21.4,13.2,90,71,4.29,31.92
GABO ISLAND LIGHTHOUSE,13/12/2024,3.2,0.0, ,19.7,16.5,91,74,7.79,16.70
GABO ISLAND LIGHTHOUSE,14/12/2024,3.4,0.0, ,21.1,13.8,94,72,3.96,19.26
GABO ISLAND LIGHTHOUSE,15/12/2024,4.3,0.0, ,22.7,16.6,96,79,4.71,27.73
GABO ISLAND LIGHTHOUSE,16/12/2024,5.2,0.0, ,25.2,19.1,94,72,11.94,31.52
GABO ISLAND LIGHTHOUSE,17/12/2024,2.8,0.0, ,19.9,19.2,94,66,10.08,8.08
GABO ISLAND LIGHTHOUSE,18/12/2024,5.1,0.0, ,19.2,15.4,80,64,11.17,31.43
GABO ISLAND LIGHTHOUSE,19/12/2024,4.9,0.0, ,21.2,13.8,83,60,5.10,28.18
GABO ISLAND LIGHTHOUSE,20/12/2024,5.0,0.0, ,20.3,13.5,85,59,4.73,31.16
GABO ISLAND LIGHTHOUSE,21/12/2024,4.6,0.0, ,20.0,14.7,90,62,10.78,27.45
GABO ISLAND LIGHTHOUSE,22/12/2024,3.5,0.0, ,22.9,14.0,92,72,5.71,18.06
GABO ISLAND LIGHTHOUSE,23/12/2024,4.1,1.6, ,18.4,11.7,92,54,14.93,17.39
GABO ISLAND LIGHTHOUSE,24/12/2024,3.7,7.0, ,18.8,11.6,91,64,14.14,18.50
GABO ISLAND LIGHTHOUSE,25/12/2024,4.6,0.0, ,22.6,15.7,91,75,7.50,29.71
GABO ISLAND LIGHTHOUSE,26/12/2024,5.3,0.0, ,24.3,17.1,89,68,13.53,30.55
GABO ISLAND LIGHTHOUSE,27/12/2024,4.6,1.4, ,20.4,17.9,90,61,11.39,23.24
GABO ISLAND LIGHTHOUSE,28/12/2024,4.6,0.0, ,20.5,15.0,85,59,4.68,26.14
GABO ISLAND LIGHTHOUSE,29/12/2024,5.1,1.4, ,21.8,15.8,93,63,7.37,31.64
GABO ISLAND LIGHTHOUSE,30/12/2024,5.3,0.2, ,23.1,14.1,87,65,6.74,31.87
GABO ISLAND LIGHTHOUSE,31/12/2024,4.6,0.0, ,22.5,18.4,90,69,5.24,26.22
Totals:,,129.7,60.8, ,,,,,, 
