'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/01/2025,4.6,0.0, ,22.1,17.8,90,72,7.00,27.48
GABO ISLAND LIGHTHOUSE,02/01/2025,5.2,0.0, ,19.6,16.6,80,59,8.57,29.42
GABO ISLAND LIGHTHOUSE,03/01/2025,5.0,0.0, ,22.8,11.9,86,68,9.37,31.54
GABO ISLAND LIGHTHOUSE,04/01/2025,5.0,0.0, ,24.3,18.8,91,71,11.99,28.68
GABO ISLAND LIGHTHOUSE,05/01/2025,5.0,0.0, ,27.9,19.4,95,56,5.82,20.06
GABO ISLAND LIGHTHOUSE,06/01/2025,4.7,0.4, ,27.9,20.2,96,45,7.28,10.62
GABO ISLAND LIGHTHOUSE,07/01/2025,3.9,13.8, ,21.5,15.4,96,57,8.39,16.42
GABO ISLAND LIGHTHOUSE,08/01/2025,5.0,0.0, ,21.6,17.4,73,56,6.46,21.47
GABO ISLAND LIGHTHOUSE,09/01/2025,5.0,0.0, ,23.3,15.0,94,63,8.23,29.41
GABO ISLAND LIGHTHOUSE,10/01/2025,1.5,2.0, ,21.1,19.0,97,91,7.36,7.64
GABO ISLAND LIGHTHOUSE,11/01/2025,2.2,12.2, ,22.2,18.8,96,89,8.71,12.37
GABO ISLAND LIGHTHOUSE,12/01/2025,4.3,11.6, ,24.2,18.7,95,78,9.47,27.02
GABO ISLAND LIGHTHOUSE,13/01/2025,4.8,0.2, ,23.2,17.7,94,79,2.97,30.00
GABO ISLAND LIGHTHOUSE,14/01/2025,3.0,0.0, ,24.0,18.3,95,84,3.60,16.15
GABO ISLAND LIGHTHOUSE,15/01/2025,4.0,0.0, ,25.7,19.4,96,73,9.82,19.63
GABO ISLAND LIGHTHOUSE,16/01/2025,4.4,14.6, ,19.6,15.1,95,62,15.77,28.52
GABO ISLAND LIGHTHOUSE,17/01/2025, ,0.2, ,21.9,16.1, , , ,19.64
GABO ISLAND LIGHTHOUSE,18/01/2025, ,0.0, ,22.3,18.2, , , ,17.93
GABO ISLAND LIGHTHOUSE,19/01/2025,5.4,0.0, ,22.6,16.4,70,52,5.95,23.82
GABO ISLAND LIGHTHOUSE,20/01/2025,5.3,0.0, ,22.8,15.0,81,62,7.34,28.89
GABO ISLAND LIGHTHOUSE,21/01/2025,5.1,0.0, ,23.1,17.8,87,70,8.99,30.41
GABO ISLAND LIGHTHOUSE,22/01/2025,3.6,0.0, ,21.8,19.0,92,70,10.99,15.56
GABO ISLAND LIGHTHOUSE,23/01/2025,3.6,0.0, ,21.6,18.0,90,56,7.68,10.22
GABO ISLAND LIGHTHOUSE,24/01/2025,3.4,28.2, ,20.1,15.4,95,68,8.86,17.94
GABO ISLAND LIGHTHOUSE,25/01/2025,4.5,0.2, ,22.3,15.2,82,61,4.44,23.52
GABO ISLAND LIGHTHOUSE,26/01/2025,4.3,0.0, ,23.2,17.1,85,67,6.41,21.41
GABO ISLAND LIGHTHOUSE,27/01/2025,5.1,0.0, ,26.7,19.5,93,73,9.74,28.55
GABO ISLAND LIGHTHOUSE,28/01/2025,4.1,0.0, ,20.8,19.3,96,64,12.14,21.68
GABO ISLAND LIGHTHOUSE,29/01/2025,4.0,0.0, ,22.2,14.7,87,61,4.01,20.11
GABO ISLAND LIGHTHOUSE,30/01/2025,2.6,0.0, ,19.4,16.3,85,72,5.89,9.34
GABO ISLAND LIGHTHOUSE,31/01/2025,3.6,0.0, ,22.0,16.3,85,66,3.50,17.81
Totals:,,122.2,83.4, ,,,,,, 
