'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/02/2025,3.3,0.0, ,23.5,16.3,91,79,8.18,18.09
GABO ISLAND LIGHTHOUSE,02/02/2025,4.8,0.0, ,24.1,20.5,90,75,12.55,28.78
GABO ISLAND LIGHTHOUSE,03/02/2025,5.1,0.0, ,25.0,20.2,91,71,13.77,28.60
GABO ISLAND LIGHTHOUSE,04/02/2025,4.8,0.0, ,25.0,20.7,91,71,9.17,25.95
GABO ISLAND LIGHTHOUSE,05/02/2025,3.3,0.0, ,22.7,19.4,95,82,6.89,19.62
GABO ISLAND LIGHTHOUSE,06/02/2025,3.5,0.0, ,25.0,19.4,96,84,6.43,21.20
GABO ISLAND LIGHTHOUSE,07/02/2025,4.2,0.0, ,25.7,20.3,93,71,7.85,20.52
GABO ISLAND LIGHTHOUSE,08/02/2025,2.3,4.2, ,21.9,19.6,96,88,7.04,13.04
GABO ISLAND LIGHTHOUSE,09/02/2025,1.3,3.6, ,21.2,19.0,94,89,7.48,3.34
GABO ISLAND LIGHTHOUSE,10/02/2025,2.1,10.8, ,23.1,18.4,95,83,3.47,9.68
GABO ISLAND LIGHTHOUSE,11/02/2025,2.1,14.6, ,22.8,19.2,97,88,4.56,10.81
GABO ISLAND LIGHTHOUSE,12/02/2025,3.5,5.4, ,24.5,18.1,97,86,5.09,22.00
GABO ISLAND LIGHTHOUSE,13/02/2025,3.5,0.6, ,24.9,19.4,94,79,14.04,18.46
GABO ISLAND LIGHTHOUSE,14/02/2025,1.7,0.2, ,18.9,17.4,96,76,5.92,4.70
GABO ISLAND LIGHTHOUSE,15/02/2025,4.1,17.2, ,19.3,15.4,94,55,11.96,19.26
GABO ISLAND LIGHTHOUSE,16/02/2025,4.1,2.6, ,18.0,10.3,87,59,14.67,23.66
GABO ISLAND LIGHTHOUSE,17/02/2025,3.9,0.0, ,18.9,12.8,87,67,7.91,25.79
GABO ISLAND LIGHTHOUSE,18/02/2025,3.6,0.0, ,19.1,13.0,90,71,8.00,24.61
GABO ISLAND LIGHTHOUSE,19/02/2025,4.6,0.0, ,19.8,14.5,82,57,9.91,22.85
GABO ISLAND LIGHTHOUSE,20/02/2025,4.2,0.0, ,18.7,14.8,85,60,8.78,23.65
GABO ISLAND LIGHTHOUSE,21/02/2025,4.2,0.0, ,22.5,13.3,87,71,8.36,25.36
GABO ISLAND LIGHTHOUSE,22/02/2025,4.8,0.0, ,24.2,17.9,89,67,12.81,24.25
GABO ISLAND LIGHTHOUSE,23/02/2025,3.3,0.0, ,24.0,20.4,90,71,10.63,9.96
GABO ISLAND LIGHTHOUSE,24/02/2025,3.3,1.0, ,20.3,16.7,86,72,6.54,16.41
GABO ISLAND LIGHTHOUSE,25/02/2025,4.1,0.0, ,22.1,15.4,88,63,5.45,22.03
GABO ISLAND LIGHTHOUSE,26/02/2025,4.2,0.0, ,23.8,18.2,93,72,10.34,24.47
GABO ISLAND LIGHTHOUSE,27/02/2025,3.6,0.0, ,23.0,18.4,93,79,5.87,21.55
GABO ISLAND LIGHTHOUSE,28/02/2025,3.4,0.0, ,22.6,18.8,94,77,5.15,19.87
Totals:,,100.9,60.2, ,,,,,, 
