'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/03/2025,4.1,0.0, ,25.2,16.5,93,74,6.58,23.66
GABO ISLAND LIGHTHOUSE,02/03/2025,2.8,0.0, ,21.2,18.2,91,69,7.08,10.20
GABO ISLAND LIGHTHOUSE,03/03/2025,3.6,0.0, ,22.2,15.0,95,66,5.34,20.28
GABO ISLAND LIGHTHOUSE,04/03/2025,4.4,3.6, ,22.5,17.8,86,62,8.26,21.55
GABO ISLAND LIGHTHOUSE,05/03/2025,4.6,0.0, ,23.8,17.0,86,65,9.01,23.04
GABO ISLAND LIGHTHOUSE,06/03/2025,3.5,0.0, ,22.8,18.5,91,73,5.98,18.41
GABO ISLAND LIGHTHOUSE,07/03/2025,3.6,2.8, ,22.7,19.7,85,69,6.00,15.74
GABO ISLAND LIGHTHOUSE,08/03/2025,4.2,0.0, ,24.4,16.8,88,67,8.08,20.73
GABO ISLAND LIGHTHOUSE,09/03/2025,4.1,0.2, ,24.4,19.3,91,71,11.38,20.73
GABO ISLAND LIGHTHOUSE,10/03/2025,3.6,0.0, ,25.4,19.0,91,66,4.71,15.82
GABO ISLAND LIGHTHOUSE,11/03/2025,2.3,0.0, ,24.1,18.8,95,85,4.41,12.19
GABO ISLAND LIGHTHOUSE,12/03/2025,2.6,2.6, ,22.7,19.7,96,84,7.25,15.06
GABO ISLAND LIGHTHOUSE,13/03/2025,2.2,0.6, ,20.9,18.6,96,84,6.49,12.86
GABO ISLAND LIGHTHOUSE,14/03/2025,3.0,0.0, ,21.6,18.0,92,81,4.44,18.69
GABO ISLAND LIGHTHOUSE,15/03/2025,3.6,0.0, ,28.0,15.8,93,74,4.99,18.40
GABO ISLAND LIGHTHOUSE,16/03/2025,4.1,0.0, ,24.6,19.6,94,45,9.63,3.84
GABO ISLAND LIGHTHOUSE,17/03/2025,3.5,13.6, ,17.6,11.1,89,56,11.47,14.29
GABO ISLAND LIGHTHOUSE,18/03/2025,4.0,0.2, ,20.5,11.7,80,55,6.49,20.42
GABO ISLAND LIGHTHOUSE,19/03/2025,4.1,0.0, ,23.5,16.0,88,68,12.51,19.54
GABO ISLAND LIGHTHOUSE,20/03/2025,3.4,0.0, ,25.5,19.5,95,71,7.72,15.52
GABO ISLAND LIGHTHOUSE,21/03/2025,2.1,13.0, ,19.5,18.2,97,75,7.22,8.51
GABO ISLAND LIGHTHOUSE,22/03/2025,2.4,1.4, ,19.8,15.9,88,73,6.25,9.97
GABO ISLAND LIGHTHOUSE,23/03/2025,3.3,0.0, ,22.0,14.1,90,67,4.94,18.49
GABO ISLAND LIGHTHOUSE,24/03/2025,1.7,0.0, ,21.0,17.0,94,82,4.37,6.93
GABO ISLAND LIGHTHOUSE,25/03/2025,1.9,0.0, ,20.9,17.4,90,79,3.46,8.57
GABO ISLAND LIGHTHOUSE,26/03/2025,1.4,0.0, ,21.4,17.3,95,87,4.54,5.71
GABO ISLAND LIGHTHOUSE,27/03/2025,2.4,0.0, ,20.9,17.7,90,69,5.20,8.48
GABO ISLAND LIGHTHOUSE,28/03/2025,2.6,0.6, ,22.8,18.3,89,72,8.19,6.38
GABO ISLAND LIGHTHOUSE,29/03/2025,2.1,0.0, ,23.3,19.0,96,75,4.00,8.63
GABO ISLAND LIGHTHOUSE,30/03/2025,1.5,7.2, ,19.8,18.6,95,86,11.26,4.56
GABO ISLAND LIGHTHOUSE,31/03/2025,1.9,9.0, ,19.5,16.1,95,79,13.40,5.13
Totals:,,94.6,54.8, ,,,,,, 
