'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GELANTIPY Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GELANTIPY,01/12/2024,4.4,12.6, ,22.4,15.0,92,39,4.01,18.49
GELANTIPY,02/12/2024,6.3,0.2, ,26.4,10.6,95,29,3.44,31.00
GELANTIPY,03/12/2024,4.8,0.0, ,25.8,15.8,99,48,5.66,18.36
GELANTIPY,04/12/2024,4.8,3.8, ,21.0,10.7,98,53,2.38,29.19
GELANTIPY,05/12/2024,6.0,0.0, ,29.5,11.6,96,38,3.89,24.94
GELANTIPY,06/12/2024,5.8,0.0, ,29.8,12.9,92,39,3.27,24.58
GELANTIPY,07/12/2024,5.3,7.2, ,27.1,16.5,99,49,4.49,23.58
GELANTIPY,08/12/2024,4.3,0.6, ,18.1,9.0,100,55,3.14,28.90
GELANTIPY,09/12/2024,3.3,0.2, ,19.1,8.1,97,66,2.07,20.57
GELANTIPY,10/12/2024,3.2,0.0, ,18.2,6.7,99,63,2.70,19.28
GELANTIPY,11/12/2024,4.1,0.0, ,19.5,8.9,98,59,2.08,25.55
GELANTIPY,12/12/2024,5.7,0.0, ,24.9,8.7,93,41,2.88,31.07
GELANTIPY,13/12/2024,4.0,0.0, ,24.9,12.4,100,43,3.01,16.69
GELANTIPY,14/12/2024,4.6,0.4, ,24.5,12.2,100,53,1.99,25.27
GELANTIPY,15/12/2024,6.0,0.0, ,27.2,12.2,99,42,2.33,31.41
GELANTIPY,16/12/2024,9.3,0.0, ,34.1,15.4,91,23,5.96,31.96
GELANTIPY,17/12/2024,2.6,0.0, ,16.3,15.8,99,37,3.76,7.49
GELANTIPY,18/12/2024,4.2,0.4, ,17.9,6.2,94,47,3.33,25.70
GELANTIPY,19/12/2024,5.7,0.2, ,22.3,4.3,96,26,3.25,32.07
GELANTIPY,20/12/2024,6.4,0.0, ,26.1,7.5,90,25,3.11,31.81
GELANTIPY,21/12/2024,4.1,0.0, ,19.4,10.9,96,39,3.11,21.04
GELANTIPY,22/12/2024,4.6,0.0, ,21.3,8.1,96,57,2.37,28.28
GELANTIPY,23/12/2024,3.3,8.6, ,14.4,4.4,99,56,6.52,22.82
GELANTIPY,24/12/2024,3.6,2.0, ,18.8,6.3,98,56,5.61,19.88
GELANTIPY,25/12/2024,6.0,0.2, ,26.5,8.4,99,35,2.62,32.02
GELANTIPY,26/12/2024,7.9,0.0, ,30.8,13.4,85,23,5.21,28.29
GELANTIPY,27/12/2024,4.6,0.0, ,20.4,12.8,93,34,3.66,22.08
GELANTIPY,28/12/2024,5.4,0.0, ,23.2,8.2,96,26,2.69,28.22
GELANTIPY,29/12/2024,5.4,0.0, ,22.6,9.8,94,36,2.42,30.73
GELANTIPY,30/12/2024,6.6,0.0, ,28.7,9.4,93,22,2.75,30.68
GELANTIPY,31/12/2024,5.0,0.0, ,24.6,11.0,99,47,2.32,27.20
Totals:,,157.3,36.4, ,,,,,, 
