'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),01/09/2024,0.3,21.4, ,7.7,3.7,100,100,13.90,5.96
GRAMPIANS (MOUNT WILLIAM),02/09/2024,0.8,35.4, ,2.7,-0.9,100,82,9.44,10.27
GRAMPIANS (MOUNT WILLIAM),03/09/2024,1.4,4.8, ,9.3,-0.9,100,76,5.47,15.84
GRAMPIANS (MOUNT WILLIAM),04/09/2024,3.5,0.2, ,13.0,2.4,87,31,11.08,11.26
GRAMPIANS (MOUNT WILLIAM),05/09/2024,3.8,2.6, ,16.5,5.7,100,30,11.86,5.36
GRAMPIANS (MOUNT WILLIAM),06/09/2024,2.3,5.6, ,11.3,7.5,100,36,7.96,4.48
GRAMPIANS (MOUNT WILLIAM),07/09/2024,0.6,5.4, ,6.4,2.1,100,100,6.50,9.11
GRAMPIANS (MOUNT WILLIAM),08/09/2024,0.6,9.2, ,6.3,2.7,100,100,8.10,9.26
GRAMPIANS (MOUNT WILLIAM),09/09/2024,0.8,17.6, ,8.2,2.2,100,99,5.79,11.15
GRAMPIANS (MOUNT WILLIAM),10/09/2024,2.5,1.0, ,9.9,2.1,100,31,4.75,17.43
GRAMPIANS (MOUNT WILLIAM),11/09/2024,1.5,0.0, ,10.3,4.4,100,73,8.33,11.72
GRAMPIANS (MOUNT WILLIAM),12/09/2024,1.2,5.2, ,6.3,-0.1,100,81,9.50,17.07
GRAMPIANS (MOUNT WILLIAM),13/09/2024,1.7,0.2, ,10.0,0.8,100,73,5.22,16.71
GRAMPIANS (MOUNT WILLIAM),14/09/2024,0.7,2.8, ,1.5,0.1,100,91,9.74,11.23
GRAMPIANS (MOUNT WILLIAM),15/09/2024,2.0,1.4, ,3.4,-1.9,100,31,8.28,13.22
GRAMPIANS (MOUNT WILLIAM),16/09/2024,2.1,0.2, ,5.1,-1.6,100,30,7.57,12.50
GRAMPIANS (MOUNT WILLIAM),17/09/2024,2.7,2.6, ,8.1,-1.2,100,24,5.51,19.11
GRAMPIANS (MOUNT WILLIAM),18/09/2024,1.9,0.0, ,9.1,0.9,100,65,9.09,17.51
GRAMPIANS (MOUNT WILLIAM),19/09/2024,0.8,8.4, ,4.8,1.6,100,91,7.03,11.02
GRAMPIANS (MOUNT WILLIAM),20/09/2024,0.7,8.0, ,6.0,1.1,100,100,8.07,11.85
GRAMPIANS (MOUNT WILLIAM),21/09/2024,0.6,16.0, ,5.7,1.7,100,100,7.45,9.46
GRAMPIANS (MOUNT WILLIAM),22/09/2024,0.7,10.4, ,7.6,2.7,100,100,8.87,11.62
GRAMPIANS (MOUNT WILLIAM),23/09/2024,0.7,7.4, ,8.9,4.3,100,100,8.01,10.30
GRAMPIANS (MOUNT WILLIAM),24/09/2024,2.7,1.6, ,14.1,5.4,96,52,6.40,14.71
GRAMPIANS (MOUNT WILLIAM),25/09/2024,1.1,2.6, ,6.7,6.1,100,80,8.13,9.42
GRAMPIANS (MOUNT WILLIAM),26/09/2024,1.6,2.0, ,10.9,-1.2,100,81,9.62,18.60
GRAMPIANS (MOUNT WILLIAM),27/09/2024,3.8,0.0, ,13.9,-0.6,100,8,4.55,21.15
GRAMPIANS (MOUNT WILLIAM),28/09/2024,3.8,0.0, ,12.8,5.0,75,43,11.64,18.95
GRAMPIANS (MOUNT WILLIAM),29/09/2024,2.0,8.8, ,9.7,5.2,100,56,8.12,10.77
GRAMPIANS (MOUNT WILLIAM),30/09/2024,2.2,1.6, ,11.1,2.4,100,69,5.04,19.45
Totals:,,51.1,182.4, ,,,,,, 
