'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),01/10/2024,1.7,0.8, ,9.4,4.2,100,76,4.74,14.93
GRAMPIANS (MOUNT WILLIAM),02/10/2024,3.5,0.2, ,12.6,3.1,100,23,4.89,22.21
GRAMPIANS (MOUNT WILLIAM),03/10/2024,4.2,0.0, ,16.9,6.4,88,43,10.44,21.42
GRAMPIANS (MOUNT WILLIAM),04/10/2024,2.8,4.8, ,14.9,8.2,99,61,9.57,17.13
GRAMPIANS (MOUNT WILLIAM),05/10/2024,0.8,2.6, ,6.7,4.6,100,99,7.55,10.84
GRAMPIANS (MOUNT WILLIAM),06/10/2024,1.6,23.4, ,9.8,3.1,100,77,8.85,14.15
GRAMPIANS (MOUNT WILLIAM),07/10/2024,1.2,6.2, ,8.2,3.8,100,89,8.41,13.97
GRAMPIANS (MOUNT WILLIAM),08/10/2024,1.9,2.4, ,9.3,-0.9,100,71,7.50,18.39
GRAMPIANS (MOUNT WILLIAM),09/10/2024,4.2,0.2, ,14.3,-0.9,100,13,5.60,23.54
GRAMPIANS (MOUNT WILLIAM),10/10/2024,3.4,0.0, ,10.7,6.0,98,32,6.97,23.66
GRAMPIANS (MOUNT WILLIAM),11/10/2024,2.7,0.0, ,8.6,0.8,99,36,7.55,17.51
GRAMPIANS (MOUNT WILLIAM),12/10/2024,4.4,0.0, ,14.1,0.5,100,11,6.08,24.08
GRAMPIANS (MOUNT WILLIAM),13/10/2024,3.8,0.0, ,15.5,7.6,98,31,7.47,16.75
GRAMPIANS (MOUNT WILLIAM),14/10/2024,3.1,2.4, ,11.6,7.5,100,46,5.58,21.70
GRAMPIANS (MOUNT WILLIAM),15/10/2024,2.4,0.2, ,16.0,7.0,96,67,8.69,12.16
GRAMPIANS (MOUNT WILLIAM),16/10/2024,1.7,1.8, ,14.4,9.6,100,88,7.85,14.19
GRAMPIANS (MOUNT WILLIAM),17/10/2024,1.0,9.6, ,13.9,10.1,100,98,10.28,10.97
GRAMPIANS (MOUNT WILLIAM),18/10/2024,0.8,17.6, ,13.1,11.4,100,100,10.31,9.59
GRAMPIANS (MOUNT WILLIAM),19/10/2024,3.6,24.0, ,12.3,1.9,100,34,7.46,24.80
GRAMPIANS (MOUNT WILLIAM),20/10/2024,3.6,0.0, ,16.5,5.5,99,57,8.32,25.47
GRAMPIANS (MOUNT WILLIAM),21/10/2024,5.3,0.0, ,20.5,5.3,94,21,5.32,25.54
GRAMPIANS (MOUNT WILLIAM),22/10/2024,6.7,0.0, ,22.3,15.2,81,7,6.93,22.53
GRAMPIANS (MOUNT WILLIAM),23/10/2024,4.3,0.0, ,12.9,5.0,99,7,4.93,25.37
GRAMPIANS (MOUNT WILLIAM),24/10/2024,2.5,2.8, ,9.2,1.6,100,62,4.98,22.16
GRAMPIANS (MOUNT WILLIAM),25/10/2024,2.9,3.8, ,10.0,0.2,100,52,5.01,25.59
GRAMPIANS (MOUNT WILLIAM),26/10/2024,3.9,0.0, ,14.9,0.8,77,25,3.16,24.04
GRAMPIANS (MOUNT WILLIAM),27/10/2024,4.2,0.0, ,18.5,9.3,96,45,5.10,24.07
GRAMPIANS (MOUNT WILLIAM),28/10/2024,3.5,0.0, ,12.4,2.3,100,44,7.27,27.04
GRAMPIANS (MOUNT WILLIAM),29/10/2024,3.9,0.0, ,14.8,5.0,96,44,5.37,27.21
GRAMPIANS (MOUNT WILLIAM),30/10/2024,4.5,0.0, ,16.9,7.0,99,34,5.15,27.38
GRAMPIANS (MOUNT WILLIAM),31/10/2024, ,0.0, , ,3.5,100,71,6.99,20.13
Totals:,,94.1,102.8, ,,,,,, 
