'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),01/04/2025, , , , , , , , ,16.97
GRAMPIANS (MOUNT WILLIAM),02/04/2025, , , , , ,80,36,0.00,15.58
GRAMPIANS (MOUNT WILLIAM),03/04/2025, , , ,11.2, ,99,67,0.00,9.58
GRAMPIANS (MOUNT WILLIAM),04/04/2025,1.3,3.0, ,8.1,3.0,99,79,0.00,11.71
GRAMPIANS (MOUNT WILLIAM),05/04/2025,1.6,2.6, ,10.3,1.9,99,54,0.00,16.44
GRAMPIANS (MOUNT WILLIAM),06/04/2025,1.3,0.0, ,12.3,2.6,99,67,0.00,10.10
GRAMPIANS (MOUNT WILLIAM),07/04/2025,1.1,6.2, ,7.7,3.6,99,84,0.00,8.64
GRAMPIANS (MOUNT WILLIAM),08/04/2025,1.3,0.2, ,9.8,3.8,99,72,0.00,11.83
GRAMPIANS (MOUNT WILLIAM),09/04/2025, ,0.0, , ,4.1, , , ,11.18
GRAMPIANS (MOUNT WILLIAM),10/04/2025, , , ,19.3, ,74,28,5.65,14.05
GRAMPIANS (MOUNT WILLIAM),11/04/2025,2.9,0.0, ,18.4,11.0,86,47,4.03,15.49
GRAMPIANS (MOUNT WILLIAM),12/04/2025,4.3,0.0, ,23.1,9.6,66,32,4.74,15.47
GRAMPIANS (MOUNT WILLIAM),13/04/2025,6.0,0.0, ,23.7,16.9,46,28,7.39,12.76
GRAMPIANS (MOUNT WILLIAM),14/04/2025,2.7,0.0, ,19.0,13.8,79,45,3.04,12.41
GRAMPIANS (MOUNT WILLIAM),15/04/2025,3.2,0.0, ,22.3,12.4,62,47,3.13,14.99
GRAMPIANS (MOUNT WILLIAM),16/04/2025,3.7,0.0, ,23.0,15.4,62,36,3.59,13.75
GRAMPIANS (MOUNT WILLIAM),17/04/2025,4.4,0.0, ,23.1,15.3,58,35,4.99,14.39
GRAMPIANS (MOUNT WILLIAM),18/04/2025,4.5,1.2, ,21.6,14.8,57,40,6.29,13.12
GRAMPIANS (MOUNT WILLIAM),19/04/2025,4.0,0.0, ,17.7,14.8,67,37,8.13,5.63
GRAMPIANS (MOUNT WILLIAM),20/04/2025, ,0.8, , ,6.1,99,70,9.97,8.84
GRAMPIANS (MOUNT WILLIAM),21/04/2025,0.7, , ,9.7,6.7,99,95,8.91,8.14
GRAMPIANS (MOUNT WILLIAM),22/04/2025,0.7,3.8, ,12.2,3.6,100,96,12.07,10.58
GRAMPIANS (MOUNT WILLIAM),23/04/2025,2.1,0.8, ,16.8,6.2,100,63,5.36,13.63
GRAMPIANS (MOUNT WILLIAM),24/04/2025,2.4,0.0, ,17.3,10.8,93,61,6.78,11.28
GRAMPIANS (MOUNT WILLIAM),25/04/2025,1.4,3.0, ,14.0,11.2,99,66,5.14,4.25
GRAMPIANS (MOUNT WILLIAM),26/04/2025,1.6,13.0, ,11.6,9.0,99,66,5.00,11.90
GRAMPIANS (MOUNT WILLIAM),27/04/2025,0.9,0.2, ,8.6,6.4,99,86,5.59,10.01
GRAMPIANS (MOUNT WILLIAM),28/04/2025,0.7,0.4, ,8.6,5.7,100,95,7.11,9.17
GRAMPIANS (MOUNT WILLIAM),29/04/2025,1.0,1.0, ,8.8,5.0,100,80,10.04,8.94
GRAMPIANS (MOUNT WILLIAM),30/04/2025,0.5,0.4, ,7.0,3.0,100,93,10.02,6.39
Totals:,,54.3,36.6, ,,,,,, 
