'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/09/2024,1.9,4.0, ,16.1,10.7,99,72,11.04,10.10
HAMILTON AIRPORT,02/09/2024,2.2,9.0, ,12.1,3.2,95,57,10.79,11.04
HAMILTON AIRPORT,03/09/2024,2.1,0.4, ,15.3,3.8,99,60,3.59,15.32
HAMILTON AIRPORT,04/09/2024,3.6,0.0, ,16.9,7.9,77,43,7.85,11.88
HAMILTON AIRPORT,05/09/2024,3.1,0.6, ,16.6,10.7,92,35,6.91,6.13
HAMILTON AIRPORT,06/09/2024,1.4,3.4, ,14.3,11.1,100,68,4.52,4.09
HAMILTON AIRPORT,07/09/2024,1.9,6.4, ,15.3,5.4,100,71,5.17,13.45
HAMILTON AIRPORT,08/09/2024,1.5,4.8, ,14.6,7.9,100,79,7.87,11.43
HAMILTON AIRPORT,09/09/2024,1.9,10.2, ,14.3,8.5,99,67,5.70,12.91
HAMILTON AIRPORT,10/09/2024,2.3,0.2, ,16.4,8.7,99,64,4.40,15.96
HAMILTON AIRPORT,11/09/2024,1.6,0.0, ,14.7,7.6,100,79,4.97,11.90
HAMILTON AIRPORT,12/09/2024,2.1,3.2, ,13.8,5.0,88,64,4.55,13.89
HAMILTON AIRPORT,13/09/2024,1.9,0.0, ,14.1,8.7,90,65,4.38,10.07
HAMILTON AIRPORT,14/09/2024,2.2,0.8, ,11.1,6.4,99,53,6.26,14.09
HAMILTON AIRPORT,15/09/2024,2.0,0.8, ,12.6,2.3,99,58,4.44,13.01
HAMILTON AIRPORT,16/09/2024,1.5,0.0, ,12.0,5.1,99,74,4.53,10.37
HAMILTON AIRPORT,17/09/2024,2.4,0.2, ,13.8,6.1,99,55,4.84,16.40
HAMILTON AIRPORT,18/09/2024, ,0.0, , ,4.9,99,47,7.00,16.50
HAMILTON AIRPORT,19/09/2024, , , ,13.2, ,99,68,6.56,15.56
HAMILTON AIRPORT,20/09/2024,2.1,3.8, ,15.0,6.3,99,72,7.11,14.91
HAMILTON AIRPORT,21/09/2024,2.0,8.2, ,14.4,7.4,99,71,6.41,13.66
HAMILTON AIRPORT,22/09/2024,2.5,2.8, ,16.9,9.0,99,65,6.72,15.36
HAMILTON AIRPORT,23/09/2024,1.8,0.4, ,16.4,10.3,100,78,5.05,11.67
HAMILTON AIRPORT,24/09/2024,2.6,0.4, ,19.2,7.7,100,53,3.04,13.21
HAMILTON AIRPORT,25/09/2024,1.1,6.8, ,10.0,9.7,100,85,4.59,7.30
HAMILTON AIRPORT,26/09/2024,2.2,3.2, ,12.7,1.4,96,60,4.48,15.46
HAMILTON AIRPORT,27/09/2024,2.8,0.2, ,16.2,1.2,98,51,2.99,21.08
HAMILTON AIRPORT,28/09/2024,4.6,0.0, ,20.0,5.8,94,34,7.89,18.17
HAMILTON AIRPORT,29/09/2024,3.7,7.8, ,16.9,10.2,100,41,7.45,19.28
HAMILTON AIRPORT,30/09/2024,2.8,0.8, ,17.4,6.2,100,59,4.69,18.15
Totals:,,63.8,78.4, ,,,,,, 
