'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/10/2024,2.8,0.8, ,17.0,8.2,99,57,4.10,17.71
HAMILTON AIRPORT,02/10/2024,3.0,0.2, ,17.3,4.6,100,60,4.20,22.11
HAMILTON AIRPORT,03/10/2024,5.2,0.0, ,23.9,4.7,99,36,6.86,22.30
HAMILTON AIRPORT,04/10/2024,3.9,4.2, ,19.2,13.3,98,39,6.87,16.29
HAMILTON AIRPORT,05/10/2024,1.7,0.4, ,14.4,9.2,99,76,6.43,10.63
HAMILTON AIRPORT,06/10/2024,3.3,2.6, ,16.9,9.6,99,53,8.05,19.12
HAMILTON AIRPORT,07/10/2024,2.9,0.2, ,15.6,11.2,97,57,7.48,15.91
HAMILTON AIRPORT,08/10/2024,2.4,0.8, ,12.9,1.9,94,55,3.58,16.36
HAMILTON AIRPORT,09/10/2024,3.8,0.0, ,18.9,0.8,96,42,3.86,23.45
HAMILTON AIRPORT,10/10/2024,4.0,0.0, ,16.8,7.6,90,38,5.33,23.36
HAMILTON AIRPORT,11/10/2024,2.5,0.0, ,16.1,3.4,99,57,3.89,15.30
HAMILTON AIRPORT,12/10/2024,3.8,0.0, ,18.5,4.8,98,44,4.37,23.99
HAMILTON AIRPORT,13/10/2024,4.1,0.0, ,21.7,5.7,93,32,4.43,15.59
HAMILTON AIRPORT,14/10/2024,2.8,0.2, ,18.9,8.3,100,65,5.49,15.69
HAMILTON AIRPORT,15/10/2024,2.0,0.0, ,18.7,8.9,99,72,5.00,8.99
HAMILTON AIRPORT,16/10/2024,3.9,1.6, ,23.9,11.5,98,65,5.06,22.23
HAMILTON AIRPORT,17/10/2024,3.5,1.6, ,23.8,13.5,97,63,5.68,15.81
HAMILTON AIRPORT,18/10/2024,1.4,7.6, ,18.8,16.5,100,84,7.08,5.86
HAMILTON AIRPORT,19/10/2024,2.3,17.6, ,16.6,7.5,100,66,4.70,13.54
HAMILTON AIRPORT,20/10/2024,3.4,0.0, ,18.6,8.6,100,63,4.61,23.47
HAMILTON AIRPORT,21/10/2024,5.1,0.0, ,24.8,8.2,99,39,4.35,25.56
HAMILTON AIRPORT,22/10/2024,4.3,0.2, ,22.5,13.2,95,47,5.05,19.94
HAMILTON AIRPORT,23/10/2024,3.7,0.0, ,17.8,7.1,99,48,4.77,23.37
HAMILTON AIRPORT,24/10/2024,3.3,1.2, ,15.5,5.0,99,52,5.21,22.57
HAMILTON AIRPORT,25/10/2024,3.7,0.6, ,15.7,5.8,99,40,3.24,26.00
HAMILTON AIRPORT,26/10/2024,4.3,0.2, ,20.5,2.7,98,38,3.95,23.88
HAMILTON AIRPORT,27/10/2024,4.6,0.0, ,22.5,10.5,90,48,4.24,24.39
HAMILTON AIRPORT,28/10/2024,4.0,0.0, ,18.0,5.9,99,46,3.86,26.70
HAMILTON AIRPORT,29/10/2024,4.0,0.0, ,20.1,6.2,99,52,3.17,25.50
HAMILTON AIRPORT,30/10/2024,4.1,0.0, ,20.3,5.3,99,45,2.91,25.37
HAMILTON AIRPORT,31/10/2024,3.3,0.0, ,17.4,8.2,100,58,4.55,21.81
Totals:,,107.1,40, ,,,,,, 
