'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/11/2024,3.8,0.6, ,17.0,6.5,96,45,4.72,22.46
HAMILTON AIRPORT,02/11/2024,6.9,0.0, ,24.9,3.6,99,19,7.53,23.62
HAMILTON AIRPORT,03/11/2024,5.5,0.4, ,19.5,11.1,98,20,6.35,26.99
HAMILTON AIRPORT,04/11/2024,3.3,0.2, ,18.6,7.6,95,48,3.62,16.28
HAMILTON AIRPORT,05/11/2024,6.1,0.0, ,26.0,4.2,96,27,4.42,27.49
HAMILTON AIRPORT,06/11/2024,5.7,0.0, ,24.1,13.7,96,34,6.87,22.60
HAMILTON AIRPORT,07/11/2024,4.1,0.0, ,20.5,4.8,100,46,4.18,23.26
HAMILTON AIRPORT,08/11/2024,4.0,4.0, ,17.2,7.4,99,42,6.21,22.02
HAMILTON AIRPORT,09/11/2024,3.4,0.2, ,18.1,2.6,99,44,3.77,17.98
HAMILTON AIRPORT,10/11/2024,4.5,0.0, ,21.0,4.7,100,37,2.73,26.75
HAMILTON AIRPORT,11/11/2024,4.2,0.0, ,22.2,6.9,99,42,4.76,18.55
HAMILTON AIRPORT,12/11/2024,2.9,0.0, ,21.9,9.3,97,55,3.83,10.40
HAMILTON AIRPORT,13/11/2024,4.0,1.0, ,19.5,11.4,100,46,5.84,20.03
HAMILTON AIRPORT,14/11/2024,4.6,0.0, ,19.3,6.6,95,40,4.38,26.83
HAMILTON AIRPORT,15/11/2024,5.7,0.0, ,23.9,3.3,99,30,4.30,29.39
HAMILTON AIRPORT,16/11/2024,10.2,0.0, ,32.8,7.0,96,9,7.57,25.97
HAMILTON AIRPORT,17/11/2024,4.5,3.6, ,18.8,9.2,99,36,8.09,19.35
HAMILTON AIRPORT,18/11/2024,3.9,3.2, ,18.4,9.0,98,47,5.19,21.12
HAMILTON AIRPORT,19/11/2024,3.8,1.0, ,18.2,8.1,92,48,4.11,21.08
HAMILTON AIRPORT,20/11/2024,5.0,0.0, ,21.6,3.3,99,39,5.88,26.01
HAMILTON AIRPORT,21/11/2024,7.7,0.0, ,31.4,6.1,99,13,4.05,27.93
HAMILTON AIRPORT,22/11/2024,9.1,0.0, ,35.6,11.0,81,14,4.76,26.38
HAMILTON AIRPORT,23/11/2024,5.0,0.0, ,29.5,22.8,100,27,4.68,11.81
HAMILTON AIRPORT,24/11/2024,2.0,1.6, ,19.5,15.1,100,83,3.42,10.40
HAMILTON AIRPORT,25/11/2024,4.7,0.2, ,26.5,13.0,100,53,4.81,20.92
HAMILTON AIRPORT,26/11/2024,5.8,0.2, ,30.9,10.8,100,32,3.12,23.14
HAMILTON AIRPORT,27/11/2024,3.0,11.6, ,22.5,17.1,100,58,5.05,10.28
HAMILTON AIRPORT,28/11/2024,3.5,9.8, ,21.0,8.7,100,67,3.79,21.64
HAMILTON AIRPORT,29/11/2024,6.9,0.2, ,29.5,12.7,99,37,6.21,26.91
HAMILTON AIRPORT,30/11/2024, ,0.2, ,19.9,15.7,100,91,4.76, 
Totals:,,143.8,38, ,,,,,, 
