'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/12/2024,3.0,26.2, ,21.2,14.3,100,69,6.50,14.34
HAMILTON AIRPORT,02/12/2024,8.2,0.4, ,31.4,9.2,100,19,5.41,28.86
HAMILTON AIRPORT,03/12/2024,3.9,9.0, ,22.4,17.4,100,52,6.02,15.99
HAMILTON AIRPORT,04/12/2024,6.6,0.0, ,27.0,6.4,99,24,3.76,31.22
HAMILTON AIRPORT,05/12/2024,8.5,0.0, ,33.8,10.9,88,14,3.86,31.18
HAMILTON AIRPORT,06/12/2024,3.5,0.0, ,26.9,16.5,87,58,3.62,11.18
HAMILTON AIRPORT,07/12/2024,2.7,11.6, ,21.4,17.1,100,63,5.12,9.50
HAMILTON AIRPORT,08/12/2024,4.7,0.2, ,20.7,9.5,99,44,4.32,27.13
HAMILTON AIRPORT,09/12/2024,4.8,0.2, ,21.8,6.6,99,42,2.86,28.19
HAMILTON AIRPORT,10/12/2024,4.7,0.0, ,21.7,7.9,99,45,3.85,25.99
HAMILTON AIRPORT,11/12/2024,5.4,0.0, ,22.7,8.6,99,42,4.79,30.15
HAMILTON AIRPORT,12/12/2024,5.8,0.0, ,25.3,12.9,99,46,5.41,28.96
HAMILTON AIRPORT,13/12/2024,5.3,0.2, ,22.9,13.1,100,44,4.21,28.77
HAMILTON AIRPORT,14/12/2024,5.3,0.0, ,25.1,7.0,99,30,3.84,23.16
HAMILTON AIRPORT,15/12/2024,8.3,0.0, ,34.1,9.5,99,20,3.94,31.49
HAMILTON AIRPORT,16/12/2024,10.8,0.0, ,40.0,21.3,92,15,7.48,19.38
HAMILTON AIRPORT,17/12/2024,6.0,1.8, ,22.2,11.6,89,35,6.91,28.02
HAMILTON AIRPORT,18/12/2024,6.1,0.0, ,23.9,7.3,99,34,5.28,31.20
HAMILTON AIRPORT,19/12/2024,8.7,0.0, ,32.3,9.0,98,11,4.74,31.07
HAMILTON AIRPORT,20/12/2024,9.3,0.0, ,32.6,11.7,88,18,6.21,30.64
HAMILTON AIRPORT,21/12/2024,5.8,0.0, ,21.7,10.8,85,36,6.02,28.75
HAMILTON AIRPORT,22/12/2024,5.2,0.0, ,22.4,7.4,96,35,5.68,23.65
HAMILTON AIRPORT,23/12/2024,4.4,3.6, ,18.8,6.3,95,39,6.06,21.13
HAMILTON AIRPORT,24/12/2024,4.1,0.2, ,23.3,9.1,99,49,3.32,20.11
HAMILTON AIRPORT,25/12/2024,9.4,0.0, ,35.1,9.9,99,15,5.08,30.27
HAMILTON AIRPORT,26/12/2024,9.8,0.0, ,33.5,17.3,71,11,8.73,11.44
HAMILTON AIRPORT,27/12/2024,4.7,1.2, ,20.1,11.2,97,31,6.22,18.18
HAMILTON AIRPORT,28/12/2024,4.2,0.0, ,21.2,8.5,98,47,5.91,18.93
HAMILTON AIRPORT,29/12/2024,4.2,0.8, ,23.4,7.8,97,45,4.33,17.85
HAMILTON AIRPORT,30/12/2024,5.7,0.0, ,27.0,9.9,100,38,4.27,25.43
HAMILTON AIRPORT,31/12/2024,6.3,0.0, ,26.9,10.5,100,30,3.72,29.78
Totals:,,185.4,55.4, ,,,,,, 
