'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/04/2025,4.4,0.0, ,23.4,9.0,99,34,5.87,16.76
HAMILTON AIRPORT,02/04/2025,4.6,0.2, ,25.7,7.7,99,22,4.21,16.52
HAMILTON AIRPORT,03/04/2025,2.2,0.0, ,18.6,10.0,99,63,5.16,9.93
HAMILTON AIRPORT,04/04/2025,2.1,1.0, ,16.6,9.8,96,52,4.14,7.75
HAMILTON AIRPORT,05/04/2025,3.0,1.8, ,17.5,5.5,97,38,4.36,15.23
HAMILTON AIRPORT,06/04/2025,3.2,0.2, ,19.7,6.8,98,43,6.14,11.31
HAMILTON AIRPORT,07/04/2025,2.1,0.8, ,16.8,9.8,99,55,3.79,9.55
HAMILTON AIRPORT,08/04/2025,1.7,0.0, ,15.8,8.7,97,54,2.37,7.68
HAMILTON AIRPORT,09/04/2025,2.2,0.0, ,19.1,4.9,99,45,2.55,10.06
HAMILTON AIRPORT,10/04/2025,5.3,0.2, ,28.0,9.8,83,25,5.21,13.80
HAMILTON AIRPORT,11/04/2025,3.2,0.0, ,22.5,11.0,99,44,4.00,15.61
HAMILTON AIRPORT,12/04/2025,5.0,0.0, ,31.0,8.4,99,21,3.66,15.48
HAMILTON AIRPORT,13/04/2025,6.5,0.0, ,32.1,15.8,90,17,5.77,13.76
HAMILTON AIRPORT,14/04/2025,3.8,0.0, ,25.0,13.6,96,46,6.31,12.13
HAMILTON AIRPORT,15/04/2025,4.4,0.0, ,29.8,10.6,99,29,3.77,14.73
HAMILTON AIRPORT,16/04/2025,5.3,0.6, ,31.0,16.5,65,22,4.21,11.88
HAMILTON AIRPORT,17/04/2025,4.9,0.0, ,30.7,14.7,76,25,4.02,12.99
HAMILTON AIRPORT,18/04/2025,3.7,0.0, ,26.5,12.7,100,34,3.72,14.46
HAMILTON AIRPORT,19/04/2025,4.0,0.0, ,25.9,14.3,81,29,4.67,5.94
HAMILTON AIRPORT,20/04/2025,3.3,0.2, ,20.1,12.6,99,47,8.75,10.23
HAMILTON AIRPORT,21/04/2025,1.8,11.6, ,17.9,12.2,99,72,6.75,8.55
HAMILTON AIRPORT,22/04/2025,1.7,4.2, ,17.1,10.6,99,73,5.99,9.23
HAMILTON AIRPORT,23/04/2025,3.1,0.2, ,23.0,11.7,99,49,5.38,13.66
HAMILTON AIRPORT,24/04/2025,3.5,0.0, ,25.8,13.1,97,44,4.94,11.93
HAMILTON AIRPORT,25/04/2025,1.3,0.0, ,19.0,11.6,99,72,3.00,4.63
HAMILTON AIRPORT,26/04/2025,2.2,3.0, ,20.3,13.3,99,57,4.03,10.90
HAMILTON AIRPORT,27/04/2025,1.9,2.4, ,17.9,10.9,99,56,3.64,9.32
HAMILTON AIRPORT,28/04/2025,1.4,0.0, ,17.6,9.0,100,69,2.62,7.73
HAMILTON AIRPORT,29/04/2025,2.3,0.8, ,18.4,7.9,100,49,4.33,11.57
HAMILTON AIRPORT,30/04/2025,2.0,0.0, ,16.6,8.3,96,58,5.90,7.76
Totals:,,96.1,27.2, ,,,,,, 
