'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/11/2024,5.7,0.0, ,23.6,5.2,91,17,3.76,26.54
HOPETOUN AIRPORT,02/11/2024,7.9,0.0, ,29.8,4.0,72,10,5.10,23.17
HOPETOUN AIRPORT,03/11/2024,8.0,0.0, ,28.0,14.9,75,15,6.20,26.49
HOPETOUN AIRPORT,04/11/2024,5.6,0.0, ,24.4,9.7,71,26,3.61,24.64
HOPETOUN AIRPORT,05/11/2024,6.2,0.0, ,30.2,9.1,83,18,3.41,20.62
HOPETOUN AIRPORT,06/11/2024,8.6,0.0, ,33.7,15.3,69,23,6.15,22.15
HOPETOUN AIRPORT,07/11/2024,4.9,0.2, ,25.0,9.2,93,31,4.13,17.84
HOPETOUN AIRPORT,08/11/2024,5.6,0.6, ,23.2,4.8,100,24,5.68,21.80
HOPETOUN AIRPORT,09/11/2024,3.5,0.0, ,21.8,2.7,80,30,2.24,13.90
HOPETOUN AIRPORT,10/11/2024,6.2,0.0, ,27.6,8.5,85,20,3.16,27.62
HOPETOUN AIRPORT,11/11/2024,5.5,0.0, ,29.5,11.4,62,23,2.89,17.76
HOPETOUN AIRPORT,12/11/2024,5.5,0.0, ,29.3,16.6,61,28,3.36,15.44
HOPETOUN AIRPORT,13/11/2024,7.0,0.0, ,25.8,14.9,87,27,6.97,26.50
HOPETOUN AIRPORT,14/11/2024,6.4,0.0, ,26.0,5.4,86,19,3.96,28.06
HOPETOUN AIRPORT,15/11/2024,6.4,0.0, ,29.1,8.1,79,15,2.74,27.88
HOPETOUN AIRPORT,16/11/2024,11.3,0.0, ,37.3,11.8,39,5,5.64,26.34
HOPETOUN AIRPORT,17/11/2024,6.6,0.0, ,24.2,14.0,95,23,8.13,23.02
HOPETOUN AIRPORT,18/11/2024,6.6,1.0, ,25.3,10.4,82,25,5.12,28.01
HOPETOUN AIRPORT,19/11/2024,6.4,0.0, ,26.4,7.3,72,20,3.54,28.41
HOPETOUN AIRPORT,20/11/2024,7.0,0.0, ,29.3,8.7,76,14,3.38,28.52
HOPETOUN AIRPORT,21/11/2024, ,0.0, , ,10.8,65,8,3.25,27.32
HOPETOUN AIRPORT,22/11/2024, , , ,38.5, ,29,15,3.93,24.63
HOPETOUN AIRPORT,23/11/2024,7.3,0.0, ,36.7,19.9,100,16,5.04,12.48
HOPETOUN AIRPORT,24/11/2024,1.4,14.4, ,21.4,19.1,100,91,1.83,6.38
HOPETOUN AIRPORT,25/11/2024,2.4,15.0, ,24.8,18.2,100,69,1.81,10.49
HOPETOUN AIRPORT,26/11/2024,5.1,1.4, ,31.4,17.7,100,46,2.69,20.77
HOPETOUN AIRPORT,27/11/2024,5.4,4.0, ,26.6,19.0,100,37,4.70,21.22
HOPETOUN AIRPORT,28/11/2024,5.2,0.8, ,27.9,12.8,100,33,2.08,25.08
HOPETOUN AIRPORT,29/11/2024,7.1,0.0, ,33.1,15.4,98,20,2.62,30.47
HOPETOUN AIRPORT,30/11/2024, ,6.4, ,28.5,17.8,100,43,5.09, 
Totals:,,164.8,43.8, ,,,,,, 
