'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/12/2024,5.9,0.2, ,27.6,13.4,100,35,4.39,25.02
HOPETOUN AIRPORT,02/12/2024,8.7,0.0, ,36.1,13.2,100,18,4.96,24.59
HOPETOUN AIRPORT,03/12/2024,7.3,9.4, ,28.9,20.3,100,37,6.92,30.32
HOPETOUN AIRPORT,04/12/2024,7.4,0.0, ,31.1,10.6,88,9,2.87,31.79
HOPETOUN AIRPORT,05/12/2024,8.8,0.0, ,38.4,14.8,74,15,3.02,31.83
HOPETOUN AIRPORT,06/12/2024,6.6,0.0, ,34.0,22.0,100,24,5.50,14.03
HOPETOUN AIRPORT,07/12/2024,8.0,2.4, ,34.5,17.9,100,33,5.33,27.82
HOPETOUN AIRPORT,08/12/2024,7.2,0.2, ,27.4,11.0,93,25,4.84,31.92
HOPETOUN AIRPORT,09/12/2024,5.0,0.0, ,25.7,13.4,71,26,2.76,19.06
HOPETOUN AIRPORT,10/12/2024,7.7,0.0, ,29.2,12.4,83,19,4.31,32.01
HOPETOUN AIRPORT,11/12/2024,7.8,0.0, ,28.8,9.1,88,20,4.91,32.15
HOPETOUN AIRPORT,12/12/2024,8.2,0.0, ,32.6,12.3,90,21,4.04,32.19
HOPETOUN AIRPORT,13/12/2024,8.4,0.0, ,31.4,14.9,89,14,4.41,32.17
HOPETOUN AIRPORT,14/12/2024,7.7,0.0, ,34.7,13.9,75,19,3.39,25.87
HOPETOUN AIRPORT,15/12/2024,9.0,0.0, ,38.8,16.6,61,17,3.05,32.26
HOPETOUN AIRPORT,16/12/2024,15.0,0.0, ,45.4,25.0,55,9,8.38,20.93
HOPETOUN AIRPORT,17/12/2024,9.9,0.0, ,28.9,16.2,64,18,8.49,32.20
HOPETOUN AIRPORT,18/12/2024,8.9,0.0, ,30.7,10.2,77,11,5.04,32.20
HOPETOUN AIRPORT,19/12/2024, ,0.0, , ,11.4,60,10,4.06,32.15
HOPETOUN AIRPORT,20/12/2024, , , ,39.1, ,52,7,5.16,32.10
HOPETOUN AIRPORT,21/12/2024,8.7,0.0, ,30.4,13.0,77,15,5.48,31.20
HOPETOUN AIRPORT,22/12/2024,8.4,0.0, ,27.9,9.7,72,20,6.60,31.31
HOPETOUN AIRPORT,23/12/2024,7.3,0.0, ,24.5,8.3,78,22,6.92,29.44
HOPETOUN AIRPORT,24/12/2024,6.6,0.0, ,29.8,8.3,73,25,2.35,32.08
HOPETOUN AIRPORT,25/12/2024,9.6,0.0, ,37.9,14.6,61,12,3.73,32.05
HOPETOUN AIRPORT,26/12/2024,12.6,0.0, ,38.2,19.1,60,7,9.17,13.90
HOPETOUN AIRPORT,27/12/2024,7.8,0.0, ,26.7,12.9,72,15,7.11,21.63
HOPETOUN AIRPORT,28/12/2024,6.0,0.0, ,25.7,6.4,68,34,5.50,21.13
HOPETOUN AIRPORT,29/12/2024,6.7,0.0, ,28.8,8.0,90,28,3.17,31.88
HOPETOUN AIRPORT,30/12/2024,8.2,0.0, ,33.3,14.3,75,20,4.30,28.07
HOPETOUN AIRPORT,31/12/2024,9.1,0.0, ,35.2,14.0,83,12,4.12,31.85
Totals:,,238.5,12.2, ,,,,,, 
