'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/02/2025,9.6,0.0, ,40.1,13.8,72,17,4.07,28.24
HOPETOUN AIRPORT,02/02/2025,13.7,0.0, ,43.3,20.1,64,11,7.44,26.77
HOPETOUN AIRPORT,03/02/2025,10.1,0.4, ,40.3,22.7,74,17,5.30,24.86
HOPETOUN AIRPORT,04/02/2025,10.5, , ,40.9,20.7,84,21,5.77,27.35
HOPETOUN AIRPORT,05/02/2025,8.9,0.0, ,32.8,15.9,75,15,5.38,28.23
HOPETOUN AIRPORT,06/02/2025,8.8,0.0, ,39.4,15.2,79,16,3.52,27.97
HOPETOUN AIRPORT,07/02/2025,9.7,0.0, ,35.4,19.9,61,17,5.58,27.41
HOPETOUN AIRPORT,08/02/2025,8.4,0.0, ,30.3,14.6,69,22,6.15,27.63
HOPETOUN AIRPORT,09/02/2025,7.1,0.0, ,31.6,14.6,85,24,4.32,24.65
HOPETOUN AIRPORT,10/02/2025,9.3,0.0, ,34.8,16.6,81,18,5.93,27.10
HOPETOUN AIRPORT,11/02/2025,8.1,0.0, ,36.2,17.3,75,15,3.54,27.03
HOPETOUN AIRPORT,12/02/2025,8.9,0.0, ,39.8,19.6,52,13,3.45,26.84
HOPETOUN AIRPORT,13/02/2025,8.6,0.0, ,35.5,26.1,61,25,7.23,11.09
HOPETOUN AIRPORT,14/02/2025,7.1,0.0, ,28.8,11.4,91,24,6.56,22.34
HOPETOUN AIRPORT,15/02/2025,6.5,0.0, ,24.5,8.4,76,22,6.79,21.04
HOPETOUN AIRPORT,16/02/2025,5.7,0.0, ,23.8,6.3,74,23,4.09,25.89
HOPETOUN AIRPORT,17/02/2025,5.9,0.0, ,27.4,9.2,62,15,2.90,24.56
HOPETOUN AIRPORT,18/02/2025,7.3,0.0, ,28.6,8.3,63,19,4.89,25.63
HOPETOUN AIRPORT,19/02/2025,6.6,0.0, ,26.9,7.7,74,24,5.16,25.39
HOPETOUN AIRPORT,20/02/2025,7.0,0.0, ,28.4,10.6,78,20,5.09,25.20
HOPETOUN AIRPORT,21/02/2025,7.3,0.0, ,34.5,11.1,72,18,3.46,24.54
HOPETOUN AIRPORT,22/02/2025,11.2,0.0, ,41.8,16.3,51,8,5.32,23.44
HOPETOUN AIRPORT,23/02/2025,8.9,0.0, ,31.0,21.0,61,16,6.52,24.47
HOPETOUN AIRPORT,24/02/2025, ,0.0, , ,10.6,82,22,4.07,24.49
HOPETOUN AIRPORT,25/02/2025, , , ,34.0, ,75,10,2.69,24.10
HOPETOUN AIRPORT,26/02/2025,9.2,0.0, ,38.6,10.8,40,7,3.99,23.60
HOPETOUN AIRPORT,27/02/2025, ,0.0, , ,13.7,84,17,4.52,23.33
HOPETOUN AIRPORT,28/02/2025, , , ,34.5, ,54,24,3.30,21.55
Totals:,,204.4,0.4, ,,,,,, 
