'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/04/2025,4.8,0.0, ,26.8,10.2,79,28,3.92,17.53
HOPETOUN AIRPORT,02/04/2025, ,0.0, , ,10.9,65,17,2.65,17.24
HOPETOUN AIRPORT,03/04/2025, , , , , ,91,33,5.60,13.83
HOPETOUN AIRPORT,04/04/2025, , , ,20.6, ,95,34,3.51,15.86
HOPETOUN AIRPORT,05/04/2025, ,0.0, , ,7.4,99,28,3.58,16.73
HOPETOUN AIRPORT,06/04/2025, , , , , ,76,29,3.78,13.62
HOPETOUN AIRPORT,07/04/2025, , , , , ,99,35,3.61,12.93
HOPETOUN AIRPORT,08/04/2025, , , , , ,79,34,1.61,16.27
HOPETOUN AIRPORT,09/04/2025,2.6, , ,22.3,5.7,77,33,1.86,10.06
HOPETOUN AIRPORT,10/04/2025,3.7,0.0, ,29.8,9.0,72,23,1.83,15.66
HOPETOUN AIRPORT,11/04/2025,4.1,0.0, ,30.1,11.6,71,26,2.38,15.88
HOPETOUN AIRPORT,12/04/2025, ,0.0, , ,12.2,76,15,2.67,15.72
HOPETOUN AIRPORT,13/04/2025,5.6, , ,33.6,14.2,51,16,3.28,15.51
HOPETOUN AIRPORT,14/04/2025, ,0.0, , ,13.2,49,18,2.93,15.35
HOPETOUN AIRPORT,15/04/2025, , , , , ,75,20,2.65,15.34
HOPETOUN AIRPORT,16/04/2025, , , , , ,60,20,2.34,13.82
HOPETOUN AIRPORT,17/04/2025, , , , , ,66,19,2.62,14.71
HOPETOUN AIRPORT,18/04/2025, , , ,34.3, ,48,15,3.91,12.37
HOPETOUN AIRPORT,19/04/2025,5.7,0.0, ,32.4,18.7,73,19,4.68,8.12
HOPETOUN AIRPORT,20/04/2025,4.3,0.2, ,23.4,14.3,97,31,6.82,12.59
HOPETOUN AIRPORT,21/04/2025,3.7,1.2, ,23.5,13.1,100,45,7.56,11.27
HOPETOUN AIRPORT,22/04/2025,3.5,0.0, ,22.6,9.9,100,37,4.95,14.41
HOPETOUN AIRPORT,23/04/2025,3.5,0.0, ,26.7,11.6,92,35,3.21,14.18
HOPETOUN AIRPORT,24/04/2025,4.7,0.0, ,29.9,15.9,64,32,4.15,12.14
HOPETOUN AIRPORT,25/04/2025,2.1,0.6, ,24.0,18.0,100,50,3.36,4.12
HOPETOUN AIRPORT,26/04/2025,1.7,10.4, ,21.2,14.6,100,67,2.15,9.92
HOPETOUN AIRPORT,27/04/2025,2.3,0.4, ,19.8,11.5,100,55,4.15,12.61
HOPETOUN AIRPORT,28/04/2025,2.1,0.0, ,20.1,9.1,100,56,3.11,12.02
HOPETOUN AIRPORT,29/04/2025,2.8,0.0, ,20.6,7.6,100,40,3.92,12.80
HOPETOUN AIRPORT,30/04/2025,3.5,0.0, ,21.1,8.5,89,36,5.31,13.40
Totals:,,60.7,12.8, ,,,,,, 
