'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/02/2025,9.0,0.0, ,38.3,9.3,86,18,3.98,28.22
HORSHAM AERODROME,02/02/2025,12.4,0.0, ,42.7,19.2,59,16,6.89,23.56
HORSHAM AERODROME,03/02/2025,9.6,0.6, ,38.7,19.6,83,22,6.50,20.14
HORSHAM AERODROME,04/02/2025,9.7,1.2, ,38.2,18.1,86,26,6.20,26.59
HORSHAM AERODROME,05/02/2025,7.2,0.0, ,30.1,11.9,85,19,4.14,27.70
HORSHAM AERODROME,06/02/2025,8.2,0.0, ,37.4,9.3,94,18,3.47,27.79
HORSHAM AERODROME,07/02/2025,8.0,0.0, ,31.1,16.1,84,27,6.63,25.39
HORSHAM AERODROME,08/02/2025,7.0,0.0, ,27.4,10.3,80,27,5.78,27.15
HORSHAM AERODROME,09/02/2025,5.6,0.0, ,28.3,14.1,87,42,5.41,19.85
HORSHAM AERODROME,10/02/2025,8.6,0.0, ,32.9,15.3,79,28,6.83,26.47
HORSHAM AERODROME,11/02/2025,8.2,0.0, ,35.2,15.8,84,21,4.47,26.75
HORSHAM AERODROME,12/02/2025,9.8,0.0, ,38.9,18.4,72,16,5.01,26.61
HORSHAM AERODROME,13/02/2025,7.6,0.0, ,31.9,25.3,68,30,7.96,11.31
HORSHAM AERODROME,14/02/2025,6.3,0.0, ,26.4,11.9,90,32,6.57,23.74
HORSHAM AERODROME,15/02/2025,6.1,0.0, ,22.1,10.5,79,28,8.44,21.42
HORSHAM AERODROME,16/02/2025,5.3,0.0, ,22.5,4.2,88,26,5.01,23.39
HORSHAM AERODROME,17/02/2025,6.1,0.0, ,26.7,5.5,80,16,3.77,24.82
HORSHAM AERODROME,18/02/2025,6.1,0.0, ,25.4,8.3,80,34,6.64,23.26
HORSHAM AERODROME,19/02/2025,6.1,0.0, ,24.6,7.8,79,33,6.58,24.42
HORSHAM AERODROME,20/02/2025,6.6,0.0, ,27.4,8.9,81,25,5.35,24.90
HORSHAM AERODROME,21/02/2025,7.7,0.0, ,33.8,6.2,86,20,4.35,24.54
HORSHAM AERODROME,22/02/2025,11.6,0.0, ,39.7,15.9,52,9,6.35,23.92
HORSHAM AERODROME,23/02/2025,7.5,0.0, ,28.3,18.1,75,26,6.99,24.01
HORSHAM AERODROME,24/02/2025,6.8,0.0, ,28.9,10.4,91,23,5.40,24.15
HORSHAM AERODROME,25/02/2025,7.5,0.0, ,33.8,7.9,86,12,3.87,23.77
HORSHAM AERODROME,26/02/2025,9.2,0.0, ,35.9,11.5,67,11,5.31,22.41
HORSHAM AERODROME,27/02/2025,7.1,0.0, ,32.7,10.5,97,15,4.21,22.72
HORSHAM AERODROME,28/02/2025,6.7,0.0, ,31.0,14.2,63,30,4.40,23.04
Totals:,,217.6,1.8, ,,,,,, 
