'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSHAM AERODROME Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSHAM AERODROME,01/04/2025,5.0,0.0, ,25.1,11.1,82,28,5.18,17.60
HORSHAM AERODROME,02/04/2025,5.1,0.0, ,27.2,8.1,93,19,4.20,16.69
HORSHAM AERODROME,03/04/2025,4.1,0.0, ,23.5,9.5,93,41,6.08,13.81
HORSHAM AERODROME,04/04/2025,3.1,0.0, ,19.0,3.8,94,41,4.12,15.15
HORSHAM AERODROME,05/04/2025,3.6,0.0, ,20.0,8.5,90,31,4.22,16.64
HORSHAM AERODROME,06/04/2025,4.0,0.0, ,22.7,4.5,88,41,6.04,13.48
HORSHAM AERODROME,07/04/2025,2.7,0.2, ,19.0,10.6,94,44,4.10,10.62
HORSHAM AERODROME,08/04/2025,3.3,0.0, ,20.8,9.8,79,37,3.39,14.96
HORSHAM AERODROME,09/04/2025,2.3,0.0, ,20.4,4.0,89,40,2.06,10.50
HORSHAM AERODROME,10/04/2025,5.0,0.0, ,29.2,6.1,79,25,3.98,14.88
HORSHAM AERODROME,11/04/2025,4.1,0.0, ,27.7,10.5,92,30,3.36,15.72
HORSHAM AERODROME,12/04/2025,5.7,0.0, ,32.7,9.4,90,19,3.93,15.53
HORSHAM AERODROME,13/04/2025,6.7,0.0, ,33.8,14.1,52,17,4.51,14.53
HORSHAM AERODROME,14/04/2025,4.8,0.0, ,29.5,13.3,65,32,3.90,14.24
HORSHAM AERODROME,15/04/2025,5.1,0.0, ,31.6,12.2,86,24,3.86,14.86
HORSHAM AERODROME,16/04/2025, ,0.0, , ,13.9,64,23,4.11,14.84
HORSHAM AERODROME,17/04/2025, , , ,32.0, ,71,23,3.38,13.31
HORSHAM AERODROME,18/04/2025,4.8,0.0, ,31.2,11.4,78,27,3.67,13.06
HORSHAM AERODROME,19/04/2025,5.0,0.0, ,27.1,15.1,68,28,5.56,5.73
HORSHAM AERODROME,20/04/2025,4.0,0.0, ,21.7,10.1,94,42,8.64,11.75
HORSHAM AERODROME,21/04/2025,3.2,8.2, ,21.5,12.6,96,54,7.96,11.63
HORSHAM AERODROME,22/04/2025,3.1,0.0, ,21.3,7.4,93,48,5.31,14.16
HORSHAM AERODROME,23/04/2025,3.5,0.0, ,25.7,9.0,96,39,3.96,13.93
HORSHAM AERODROME,24/04/2025,4.4,0.0, ,28.4,11.7,88,38,5.29,11.11
HORSHAM AERODROME,25/04/2025,1.7,1.8, ,20.7,15.0,97,67,4.00,5.52
HORSHAM AERODROME,26/04/2025,2.0,1.8, ,21.4,14.2,98,51,2.63,8.02
HORSHAM AERODROME,27/04/2025,2.2,0.4, ,18.7,9.9,96,56,4.34,11.05
HORSHAM AERODROME,28/04/2025,2.1,0.0, ,18.7,8.0,98,55,3.81,9.59
HORSHAM AERODROME,29/04/2025,3.0,0.0, ,20.9,8.0,97,41,4.87,12.13
HORSHAM AERODROME,30/04/2025,3.1,0.0, ,20.3,5.7,91,44,5.47,12.47
Totals:,,106.7,12.4, ,,,,,, 
