'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/10/2024, ,0.0, , ,6.8,83,47,1.35,22.27
HUNTERS HILL,02/10/2024, ,0.0, , , ,100,36,1.03,22.21
HUNTERS HILL,03/10/2024, , , ,20.3, ,83,38,1.06,21.17
HUNTERS HILL,04/10/2024,1.8,0.0, ,15.4,9.8,98,65,1.54,9.23
HUNTERS HILL,05/10/2024,2.5,4.6, ,13.6,8.0,99,58,3.06,16.79
HUNTERS HILL,06/10/2024,1.8,3.8, ,12.5,6.4,99,62,3.59,9.07
HUNTERS HILL,07/10/2024,2.6,0.6, ,15.5,6.7,92,68,3.46,17.96
HUNTERS HILL,08/10/2024,3.1,0.6, ,14.6,2.3,92,35,1.32,23.61
HUNTERS HILL,09/10/2024,3.4,0.0, ,17.2,3.4,78,29,1.16,23.71
HUNTERS HILL,10/10/2024,3.4,0.0, ,18.1,5.6,83,45,1.29,22.83
HUNTERS HILL,11/10/2024,3.8,0.0, ,20.2,9.2,81,39,1.51,23.51
HUNTERS HILL,12/10/2024,3.8,0.0, ,19.8,4.3,78,20,1.31,24.29
HUNTERS HILL,13/10/2024,3.7,0.0, ,18.9,7.0,68,21,1.06,24.30
HUNTERS HILL,14/10/2024, ,0.0, , ,10.6,82,41,0.89,16.10
HUNTERS HILL,15/10/2024, , , ,21.0, ,100,44,1.43,22.24
HUNTERS HILL,16/10/2024,3.0,0.0, ,19.3,9.3,80,55,0.96,18.37
HUNTERS HILL,17/10/2024,3.5,0.0, ,21.2,10.2,94,51,1.09,21.06
HUNTERS HILL,18/10/2024,1.5,24.6, ,17.8,13.4,99,75,3.20,4.87
HUNTERS HILL,19/10/2024,3.8,37.0, ,20.7,10.6,99,48,1.33,23.80
HUNTERS HILL,20/10/2024, ,0.2, , ,9.6,100,34,1.47,25.68
HUNTERS HILL,21/10/2024, ,0.0, ,22.3, ,100,23,1.04,25.92
HUNTERS HILL,22/10/2024,3.9, , ,22.6,12.1,71,41,1.02,22.08
HUNTERS HILL,23/10/2024,2.6,0.0, ,18.3,15.1,88,47,2.07,10.83
HUNTERS HILL,24/10/2024,4.1,0.0, ,16.0,5.3,76,36,2.85,26.45
HUNTERS HILL,25/10/2024,3.3,0.2, ,14.8,2.8,79,38,1.72,21.94
HUNTERS HILL,26/10/2024,3.6,0.0, ,16.3,2.3,100,38,1.19,26.37
HUNTERS HILL,27/10/2024,4.3,0.0, ,20.9,8.2,61,32,1.29,26.18
HUNTERS HILL,28/10/2024,5.0,0.0, ,21.6,12.4,61,32,2.16,26.93
HUNTERS HILL,29/10/2024,4.5,0.0, ,20.7,8.1,50,29,1.42,27.26
HUNTERS HILL,30/10/2024,4.8,0.0, ,21.7,10.8,64,37,1.76,27.45
HUNTERS HILL,31/10/2024,4.7,0.0, ,20.2,12.3,78,32,2.36,25.74
Totals:,,82.5,71.6, ,,,,,, 
