'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/12/2024,3.7,35.0, ,21.2,14.0,99,53,2.21,18.89
HUNTERS HILL,02/12/2024,5.6,6.2, ,25.3,13.1,75,33,1.35,30.64
HUNTERS HILL,03/12/2024,3.0,13.0, ,21.8,14.5,99,57,2.52,12.99
HUNTERS HILL,04/12/2024,5.4,20.2, ,26.4,15.9,98,45,1.07,28.81
HUNTERS HILL,05/12/2024,3.7,0.2, ,26.2,18.1,95,59,0.80,18.05
HUNTERS HILL,06/12/2024,4.2,3.4, ,28.0,18.3,97,60,1.20,19.92
HUNTERS HILL,07/12/2024,3.8,18.2, ,24.9,16.9,99,67,2.49,19.06
HUNTERS HILL,08/12/2024,5.6,0.2, ,20.6,12.6,83,34,2.57,31.78
HUNTERS HILL,09/12/2024,3.2,0.0, ,18.3,10.3,77,43,1.07,16.72
HUNTERS HILL,10/12/2024,5.4,0.0, ,22.8,10.5,71,35,1.58,30.95
HUNTERS HILL,11/12/2024,5.4,0.0, ,21.7,10.3,86,29,1.75,31.89
HUNTERS HILL,12/12/2024,5.9,0.0, ,24.8,12.4,65,34,1.89,31.93
HUNTERS HILL,13/12/2024,6.3,0.0, ,26.9,16.5,54,37,2.21,29.91
HUNTERS HILL,14/12/2024,5.3,0.0, ,26.2,14.7,59,31,1.31,26.93
HUNTERS HILL,15/12/2024,5.9,0.0, ,29.4,17.3,53,24,0.65,31.96
HUNTERS HILL,16/12/2024,6.7,0.0, ,32.7,18.9,67,35,1.55,31.30
HUNTERS HILL,17/12/2024,5.5,0.2, ,25.2,21.7,62,27,2.82,20.14
HUNTERS HILL,18/12/2024,5.5,0.0, ,23.0,8.3,81,33,1.74,32.02
HUNTERS HILL,19/12/2024,5.5,0.0, ,25.4,9.3,63,28,1.06,32.04
HUNTERS HILL,20/12/2024,5.9,0.0, ,26.7,13.4,71,38,1.37,31.89
HUNTERS HILL,21/12/2024,6.3,0.0, ,28.5,17.6,62,23,1.40,31.75
HUNTERS HILL,22/12/2024,5.7,0.0, ,23.6,12.6,81,24,1.84,30.66
HUNTERS HILL,23/12/2024,4.3,0.0, ,16.7,7.6,81,40,2.84,25.20
HUNTERS HILL,24/12/2024,5.0,0.0, ,23.4,4.3,81,40,1.17,31.39
HUNTERS HILL,25/12/2024,5.6,0.0, ,27.6,11.7,69,30,0.70,32.02
HUNTERS HILL,26/12/2024,7.1,0.0, ,30.5,17.3,60,22,2.24,31.75
HUNTERS HILL,27/12/2024,5.9,0.0, ,22.0,14.1,70,31,2.69,31.09
HUNTERS HILL,28/12/2024,5.5,0.0, ,21.3,10.6,66,32,2.05,31.07
HUNTERS HILL,29/12/2024,5.7,0.0, ,24.3,10.8,80,30,1.73,31.87
HUNTERS HILL,30/12/2024,5.9,0.0, ,27.6,12.8,74,28,1.18,31.52
HUNTERS HILL,31/12/2024,6.2,0.0, ,28.5,14.8,68,18,1.44,31.36
Totals:,,164.7,96.6, ,,,,,, 
